0,1,2,3,4,5
101.12,37.8,-4.4,1006.5,0.0,0.0
99.31,37.8,-3.3,1006.0,300.0,4.6
106.27,37.8,-0.6,1005.6,270.0,7.2
108.39,37.2,-1.1,1006.0,270.0,7.2
91.69,35.6,1.1,1006.0,260.0,5.7
85.5,33.9,0.6,1006.4,260.0,5.1
90.9,32.8,0.6,1007.1,250.0,3.6
88.59,30.6,1.1,1007.4,240.0,2.6
83.66,31.1,-2.2,1007.5,250.0,4.1
80.26,30.6,-2.2,1007.6,260.0,1.5
81.44,28.3,-0.6,1007.8,0.0,0.0
80.52,26.1,0.6,1008.1,90.0,3.1
78.28,25.6,0.6,1008.7,130.0,4.1
86.72,25.0,1.7,1009.2,90.0,4.6
106.53,24.4,1.7,1010.2,100.0,4.1
105.03,26.1,1.1,1011.0,80.0,4.6
106.88,27.8,0.6,1011.8,130.0,3.6
93.72,30.6,1.7,1011.9,110.0,4.1
99.49,32.2,1.7,1011.8,130.0,3.6
110.27,33.9,1.7,1011.9,150.0,4.1
104.45,35.6,1.1,1011.6,210.0,4.6
89.06,36.1,0.6,1011.1,210.0,2.6
98.1,37.2,0.0,1010.4,280.0,3.6
106.27,37.8,0.0,1009.8,280.0,1.5
100.4,37.8,0.0,1009.1,330.0,2.6
106.67,38.3,-0.6,1008.6,330.0,3.1
102.56,37.8,-1.1,1008.2,280.0,4.1
110.07,37.2,-1.7,1008.3,310.0,3.1
100.34,36.1,-1.7,1008.2,330.0,3.6
90.33,36.1,-1.7,1008.5,320.0,3.1
87.66,32.8,0.6,1009.1,230.0,1.5
84.59,31.1,1.7,1009.6,230.0,2.1
81.5,30.0,1.1,1010.0,240.0,2.6
82.2,29.4,1.7,1009.9,270.0,1.5
80.87,28.9,1.7,1009.9,0.0,0.0
79.01,30.0,1.1,1010.2,0.0,0.0
80.2,26.7,0.0,1010.8,90.0,2.6
86.97,25.6,1.7,1011.4,90.0,2.1
109.41,25.6,1.1,1012.0,90.0,3.6
107.98,27.2,1.7,1012.9,90.0,3.1
109.54,29.4,2.2,1013.5,130.0,2.1
96.47,31.1,2.2,1013.7,70.0,1.5
99.16,33.3,1.7,1013.7,0.0,0.0
109.47,35.0,1.7,1013.4,330.0,2.6
108.87,37.2,0.6,1013.1,140.0,3.1
86.32,37.2,-1.7,1012.6,140.0,1.5
99.89,38.9,-1.7,1011.8,140.0,1.5
101.38,39.4,-2.8,1010.8,140.0,2.1
96.67,40.0,-4.4,1010.1,330.0,4.1
98.96,39.4,-5.6,1009.3,330.0,1.5
101.56,39.4,-3.9,1009.2,220.0,2.6
84.75,38.9,-3.9,1009.6,320.0,4.6
82.26,38.3,-4.4,1009.8,330.0,3.1
82.91,37.8,-7.8,1010.3,300.0,3.6
80.54,34.4,-3.9,1010.6,0.0,0.0
80.65,33.3,-1.7,1010.8,0.0,0.0
79.86,31.1,0.6,1010.9,0.0,0.0
78.64,30.0,2.2,1010.8,110.0,2.6
81.67,28.9,1.7,1010.9,0.0,0.0
78.78,27.2,1.1,1010.7,0.0,0.0
78.06,26.7,1.1,1010.8,110.0,1.5
84.07,26.1,1.7,1011.1,0.0,0.0
101.49,26.1,0.6,1011.4,0.0,0.0
102.46,28.3,2.2,1011.9,190.0,2.1
104.39,30.6,-1.1,1012.4,100.0,3.1
95.1,34.4,-1.1,1012.2,80.0,4.1
97.83,36.7,-3.3,1012.2,30.0,2.6
107.56,38.9,-3.9,1012.1,80.0,3.1
111.59,40.0,-5.6,1011.9,80.0,2.1
97.1,40.6,-6.1,1011.2,0.0,0.0
93.07,42.2,-5.0,1010.5,240.0,4.1
100.67,42.2,-5.0,1009.7,240.0,1.5
113.06,42.8,-4.4,1008.9,260.0,4.1
107.58,42.8,-3.9,1008.5,290.0,5.7
104.72,42.8,-2.8,1008.3,260.0,5.1
93.91,42.2,-1.7,1008.2,240.0,5.1
81.18,41.1,-1.1,1008.1,260.0,5.7
80.24,39.4,-0.6,1008.6,260.0,4.1
80.82,37.2,0.6,1009.2,250.0,3.6
80.14,37.2,0.6,1009.4,270.0,3.1
79.65,33.9,1.1,1009.1,260.0,4.1
78.39,33.3,1.1,1008.8,250.0,3.1
81.12,31.7,1.7,1008.9,240.0,2.6
78.3,31.1,1.7,1008.7,0.0,0.0
78.52,30.6,1.7,1008.5,0.0,0.0
85.09,29.4,3.3,1008.7,0.0,0.0
104.86,29.4,3.3,1009.2,100.0,2.1
102.99,31.7,4.4,1009.2,0.0,0.0
103.21,33.9,1.7,1009.5,140.0,2.6
96.29,36.7,0.6,1009.1,0.0,0.0
82.27,38.9,1.1,1008.9,200.0,1.5
84.07,41.7,-1.1,1008.3,240.0,2.1
86.91,43.9,-1.7,1007.9,320.0,1.5
81.98,45.0,-2.8,1006.8,320.0,2.6
81.59,46.7,-1.7,1006.0,320.0,2.1
82.81,47.2,-0.6,1004.9,320.0,2.6
84.11,47.2,-2.2,1004.0,320.0,2.6
84.07,47.2,-1.1,1003.3,320.0,2.1
83.12,47.2,-1.1,1002.8,300.0,5.7
85.46,46.1,1.1,1002.7,260.0,5.7
88.99,44.4,2.8,1002.9,260.0,4.6
89.13,42.8,4.4,1003.5,260.0,4.6
87.28,38.9,5.6,1004.1,240.0,4.1
85.68,37.2,6.1,1004.4,250.0,2.6
84.71,38.9,3.3,1004.6,270.0,3.6
82.61,36.7,3.9,1004.3,240.0,4.6
83.52,37.2,3.3,1004.1,250.0,3.6
81.25,36.7,3.3,1004.1,270.0,2.6
80.65,35.0,3.9,1004.1,260.0,3.1
88.28,34.4,4.4,1004.9,0.0,0.0
108.26,32.2,6.1,1005.6,70.0,4.6
110.88,32.8,5.0,1006.6,100.0,4.6
121.75,35.6,4.4,1007.4,110.0,4.6
119.56,37.8,4.4,1007.8,110.0,5.7
113.21,39.4,5.6,1008.2,140.0,5.7
117.68,40.6,5.0,1008.4,130.0,6.2
109.32,42.8,4.4,1007.9,140.0,6.2
90.04,43.3,4.4,1007.3,140.0,5.1
90.16,45.0,3.9,1006.6,140.0,2.6
87.39,45.6,2.8,1005.6,180.0,4.6
101.3,46.7,2.8,1004.6,190.0,3.6
108.6,46.1,3.9,1004.3,280.0,5.1
112.24,45.0,3.9,1004.2,280.0,6.2
108.22,44.4,5.0,1004.1,270.0,7.7
102.72,42.8,5.0,1004.7,270.0,7.2
90.2,41.7,6.1,1006.3,280.0,5.1
95.03,40.0,7.2,1007.4,290.0,7.7
95.57,38.3,8.3,1008.3,270.0,3.6
88.72,38.3,8.3,1007.5,310.0,5.7
83.59,36.7,8.9,1008.2,240.0,2.6
86.68,35.6,9.4,1008.6,0.0,0.0
82.77,36.1,9.4,1008.4,30.0,2.1
83.14,34.4,10.0,1009.0,100.0,3.1
86.87,33.3,10.0,1009.6,110.0,2.1
104.34,32.2,9.4,1010.4,100.0,3.6
105.51,32.8,10.0,1011.1,100.0,3.1
98.99,33.9,8.9,1011.5,110.0,4.1
97.24,35.6,8.3,1012.1,0.0,0.0
90.22,37.2,7.8,1011.9,0.0,0.0
90.0,38.3,8.3,1011.3,10.0,3.6
87.85,39.4,8.3,1010.7,300.0,3.6
88.72,41.1,8.3,1009.6,300.0,4.1
88.34,42.2,7.8,1008.6,280.0,4.1
89.0,43.3,6.1,1007.4,280.0,3.1
97.87,43.3,5.6,1006.4,280.0,6.2
109.46,42.8,6.1,1005.5,290.0,5.7
111.97,42.8,6.7,1005.1,280.0,7.7
114.3,42.2,6.7,1005.3,270.0,6.2
100.04,41.1,6.7,1005.6,280.0,7.2
91.53,39.4,7.8,1005.9,260.0,4.1
91.14,38.3,7.8,1006.5,260.0,3.6
93.9,37.8,7.2,1006.6,280.0,4.6
88.69,37.2,6.1,1006.4,280.0,5.1
85.75,35.6,6.1,1006.7,230.0,1.5
82.44,35.0,6.1,1006.9,330.0,5.1
