0,1,2,3,4,5
150.5569,-14.4,-16.7,1036.9,280.0,3.1
59.8393,-13.3,-16.7,1036.0,240.0,3.1
152.8015,-15.0,-17.8,1035.9,240.0,2.6
117.599,-12.8,-17.8,1035.0,310.0,2.6
54.7222,-14.4,-18.3,1035.3,300.0,3.6
81.9196,-13.3,-18.3,1035.1,300.0,4.6
77.6008,-12.8,-18.3,1035.0,240.0,3.6
15.9995,-15.0,-18.9,1036.1,300.0,4.1
9.2801,-16.7,-20.0,1036.4,280.0,3.1
53.4393,-15.0,-19.4,1036.8,40.0,3.1
103.997,-12.2,-17.8,1036.6,250.0,3.6
103.5206,-10.6,-16.7,1035.8,260.0,3.1
87.3585,-8.3,-16.1,1034.9,280.0,3.1
54.081,-8.9,-15.0,1033.9,290.0,2.6
116.9594,-8.9,-13.9,1033.6,300.0,3.6
146.2417,-8.3,-15.0,1033.0,300.0,2.6
102.8788,-8.9,-15.0,1033.3,310.0,2.6
199.198,-8.9,-15.6,1033.0,300.0,3.1
152.6384,-9.4,-16.7,1032.6,280.0,2.6
181.1195,-10.6,-16.7,1032.8,260.0,2.6
55.9997,-11.1,-17.2,1033.2,300.0,4.1
149.6009,-10.0,-16.7,1032.8,300.0,2.1
5.28,-8.9,-17.2,1031.9,0.0,0.0
55.6807,-10.6,-17.2,1031.3,340.0,3.6
105.9203,-10.6,-17.2,1031.4,0.0,0.0
153.4395,-11.7,-16.7,1031.5,0.0,3.1
202.2403,-11.1,-16.7,1031.8,360.0,5.1
112.3222,-11.7,-17.2,1031.9,220.0,2.1
152.9599,-12.2,-18.3,1032.0,280.0,2.1
108.3207,-11.7,-17.2,1031.7,0.0,0.0
98.0794,-12.2,-17.8,1031.8,220.0,3.1
35.6803,-10.6,-16.1,1032.6,260.0,3.1
106.0805,-11.7,-17.2,1032.5,0.0,0.0
52.4802,-11.7,-16.7,1032.7,290.0,2.1
66.5605,-10.0,-16.1,1032.6,290.0,2.6
53.6,-8.9,-15.0,1033.0,290.0,3.1
89.92,-8.3,-14.4,1031.8,290.0,2.1
102.2393,-8.3,-13.9,1031.5,310.0,3.6
