0,1,2,3,4,5
24.0,15.0,7.8,1005.6,290.0,1.5
24.0,20.0,8.9,1005.4,0.0,0.0
23.0,22.8,8.9,1004.7,0.0,0.0
22.0,25.0,5.6,1003.7,290.0,3.1
23.0,25.6,6.7,1003.1,290.0,2.1
23.0,25.6,5.6,1002.9,280.0,2.1
23.0,25.6,3.9,1002.9,360.0,2.6
22.0,23.3,4.4,1004.2,340.0,2.6
13.0,20.0,5.0,1004.8,350.0,1.5
17.0,19.4,3.9,1005.7,350.0,1.5
17.0,17.8,4.4,1006.7,10.0,1.5
17.0,18.9,3.3,1007.2,350.0,2.1
16.0,16.1,3.9,1008.2,0.0,0.0
17.0,15.0,3.9,1008.6,340.0,1.5
17.0,13.9,4.4,1009.3,340.0,1.5
17.0,13.3,3.9,1010.5,300.0,1.5
17.0,12.2,5.6,1010.9,310.0,1.5
17.0,11.7,5.6,1011.8,310.0,2.1
17.0,11.7,3.9,1012.4,320.0,2.6
16.0,11.1,2.2,1013.3,320.0,2.1
17.0,10.6,1.1,1014.1,0.0,0.0
16.0,10.6,1.1,1015.0,0.0,0.0
20.0,12.2,1.7,1016.6,320.0,3.6
25.0,13.3,1.7,1017.7,360.0,2.6
23.0,15.0,-1.1,1018.7,10.0,4.6
23.0,16.1,-1.7,1018.8,360.0,3.6
23.0,17.2,-1.1,1018.3,360.0,3.1
23.0,18.3,-0.6,1017.2,360.0,2.1
23.0,18.3,-1.7,1016.5,360.0,2.6
23.0,19.4,-1.7,1016.6,350.0,2.1
22.0,18.9,-2.2,1016.3,340.0,2.6
22.0,16.7,-3.3,1016.7,360.0,2.1
14.0,14.4,-1.7,1017.3,0.0,0.0
18.0,12.2,-0.6,1018.2,0.0,0.0
17.0,10.0,0.0,1019.0,0.0,0.0
17.0,9.4,0.6,1019.3,0.0,0.0
18.0,7.8,1.1,1019.5,0.0,0.0
17.0,6.7,0.6,1019.9,0.0,0.0
17.0,5.6,0.6,1019.9,0.0,0.0
17.0,5.6,0.6,1019.4,0.0,0.0
16.0,5.0,0.6,1019.3,0.0,0.0
18.0,3.9,0.6,1019.3,0.0,0.0
17.0,3.9,0.6,1019.2,0.0,0.0
17.0,3.9,0.6,1019.2,0.0,0.0
17.0,3.9,0.6,1019.7,0.0,0.0
16.0,2.8,0.6,1020.2,0.0,0.0
22.0,4.4,1.7,1020.6,0.0,0.0
24.0,10.6,1.7,1020.6,0.0,0.0
23.0,13.9,0.6,1021.2,0.0,1.5
23.0,15.6,0.0,1020.8,0.0,3.1
22.0,17.2,-0.6,1019.9,150.0,5.1
23.0,18.3,-0.6,1018.7,150.0,5.1
23.0,19.4,0.6,1017.4,150.0,2.6
22.0,20.0,1.1,1016.7,170.0,2.6
23.0,19.4,1.1,1016.3,170.0,2.6
21.0,17.8,1.1,1016.1,150.0,2.6
14.0,16.7,1.7,1016.2,150.0,2.6
17.0,15.6,1.7,1017.1,120.0,2.6
17.0,14.4,1.7,1017.4,120.0,1.5
17.0,13.3,2.2,1017.8,120.0,2.6
17.0,12.8,3.3,1017.9,140.0,2.1
18.0,11.7,5.0,1018.3,140.0,1.5
16.0,11.1,6.1,1018.1,160.0,1.5
17.0,11.1,6.1,1017.9,0.0,0.0
16.0,10.6,6.7,1018.0,0.0,0.0
18.0,10.6,6.7,1017.8,0.0,0.0
16.0,11.1,7.2,1017.5,0.0,0.0
17.0,11.1,7.2,1017.3,0.0,0.0
16.0,11.7,7.2,1018.0,30.0,1.5
17.0,11.7,7.8,1018.3,30.0,1.5
22.0,12.2,7.8,1018.7,30.0,2.1
23.0,13.3,7.8,1019.5,30.0,2.6
23.0,15.0,8.9,1019.4,30.0,2.6
23.0,16.1,9.4,1018.8,30.0,1.5
23.0,17.8,10.6,1017.6,30.0,3.1
22.0,16.1,12.2,1017.1,0.0,0.0
23.0,15.6,13.9,1016.8,0.0,2.1
23.0,15.6,13.9,1016.4,0.0,2.1
23.0,15.6,12.8,1016.1,0.0,2.1
22.0,15.6,12.2,1016.6,0.0,2.1
15.0,13.9,12.2,1017.2,40.0,1.5
18.0,13.3,10.6,1017.4,40.0,2.6
17.0,11.1,8.3,1017.8,40.0,2.1
17.0,11.1,8.9,1017.8,40.0,2.6
16.0,11.1,9.4,1017.6,40.0,2.1
17.0,10.6,8.9,1017.1,40.0,2.1
17.0,10.6,9.4,1017.2,40.0,2.1
17.0,10.6,9.4,1016.3,40.0,2.1
16.0,10.6,10.0,1016.5,40.0,3.1
17.0,10.6,10.0,1015.6,40.0,2.1
17.0,10.0,8.9,1015.0,40.0,2.6
16.0,10.0,8.9,1014.6,40.0,2.1
17.0,9.4,8.9,1016.2,40.0,2.6
16.0,9.4,8.9,1016.0,40.0,2.1
23.0,9.4,8.9,1016.0,40.0,2.1
23.0,10.0,8.9,1016.2,20.0,2.6
22.0,10.0,8.9,1017.2,20.0,2.6
24.0,10.0,9.4,1016.4,20.0,2.6
25.0,10.0,9.4,1016.1,20.0,2.6
24.0,10.6,9.4,1014.9,20.0,2.1
25.0,10.6,10.0,1013.9,20.0,3.1
25.0,11.1,10.0,1013.4,20.0,1.5
24.0,11.1,10.0,1013.2,70.0,1.5
23.0,10.6,10.0,1013.5,70.0,2.1
16.0,10.6,10.0,1012.5,70.0,3.1
17.0,10.6,9.4,1013.7,300.0,4.1
17.0,10.6,9.4,1012.9,10.0,4.6
17.0,10.0,9.4,1014.0,360.0,3.6
17.0,10.6,9.4,1014.2,350.0,1.5
17.0,10.6,9.4,1014.5,350.0,2.1
17.0,10.0,9.4,1013.3,10.0,2.6
18.0,10.6,9.4,1014.2,350.0,2.6
17.0,10.0,9.4,1014.5,350.0,2.1
17.0,10.0,9.4,1014.2,350.0,2.6
17.0,10.6,9.4,1014.2,350.0,2.6
17.0,10.6,8.9,1014.1,360.0,3.6
17.0,10.6,8.9,1014.7,360.0,1.5
17.0,10.0,8.9,1015.1,340.0,2.6
13.0,10.6,8.9,1016.1,340.0,2.6
11.0,10.6,8.9,1016.7,360.0,3.1
12.0,10.6,8.3,1017.7,360.0,2.1
11.0,10.6,8.9,1018.2,20.0,3.1
11.0,10.6,9.4,1018.2,360.0,3.6
12.0,11.1,9.4,1016.3,360.0,4.1
