0,1,2,3,4,5
7.975,-1.0,-3.0,1019.4,250.0,2.6
7.925,-1.0,-3.0,1019.4,240.0,3.1
7.525,-1.0,-2.0,1019.4,240.0,4.1
6.95,-1.0,-2.0,1019.4,240.0,4.6
6.3,-1.0,-3.0,1019.4,270.0,5.1
6.175,-1.0,-4.0,1019.4,240.0,7.2
6.275,-1.0,-4.0,1019.4,240.0,7.2
6.2,0.0,-5.0,1019.4,280.0,7.7
7.925,-3.0,-4.0,1019.4,320.0,4.1
7.85,-3.0,-4.0,1019.4,320.0,3.6
8.0,-3.0,-4.0,1019.4,320.0,3.6
8.025,-3.0,-4.0,1019.4,320.0,3.6
7.8,-3.0,-4.0,1019.4,320.0,5.7
7.95,-4.0,-7.0,1019.4,320.0,5.1
7.925,-4.0,-8.0,1019.4,300.0,5.1
7.975,-3.0,-7.0,1019.4,280.0,4.1
7.8,-3.0,-6.0,1019.4,290.0,2.1
6.675,-3.0,-6.0,1019.4,280.0,2.1
6.375,-3.0,-5.0,1019.4,200.0,2.1
6.275,-2.0,-4.0,1019.4,220.0,4.6
7.725,-2.0,-5.0,1019.4,230.0,6.2
6.275,-2.0,-6.0,1019.4,230.0,3.6
6.5,-2.0,-6.0,1019.4,230.0,3.1
7.05,-2.0,-6.0,1019.4,250.0,5.1
7.875,-2.0,-5.0,1019.4,230.0,4.1
7.875,-2.0,-5.0,1019.4,230.0,4.1
8.05,-2.0,-5.0,1019.4,230.0,4.6
7.9,-1.0,-5.0,1019.4,230.0,4.6
7.975,-1.0,-5.0,1019.4,230.0,3.1
7.875,-2.0,-7.0,1019.4,230.0,3.1
7.9,-2.0,-6.0,1019.4,230.0,3.6
7.8,0.0,-4.0,1019.4,240.0,6.2
8.875,1.0,-4.0,1019.4,250.0,3.6
7.775,1.0,-3.0,1019.4,270.0,5.1
7.6,-1.0,-2.0,1019.4,320.0,3.1
6.85,-1.0,-2.0,1019.4,300.0,2.1
7.7,1.0,-2.0,1019.4,260.0,3.1
6.7,1.0,-3.0,1019.4,270.0,4.1
6.85,1.0,-3.0,1019.4,270.0,3.6
7.475,1.0,-3.0,1019.4,280.0,4.1
9.05,1.0,-3.0,1019.4,290.0,4.6
7.95,1.0,-4.0,1019.4,290.0,5.1
8.8,0.0,-2.0,1019.4,320.0,8.8
8.0,-2.0,-4.0,1019.4,330.0,6.2
7.95,-3.0,-5.0,1019.4,320.0,6.7
7.95,-4.0,-7.0,1019.4,310.0,5.7
7.925,-4.0,-8.0,1019.4,300.0,5.1
18.4,-12.0,-14.0,1019.4,300.0,4.1
21.3,-12.0,-14.0,1019.4,360.0,5.1
20.525,-12.0,-15.0,1019.4,10.0,6.2
20.725,-12.0,-15.0,1019.4,10.0,4.1
22.7,-13.0,-16.0,1019.4,340.0,8.2
23.2,-13.0,-16.0,1019.4,350.0,5.7
22.7,-12.0,-16.0,1019.4,350.0,5.7
24.125,-13.0,-17.0,1019.4,360.0,6.7
20.675,-13.0,-17.0,1019.4,350.0,7.2
20.625,-14.0,-18.0,1019.4,340.0,5.7
18.45,-14.0,-18.0,1019.4,350.0,5.7
16.7,-14.0,-17.0,1019.4,360.0,6.2
13.0,-14.0,-17.0,1019.4,350.0,5.1
13.6,-14.0,-17.0,1019.4,360.0,4.6
13.45,-13.0,-17.0,1019.4,360.0,6.2
14.325,-14.0,-17.0,1019.4,10.0,5.1
21.275,-14.0,-16.0,1019.4,20.0,2.6
24.375,-15.0,-17.0,1019.4,30.0,2.6
21.375,-12.0,-15.0,1019.4,30.0,2.6
22.925,-9.0,-14.0,1019.4,30.0,2.1
