0,1,2,3,4,5
46.1434,14.4,13.3,1009.4,170.0,5.7
47.8795,15.0,13.9,1008.8,200.0,4.6
48.9759,15.6,13.9,1009.0,210.0,4.1
50.8948,15.0,13.9,1009.1,210.0,3.1
50.6206,15.0,13.9,1009.1,220.0,2.1
50.8034,15.0,13.9,1010.2,220.0,2.1
50.4379,15.0,13.9,1010.6,220.0,2.1
48.0622,15.0,13.9,1011.1,230.0,1.5
46.783,15.6,13.9,1011.6,270.0,3.1
43.2194,15.0,13.3,1012.1,260.0,2.6
41.392,14.4,12.8,1012.6,250.0,2.6
40.4782,13.9,12.2,1012.8,260.0,1.5
41.392,12.8,11.7,1013.2,320.0,1.5
39.2904,12.2,11.7,1013.1,0.0,0.0
38.9249,11.1,10.6,1012.8,190.0,1.5
38.1025,9.4,8.9,1012.7,150.0,2.1
39.2904,10.0,9.4,1012.7,0.0,0.0
39.4731,11.1,10.0,1012.5,100.0,1.5
38.0112,11.7,11.1,1012.7,70.0,1.5
38.5594,12.2,11.7,1011.9,70.0,2.1
38.2853,13.3,12.2,1011.5,50.0,2.1
37.2802,13.3,12.8,1011.1,80.0,1.5
39.5645,13.3,12.8,1009.8,120.0,3.1
41.4833,13.9,12.8,1007.8,100.0,3.6
43.9504,13.9,12.8,1007.3,60.0,4.1
45.6865,13.9,12.8,1007.3,70.0,3.6
46.5089,12.8,11.7,1007.3,70.0,2.6
48.6104,12.2,11.1,1006.3,70.0,4.6
48.1536,12.2,11.1,1006.2,70.0,4.1
48.7018,12.2,11.1,1005.6,50.0,3.1
47.7881,12.2,11.7,1004.7,40.0,2.1
46.6002,12.2,11.7,1003.3,60.0,3.1
42.7626,12.8,12.2,1001.8,60.0,3.6
42.4884,12.8,11.7,1000.5,90.0,2.6
39.4731,12.8,11.7,998.6,90.0,3.1
39.4731,11.7,10.6,998.3,290.0,1.5
37.0061,11.7,11.1,997.3,0.0,0.0
38.6508,13.3,11.7,998.1,260.0,3.1
37.3716,13.3,10.6,1000.1,260.0,3.6
35.4527,12.2,10.0,1000.6,240.0,2.6
35.4527,11.7,4.4,1001.9,300.0,5.1
0.0,10.6,3.9,1003.1,310.0,3.6
0.0,10.0,1.7,1003.9,290.0,5.1
0.0,10.0,1.1,1004.8,290.0,5.7
0.0,10.6,1.1,1005.3,300.0,4.6
0.0,10.6,1.1,1005.3,300.0,6.7
0.0,10.6,1.1,1005.0,300.0,7.2
0.0,11.1,0.0,1005.1,280.0,6.2
42.4884,10.6,0.0,1005.4,280.0,6.2
44.6814,10.6,0.0,1005.8,280.0,5.1
46.2347,10.0,0.0,1006.3,280.0,4.6
44.3159,9.4,0.0,1007.3,290.0,5.7
45.5038,8.9,-1.1,1008.5,290.0,5.7
44.3159,8.3,-1.7,1009.3,290.0,4.6
43.6763,7.2,-2.2,1010.2,310.0,5.7
44.6814,6.1,-3.3,1010.4,290.0,4.1
43.0367,5.6,-3.3,1010.6,280.0,2.6
39.2904,5.0,-3.9,1010.6,270.0,3.1
38.6508,4.4,-3.3,1010.8,240.0,2.6
39.2904,3.9,-3.3,1011.3,260.0,2.6
37.9198,3.3,-3.3,1012.2,240.0,2.6
39.8386,3.3,-3.9,1012.3,260.0,2.6
37.1888,2.8,-3.3,1012.3,250.0,3.1
37.737,3.3,-2.8,1012.4,280.0,3.6
37.3716,3.9,-2.8,1013.0,260.0,4.1
36.2751,3.3,-2.8,1013.4,250.0,2.6
36.9147,3.9,-2.8,1013.7,260.0,2.1
38.5594,5.6,-2.2,1013.9,280.0,4.6
37.2802,7.2,-1.7,1014.1,290.0,5.7
37.737,8.9,-1.7,1013.8,310.0,7.2
37.9198,9.4,-1.1,1012.9,280.0,4.1
