0,1,2,3,4,5
223.9281,14.4,13.3,1009.4,170.0,5.7
249.9852,15.0,13.9,1008.8,200.0,4.6
260.5709,15.6,13.9,1009.0,210.0,4.1
267.8995,15.0,13.9,1009.1,210.0,3.1
258.9424,15.0,13.9,1009.1,220.0,2.1
258.1281,15.0,13.9,1010.2,220.0,2.1
272.7852,15.0,13.9,1010.6,220.0,2.1
249.1709,15.0,13.9,1011.1,230.0,1.5
244.2852,15.6,13.9,1011.6,270.0,3.1
237.771,15.0,13.3,1012.1,260.0,2.6
235.3281,14.4,12.8,1012.6,250.0,2.6
229.6281,13.9,12.2,1012.8,260.0,1.5
226.371,12.8,11.7,1013.2,320.0,1.5
211.7139,12.2,11.7,1013.1,0.0,0.0
201.9425,11.1,10.6,1012.8,190.0,1.5
157.9711,9.4,8.9,1012.7,150.0,2.1
181.5854,10.0,9.4,1012.7,0.0,0.0
175.0711,11.1,10.0,1012.5,100.0,1.5
181.5854,11.7,11.1,1012.7,70.0,1.5
174.2568,12.2,11.7,1011.9,70.0,2.1
171.81400000000005,13.3,12.2,1011.5,50.0,2.1
169.3711,13.3,12.8,1011.1,80.0,1.5
175.0711,13.3,12.8,1009.8,120.0,3.1
186.4711,13.9,12.8,1007.8,100.0,3.6
280.1137,13.9,12.8,1007.3,60.0,4.1
267.8995,13.9,12.8,1007.3,70.0,3.6
272.7852,12.8,11.7,1007.3,70.0,2.6
263.8281,12.2,11.1,1006.3,70.0,4.6
261.3852,12.2,11.1,1006.2,70.0,4.1
337.1136,12.2,11.1,1005.6,50.0,3.1
294.7708,12.2,11.7,1004.7,40.0,2.1
249.9852,12.2,11.7,1003.3,60.0,3.1
243.4709,12.8,12.2,1001.8,60.0,3.6
222.2996,12.8,11.7,1000.5,90.0,2.6
223.1139,12.8,11.7,998.6,90.0,3.1
218.2281,11.7,10.6,998.3,290.0,1.5
201.9425,11.7,11.1,997.3,0.0,0.0
189.7282,13.3,11.7,998.1,260.0,3.1
175.0711,13.3,10.6,1000.1,260.0,3.6
156.3425,12.2,10.0,1000.6,240.0,2.6
157.9711,11.7,4.4,1001.9,300.0,5.1
0.0,10.6,3.9,1003.1,310.0,3.6
0.0,10.0,1.7,1003.9,290.0,5.1
0.0,10.0,1.1,1004.8,290.0,5.7
0.0,10.6,1.1,1005.3,300.0,4.6
0.0,10.6,1.1,1005.3,300.0,6.7
0.0,10.6,1.1,1005.0,300.0,7.2
0.0,11.1,0.0,1005.1,280.0,6.2
202.7567,10.6,0.0,1005.4,280.0,6.2
245.9138,10.6,0.0,1005.8,280.0,5.1
259.7566,10.0,0.0,1006.3,280.0,4.6
248.3567,9.4,0.0,1007.3,290.0,5.7
250.7995,8.9,-1.1,1008.5,290.0,5.7
244.2852,8.3,-1.7,1009.3,290.0,4.6
269.5281,7.2,-2.2,1010.2,310.0,5.7
245.0995,6.1,-3.3,1010.4,290.0,4.1
240.2138,5.6,-3.3,1010.6,280.0,2.6
217.4138,5.0,-3.9,1010.6,270.0,3.1
211.7139,4.4,-3.3,1010.8,240.0,2.6
211.7139,3.9,-3.3,1011.3,260.0,2.6
233.6995,3.3,-3.3,1012.2,240.0,2.6
211.7139,3.3,-3.9,1012.3,260.0,2.6
207.6424,2.8,-3.3,1012.3,250.0,3.1
203.571,3.3,-2.8,1012.4,280.0,3.6
203.571,3.9,-2.8,1013.0,260.0,4.1
198.6853,3.3,-2.8,1013.4,250.0,2.6
200.3139,3.9,-2.8,1013.7,260.0,2.1
191.3568,5.6,-2.2,1013.9,280.0,4.6
175.0711,7.2,-1.7,1014.1,290.0,5.7
183.2139,8.9,-1.7,1013.8,310.0,7.2
181.5854,9.4,-1.1,1012.9,280.0,4.1
192.9853,10.0,-1.7,1012.4,290.0,5.7
219.8567,10.0,-1.7,1012.0,320.0,5.1
212.5282,10.0,-2.8,1012.1,280.0,6.2
249.9852,9.4,-3.3,1012.5,280.0,7.2
235.3281,8.9,-3.3,1012.9,270.0,5.1
256.4995,7.8,-3.3,1013.4,270.0,7.7
235.3281,7.2,-3.3,1013.7,270.0,5.7
249.1709,6.7,-2.8,1013.7,270.0,5.1
252.4281,6.1,-2.8,1013.8,270.0,3.6
223.1139,6.7,-2.2,1013.9,270.0,5.1
221.4853,6.1,-2.2,1014.2,270.0,4.1
207.6424,5.6,-1.7,1014.3,260.0,3.1
206.8282,5.6,-1.7,1014.3,270.0,3.6
193.7996,6.1,-1.7,1014.5,280.0,3.6
187.2853,6.1,-1.7,1015.0,290.0,3.1
183.2139,5.6,-0.6,1014.7,300.0,5.7
176.6996,5.0,-1.1,1015.5,320.0,4.6
170.9997,5.0,-1.7,1016.0,320.0,4.6
162.8568,5.6,-2.8,1016.6,300.0,6.2
166.9282,6.1,-3.3,1017.2,320.0,5.7
166.9282,6.7,-2.8,1017.5,320.0,3.1
161.2283,7.2,-2.8,1018.2,320.0,5.1
159.5997,8.3,-2.8,1018.0,300.0,7.7
154.714,8.9,-2.8,1018.1,300.0,7.2
152.2711,9.4,-2.8,1017.9,310.0,5.7
159.5997,10.0,-3.3,1017.3,330.0,6.2
181.5854,9.4,-3.9,1017.3,320.0,5.1
167.7425,9.4,-2.8,1018.6,320.0,6.7
176.6996,8.3,-3.3,1019.4,320.0,8.8
183.2139,7.8,-3.9,1019.7,340.0,6.2
192.9853,7.2,-3.3,1019.8,320.0,3.1
198.6853,7.2,-3.3,1020.0,320.0,4.1
215.7853,7.2,-2.8,1020.5,320.0,2.1
197.0567,7.2,-2.8,1020.6,310.0,5.1
201.9425,6.7,-3.3,1021.4,310.0,3.1
199.4996,6.7,-3.9,1021.7,320.0,3.1
209.271,6.1,-3.3,1022.1,350.0,4.1
195.4282,5.6,-3.9,1022.4,350.0,5.7
188.0996,5.6,-4.4,1022.5,340.0,5.1
184.0282,5.0,-5.0,1022.6,340.0,4.1
178.3282,5.0,-5.0,1022.5,310.0,2.6
163.6711,4.4,-5.0,1022.6,340.0,1.5
157.9711,4.4,-5.0,1023.3,330.0,2.1
156.3425,3.9,-5.0,1023.4,0.0,0.0
153.0854,5.6,-4.4,1023.5,320.0,2.6
168.5568,7.2,-3.9,1023.4,350.0,3.6
173.4425,7.2,-3.9,1023.2,10.0,3.1
163.6711,7.8,-3.9,1022.6,290.0,3.6
156.3425,7.8,-4.4,1022.3,320.0,2.6
162.8568,7.8,-4.4,1021.8,290.0,3.1
170.1854,7.8,-5.0,1021.8,290.0,2.1
188.9139,7.2,-5.6,1021.6,320.0,1.5
196.2425,6.7,-5.6,1021.5,0.0,0.0
222.2996,5.6,-4.4,1021.2,0.0,0.0
219.0424,5.6,-4.4,1021.3,0.0,0.0
214.1567,5.0,-3.9,1021.5,0.0,0.0
210.8996,4.4,-2.8,1020.8,0.0,0.0
219.0424,4.4,-2.8,1019.8,0.0,0.0
213.3424,4.4,-2.2,1019.5,140.0,2.1
216.5996,5.0,-2.8,1019.0,180.0,2.6
223.1139,5.0,-2.8,1017.9,170.0,2.6
213.3424,4.4,-0.6,1017.0,190.0,6.2
227.1853,3.3,1.1,1017.2,170.0,3.6
214.1567,3.3,1.7,1016.3,140.0,2.1
192.9853,3.3,1.7,1015.9,190.0,1.5
208.4567,3.3,2.2,1015.5,190.0,2.6
201.1282,3.9,2.8,1015.6,210.0,3.6
197.871,4.4,3.3,1015.1,190.0,3.1
193.7996,5.0,3.9,1015.2,240.0,1.5
192.1711,5.6,3.9,1016.0,260.0,4.1
188.9139,6.7,4.4,1015.5,290.0,3.1
194.6139,7.2,3.9,1014.8,290.0,4.6
208.4567,8.9,3.9,1014.3,330.0,5.7
225.5567,8.3,1.7,1014.9,320.0,4.6
260.5709,8.3,0.6,1015.3,340.0,5.1
