0,1,2,3,4,5
61.2,7.2,4.4,1012.7,0.0,0.0
72.57,8.9,2.2,1013.5,260.0,3.1
74.64,11.7,2.2,1014.4,210.0,2.1
76.06,13.3,-6.1,1014.7,330.0,6.7
77.1,14.4,-6.7,1014.6,330.0,4.6
74.4,15.0,-7.2,1014.1,290.0,3.1
72.16,15.0,-7.2,1013.8,300.0,3.6
70.72,15.6,-6.7,1013.6,260.0,3.1
70.77,15.6,-6.7,1013.8,300.0,3.1
68.05,15.0,-4.4,1014.4,230.0,3.6
60.93,13.3,-2.8,1015.0,240.0,3.1
57.27,13.9,-6.7,1015.4,280.0,3.6
53.79,11.1,-1.1,1016.3,230.0,2.6
43.66,11.1,-2.8,1016.8,0.0,0.0
34.54,11.7,-2.2,1017.0,320.0,1.5
27.41,8.9,-0.6,1017.6,140.0,1.5
29.6,8.9,-0.6,1017.9,80.0,2.6
27.86,8.3,-1.1,1017.7,140.0,1.5
27.9,7.2,-0.6,1018.1,120.0,1.5
28.58,7.2,0.0,1017.9,0.0,0.0
28.18,7.2,-0.6,1018.2,350.0,2.1
30.8,6.1,0.0,1017.8,0.0,0.0
47.51,6.1,-1.7,1018.1,0.0,0.0
56.54,5.0,-0.6,1018.5,100.0,1.5
64.83,6.7,-1.7,1018.7,0.0,0.0
71.3,8.3,-1.1,1019.1,130.0,1.5
72.98,10.6,-3.3,1019.4,0.0,0.0
74.67,12.8,-6.1,1018.7,60.0,3.1
74.83,13.9,-6.1,1017.8,80.0,2.6
78.14,15.0,-6.1,1016.8,0.0,0.0
73.05,16.1,-6.7,1016.0,0.0,0.0
68.14,16.1,-7.2,1015.6,270.0,3.1
65.76,16.1,-7.8,1015.3,310.0,3.6
61.82,15.6,-7.8,1014.3,310.0,2.1
56.4,15.0,-8.3,1014.1,320.0,3.1
55.72,14.4,-7.2,1014.1,310.0,2.6
55.86,10.6,-1.7,1014.3,230.0,2.1
52.39,10.0,-1.1,1014.4,230.0,3.1
33.12,10.6,-3.3,1014.4,230.0,3.1
31.57,8.9,-1.7,1014.5,250.0,1.5
32.77,8.9,-2.2,1014.6,260.0,2.1
30.24,8.3,-2.2,1014.3,0.0,0.0
27.65,7.2,-1.1,1014.5,80.0,3.6
27.63,7.2,-1.1,1014.5,110.0,2.6
27.1,6.7,-2.8,1014.4,130.0,2.6
30.55,6.1,-2.2,1014.2,120.0,3.1
46.97,6.7,-3.3,1014.3,120.0,3.1
57.28,6.7,-3.9,1014.9,120.0,2.6
65.37,6.7,-2.8,1015.3,140.0,2.6
73.75,8.3,-2.8,1015.5,100.0,3.1
78.08,10.0,-2.8,1015.5,90.0,4.1
76.67,11.7,-3.3,1014.9,70.0,3.1
79.74,12.8,-3.3,1014.1,0.0,0.0
78.59,15.0,-4.4,1013.0,0.0,2.1
74.62,15.6,-5.0,1012.4,280.0,1.5
73.61,16.1,-4.4,1011.9,260.0,3.6
68.13,16.1,-5.0,1011.3,260.0,3.1
66.96,15.6,-5.6,1011.0,220.0,2.6
63.06,13.3,-3.3,1011.3,230.0,2.6
59.57,12.2,-2.2,1011.7,240.0,2.1
47.84,11.1,-1.1,1011.9,220.0,1.5
41.03,11.7,-3.3,1012.0,230.0,2.1
31.89,11.7,-2.8,1012.1,0.0,0.0
30.0,11.1,-1.7,1011.6,0.0,0.0
28.19,10.0,-1.1,1011.5,110.0,2.1
27.54,8.9,-1.1,1010.9,100.0,2.1
27.55,8.9,-1.1,1010.7,90.0,3.6
27.71,8.3,-1.7,1010.7,80.0,3.6
27.94,8.3,0.0,1010.7,90.0,3.6
30.94,8.9,-0.6,1010.7,100.0,1.5
47.36,8.3,0.0,1010.5,100.0,2.6
58.46,8.3,-1.1,1011.4,110.0,2.6
