0,1,2,3,4,5
63.9,7.2,-5.6,1017.3,0.0,0.0
63.9,7.2,-6.7,1017.0,50.0,1.5
63.9,6.1,-5.0,1016.9,0.0,0.0
63.9,5.0,-5.6,1017.4,0.0,0.0
63.9,4.4,-5.6,1017.2,0.0,0.0
63.9,4.4,-5.0,1017.4,0.0,0.0
63.9,2.8,-5.0,1018.0,0.0,0.0
63.9,3.3,-5.0,1018.9,0.0,0.0
63.9,3.3,-3.9,1019.4,0.0,0.0
63.9,5.6,-2.8,1020.0,100.0,1.5
63.9,8.3,-3.3,1020.5,0.0,0.0
63.9,10.6,-4.4,1020.5,0.0,0.0
63.9,12.2,-3.9,1019.8,0.0,0.0
53.28,14.4,-3.3,1018.5,0.0,0.0
48.7,16.7,-1.7,1017.7,0.0,0.0
45.92,17.8,-1.1,1017.4,0.0,0.0
46.19,18.9,-0.6,1017.4,0.0,0.0
47.46,18.3,-0.6,1017.7,270.0,2.6
54.82,17.2,0.0,1018.1,250.0,2.1
58.16,14.4,0.6,1018.9,250.0,2.1
60.85,12.2,0.6,1019.2,210.0,1.5
53.88,11.7,0.6,1019.4,0.0,0.0
56.5,11.7,0.0,1019.8,0.0,0.0
63.67,11.1,0.0,1019.9,0.0,0.0
70.12,10.6,0.6,1019.9,90.0,3.1
70.53,11.1,0.6,1019.9,100.0,3.1
70.53,10.0,0.6,1019.5,100.0,2.6
70.53,10.6,0.6,1019.4,80.0,3.6
70.53,11.1,0.6,1019.4,90.0,4.1
70.53,10.0,0.6,1019.7,110.0,2.1
70.53,10.0,0.6,1019.9,110.0,3.1
70.53,9.4,0.6,1020.2,100.0,3.6
70.53,10.6,0.6,1020.8,90.0,4.1
70.53,12.2,0.0,1020.9,80.0,6.2
57.27,14.4,0.0,1021.3,80.0,7.7
48.99,16.1,0.0,1021.3,70.0,7.7
47.46,17.8,-0.6,1020.5,100.0,5.1
45.5,18.9,-0.6,1018.9,100.0,5.7
45.39,20.6,-0.6,1017.8,100.0,4.1
46.58,20.6,-1.1,1017.1,100.0,3.1
43.87,20.6,-1.7,1016.6,110.0,2.1
45.09,20.0,-1.1,1016.4,70.0,2.6
49.43,18.9,-1.1,1016.4,60.0,3.1
49.97,16.7,-0.6,1016.8,80.0,3.6
51.38,15.6,-0.6,1017.5,90.0,2.6
44.95,15.0,-0.6,1018.2,100.0,2.1
48.16,13.9,0.0,1018.5,110.0,3.1
53.52,13.3,0.6,1018.7,100.0,2.6
54.67,12.2,0.6,1018.4,100.0,3.1
56.17,11.7,0.6,1018.5,130.0,2.1
58.08,12.2,0.6,1018.1,80.0,4.1
61.76,11.7,0.0,1018.2,90.0,2.6
65.71,12.2,0.0,1018.2,100.0,2.6
64.36,12.2,0.0,1017.5,100.0,3.1
67.72,12.2,0.0,1017.3,90.0,4.6
67.72,11.7,0.0,1018.1,90.0,3.6
65.72,11.7,0.0,1018.6,90.0,4.1
56.76,13.3,0.6,1019.1,90.0,5.1
44.68,15.6,0.0,1019.5,80.0,7.2
42.76,17.8,0.0,1018.8,90.0,7.2
50.77,18.9,0.6,1017.8,90.0,4.6
45.82,19.4,0.0,1016.4,60.0,3.6
33.24,21.1,0.0,1014.6,90.0,4.6
33.0,21.1,0.0,1013.7,80.0,5.7
32.49,21.1,-0.6,1013.2,80.0,4.1
32.45,20.6,-1.1,1012.8,70.0,5.7
35.43,19.4,-2.2,1012.7,70.0,4.6
42.93,18.3,-2.2,1012.1,80.0,4.6
38.81,18.3,-2.8,1011.8,80.0,5.1
38.9,17.2,-2.2,1011.7,80.0,2.6
39.45,17.2,-1.7,1011.5,70.0,2.1
39.29,16.7,-1.7,1011.5,90.0,3.1
45.17,16.7,-1.7,1011.2,110.0,1.5
44.3,15.6,-1.1,1010.7,110.0,2.6
43.81,16.1,-0.6,1009.6,90.0,4.6
47.73,15.0,-0.6,1010.1,110.0,2.1
45.5,15.6,-0.6,1009.4,120.0,2.6
47.37,15.6,2.2,1009.2,0.0,0.0
46.54,13.9,4.4,1009.4,270.0,1.5
58.27,14.4,3.3,1009.8,0.0,0.0
67.06,13.9,2.8,1010.0,80.0,4.6
58.85,13.9,3.9,1010.7,100.0,2.6
53.07,15.0,3.3,1011.5,120.0,3.6
57.07,16.1,3.9,1011.9,140.0,7.2
63.87,13.3,7.8,1012.5,140.0,7.7
63.17,12.2,9.4,1011.0,90.0,5.7
56.26,13.3,9.4,1010.3,120.0,6.7
58.06,13.9,8.9,1009.9,110.0,6.7
57.54,14.4,8.3,1009.9,90.0,4.6
52.94,14.4,7.8,1010.0,110.0,3.1
57.13,14.4,8.3,1010.3,90.0,2.6
59.23,13.9,9.4,1011.1,350.0,2.6
64.04,12.2,10.6,1011.8,350.0,4.1
61.37,11.7,10.6,1011.9,90.0,3.6
60.54,11.7,10.0,1012.4,100.0,3.6
59.29,11.7,10.0,1012.9,110.0,2.6
60.93,11.7,10.0,1013.0,110.0,4.6
61.76,11.7,9.4,1013.0,120.0,3.1
62.56,11.7,10.0,1013.0,110.0,1.5
62.94,11.7,9.4,1013.2,130.0,4.6
64.6,11.1,9.4,1013.2,100.0,3.6
64.64,11.1,9.4,1013.0,90.0,4.6
63.73,11.1,9.4,1012.9,80.0,5.1
63.73,11.1,9.4,1013.6,90.0,4.1
63.73,11.1,8.9,1014.0,90.0,4.1
63.73,11.7,8.9,1014.3,100.0,3.6
64.06,11.7,9.4,1014.8,100.0,4.6
63.37,12.8,11.1,1014.8,110.0,4.6
61.53,13.3,10.0,1014.2,140.0,4.1
63.02,12.8,11.1,1013.3,120.0,2.6
58.08,13.9,11.7,1011.413905088622,110.0,2.6
59.82,13.9,11.7,1011.7,80.0,3.6
63.04,13.9,11.7,1011.4,80.0,4.1
59.63,13.3,11.7,1011.4,90.0,3.1
52.59,13.3,12.2,1011.4,90.0,2.1
56.62,13.3,12.2,1011.4,100.0,3.1
61.28,12.8,11.7,1011.4,110.0,3.6
55.33,13.3,11.7,1011.4,80.0,3.1
55.65,13.3,12.2,1011.1,140.0,4.6
59.01,13.3,11.7,1010.8,160.0,4.1
62.16,12.8,11.7,1010.5,160.0,3.6
59.3,12.8,11.7,1010.2,130.0,2.1
60.75,12.8,11.1,1009.7,120.0,3.6
59.76,12.8,11.1,1009.0,110.0,4.6
59.76,10.6,8.3,1010.0,250.0,4.6
59.76,10.6,8.3,1010.0,0.0,0.0
59.76,10.6,7.8,1010.8,60.0,2.1
59.76,10.0,7.8,1012.1,140.0,4.1
59.76,10.0,8.3,1013.2,130.0,2.6
59.76,10.6,8.3,1014.0,150.0,3.6
63.39,12.2,7.8,1014.8,230.0,2.6
61.99,13.3,6.1,1015.4,220.0,5.1
60.39,14.4,5.6,1014.9,220.0,3.6
68.7,15.0,5.0,1014.3,230.0,6.2
62.41,14.4,5.0,1014.0,250.0,5.7
53.5,15.0,4.4,1014.1,230.0,5.1
52.95,15.0,3.9,1013.8,280.0,2.6
54.09,15.0,4.4,1014.3,300.0,2.1
55.32,14.4,3.9,1014.3,290.0,2.1
62.57,14.4,4.4,1014.4,330.0,1.5
68.81,13.3,5.6,1014.5,90.0,2.1
69.22,12.2,5.6,1014.3,80.0,3.6
69.6,11.7,6.7,1014.8,90.0,2.6
66.46,11.7,6.1,1014.9,110.0,2.1
72.0,10.6,7.8,1013.7,90.0,4.1
72.0,10.6,6.7,1014.1,160.0,2.6
72.0,10.6,7.2,1013.3,150.0,4.1
72.0,10.0,7.2,1013.0,110.0,4.1
72.0,10.0,7.8,1012.4,90.0,3.6
72.0,10.0,8.3,1011.9,80.0,3.6
72.0,10.0,8.9,1011.4,110.0,3.6
72.0,10.0,8.9,1011.4,130.0,3.1
72.0,10.0,8.3,1010.4,130.0,3.6
72.0,11.1,7.8,1011.5,0.0,0.0
72.0,9.4,7.8,1012.3,230.0,4.1
72.0,10.0,7.8,1012.2,190.0,1.5
72.0,10.0,7.2,1011.1,210.0,5.1
72.0,10.6,7.2,1009.9,270.0,8.2
82.13,11.1,6.7,1008.8,220.0,1.5
77.96,11.7,5.6,1008.5,140.0,2.1
74.48,11.7,6.7,1008.4,140.0,3.1
83.16,10.0,7.8,1008.9,140.0,3.1
83.54,10.0,7.2,1009.2,140.0,2.1
83.17,9.4,8.3,1009.5,180.0,2.6
83.31,9.4,8.3,1009.9,80.0,2.1
79.79,9.4,5.6,1010.1,230.0,2.1
77.85,9.4,6.1,1010.4,0.0,0.0
77.85,8.9,7.2,1010.6,90.0,2.1
77.85,8.9,5.0,1010.5,310.0,2.1
77.85,8.3,5.6,1010.3,240.0,1.5
77.85,8.3,6.1,1010.1,220.0,1.5
77.85,7.8,5.6,1010.2,0.0,0.0
77.85,7.8,5.6,1009.9,0.0,0.0
77.85,7.8,6.1,1009.9,90.0,1.5
77.85,7.8,6.1,1010.3,90.0,2.1
77.85,7.8,6.1,1011.2,0.0,0.0
77.85,7.8,6.1,1011.9,80.0,2.1
77.85,8.3,6.1,1012.8,0.0,0.0
77.85,9.4,6.1,1013.8,0.0,0.0
77.85,10.0,5.0,1014.3,0.0,0.0
77.85,10.6,5.0,1014.1,0.0,1.5
82.66,12.2,3.9,1013.4,270.0,4.6
77.62,11.7,3.3,1013.4,240.0,3.6
75.6,12.2,4.4,1013.5,220.0,3.6
75.25,13.3,4.4,1013.8,240.0,5.1
72.56,12.2,3.3,1014.7,260.0,4.6
76.35,11.7,3.3,1015.3,250.0,2.6
78.24,11.1,5.0,1016.0,210.0,2.1
78.99,11.7,3.9,1016.5,0.0,0.0
73.57,10.6,6.1,1017.2,90.0,2.6
70.39,10.0,5.6,1017.6,90.0,3.1
