0,1,2,3,4,5
86.13,7.2,4.4,1012.7,0.0,0.0
81.36,8.9,2.2,1013.5,260.0,3.1
90.51,11.7,2.2,1014.4,210.0,2.1
90.51,13.3,-6.1,1014.7,330.0,6.7
89.38,14.4,-6.7,1014.6,330.0,4.6
90.83,15.0,-7.2,1014.1,290.0,3.1
92.18,15.0,-7.2,1013.8,300.0,3.6
76.47,15.6,-6.7,1013.6,260.0,3.1
75.32,15.6,-6.7,1013.8,300.0,3.1
88.23,15.0,-4.4,1014.4,230.0,3.6
106.12,13.3,-2.8,1015.0,240.0,3.1
104.72,13.9,-6.7,1015.4,280.0,3.6
94.31,11.1,-1.1,1016.3,230.0,2.6
92.17,11.1,-2.8,1016.8,0.0,0.0
93.19,11.7,-2.2,1017.0,320.0,1.5
91.66,8.9,-0.6,1017.6,140.0,1.5
81.12,8.9,-0.6,1017.9,80.0,2.6
75.22,8.3,-1.1,1017.7,140.0,1.5
76.71,7.2,-0.6,1018.1,120.0,1.5
76.8,7.2,0.0,1017.9,0.0,0.0
77.74,7.2,-0.6,1018.2,350.0,2.1
93.24,6.1,0.0,1017.8,0.0,0.0
98.85,6.1,-1.7,1018.1,0.0,0.0
98.37,5.0,-0.6,1018.5,100.0,1.5
84.83,6.7,-1.7,1018.7,0.0,0.0
82.07,8.3,-1.1,1019.1,130.0,1.5
83.41,10.6,-3.3,1019.4,0.0,0.0
80.57,12.8,-6.1,1018.7,60.0,3.1
83.14,13.9,-6.1,1017.8,80.0,2.6
85.78,15.0,-6.1,1016.8,0.0,0.0
84.45,16.1,-6.7,1016.0,0.0,0.0
80.88,16.1,-7.2,1015.6,270.0,3.1
79.26,16.1,-7.8,1015.3,310.0,3.6
101.95,15.6,-7.8,1014.3,310.0,2.1
105.04,15.0,-8.3,1014.1,320.0,3.1
106.32,14.4,-7.2,1014.1,310.0,2.6
100.14,10.6,-1.7,1014.3,230.0,2.1
92.82,10.0,-1.1,1014.4,230.0,3.1
93.15,10.6,-3.3,1014.4,230.0,3.1
81.16,8.9,-1.7,1014.5,250.0,1.5
77.83,8.9,-2.2,1014.6,260.0,2.1
78.34,8.3,-2.2,1014.3,0.0,0.0
78.8,7.2,-1.1,1014.5,80.0,3.6
78.47,7.2,-1.1,1014.5,110.0,2.6
79.71,6.7,-2.8,1014.4,130.0,2.6
87.63,6.1,-2.2,1014.2,120.0,3.1
98.47,6.7,-3.3,1014.3,120.0,3.1
99.02,6.7,-3.9,1014.9,120.0,2.6
84.66,6.7,-2.8,1015.3,140.0,2.6
85.92,8.3,-2.8,1015.5,100.0,3.1
93.04,10.0,-2.8,1015.5,90.0,4.1
94.5,11.7,-3.3,1014.9,70.0,3.1
94.77,12.8,-3.3,1014.1,0.0,0.0
95.27,15.0,-4.4,1013.0,0.0,2.1
93.19,15.6,-5.0,1012.4,280.0,1.5
77.83,16.1,-4.4,1011.9,260.0,3.6
