0,1,2,3,4,5
8.1,7.2,4.4,1012.7,0.0,0.0
8.18,8.9,2.2,1013.5,260.0,3.1
8.3,11.7,2.2,1014.4,210.0,2.1
10.34,13.3,-6.1,1014.7,330.0,6.7
9.72,14.4,-6.7,1014.6,330.0,4.6
10.18,15.0,-7.2,1014.1,290.0,3.1
10.43,15.0,-7.2,1013.8,300.0,3.6
10.17,15.6,-6.7,1013.6,260.0,3.1
7.28,15.6,-6.7,1013.8,300.0,3.1
2.9,15.0,-4.4,1014.4,230.0,3.6
3.54,13.3,-2.8,1015.0,240.0,3.1
4.38,13.9,-6.7,1015.4,280.0,3.6
3.48,11.1,-1.1,1016.3,230.0,2.6
4.41,11.1,-2.8,1016.8,0.0,0.0
4.38,11.7,-2.2,1017.0,320.0,1.5
3.94,8.9,-0.6,1017.6,140.0,1.5
4.52,8.9,-0.6,1017.9,80.0,2.6
4.69,8.3,-1.1,1017.7,140.0,1.5
4.31,7.2,-0.6,1018.1,120.0,1.5
6.71,7.2,0.0,1017.9,0.0,0.0
16.89,7.2,-0.6,1018.2,350.0,2.1
12.99,6.1,0.0,1017.8,0.0,0.0
11.52,6.1,-1.7,1018.1,0.0,0.0
10.6,5.0,-0.6,1018.5,100.0,1.5
9.12,6.7,-1.7,1018.7,0.0,0.0
8.69,8.3,-1.1,1019.1,130.0,1.5
8.01,10.6,-3.3,1019.4,0.0,0.0
8.24,12.8,-6.1,1018.7,60.0,3.1
8.81,13.9,-6.1,1017.8,80.0,2.6
9.52,15.0,-6.1,1016.8,0.0,0.0
9.51,16.1,-6.7,1016.0,0.0,0.0
8.93,16.1,-7.2,1015.6,270.0,3.1
8.06,16.1,-7.8,1015.3,310.0,3.6
3.46,15.6,-7.8,1014.3,310.0,2.1
3.72,15.0,-8.3,1014.1,320.0,3.1
4.46,14.4,-7.2,1014.1,310.0,2.6
4.1,10.6,-1.7,1014.3,230.0,2.1
4.12,10.0,-1.1,1014.4,230.0,3.1
4.81,10.6,-3.3,1014.4,230.0,3.1
4.27,8.9,-1.7,1014.5,250.0,1.5
4.35,8.9,-2.2,1014.6,260.0,2.1
5.27,8.3,-2.2,1014.3,0.0,0.0
4.41,7.2,-1.1,1014.5,80.0,3.6
6.57,7.2,-1.1,1014.5,110.0,2.6
16.6,6.7,-2.8,1014.4,130.0,2.6
13.54,6.1,-2.2,1014.2,120.0,3.1
11.84,6.7,-3.3,1014.3,120.0,3.1
10.38,6.7,-3.9,1014.9,120.0,2.6
12.18,6.7,-2.8,1015.3,140.0,2.6
8.26,8.3,-2.8,1015.5,100.0,3.1
8.63,10.0,-2.8,1015.5,90.0,4.1
7.9,11.7,-3.3,1014.9,70.0,3.1
7.81,12.8,-3.3,1014.1,0.0,0.0
9.41,15.0,-4.4,1013.0,0.0,2.1
9.18,15.6,-5.0,1012.4,280.0,1.5
9.17,16.1,-4.4,1011.9,260.0,3.6
7.58,16.1,-5.0,1011.3,260.0,3.1
5.16,15.6,-5.6,1011.0,220.0,2.6
5.64,13.3,-3.3,1011.3,230.0,2.6
4.41,12.2,-2.2,1011.7,240.0,2.1
4.53,11.1,-1.1,1011.9,220.0,1.5
3.85,11.7,-3.3,1012.0,230.0,2.1
4.59,11.7,-2.8,1012.1,0.0,0.0
4.83,11.1,-1.7,1011.6,0.0,0.0
4.1,10.0,-1.1,1011.5,110.0,2.1
5.03,8.9,-1.1,1010.9,100.0,2.1
4.57,8.9,-1.1,1010.7,90.0,3.6
7.1,8.3,-1.7,1010.7,80.0,3.6
14.97,8.3,0.0,1010.7,90.0,3.6
7.98,8.9,-0.6,1010.7,100.0,1.5
8.7,8.3,0.0,1010.5,100.0,2.6
8.84,8.3,-1.1,1011.4,110.0,2.6
8.97,8.3,-0.6,1011.7,90.0,2.6
