0,1,2,3,4,5
186.532,-7.2,-10.6,1022.9,280.0,5.7
186.532,-6.7,-10.0,1022.5,280.0,4.1
183.479,-6.7,-9.4,1022.1,260.0,2.6
184.303,-6.7,-9.4,1022.0,250.0,3.6
183.657,-8.3,-11.7,1021.9,270.0,6.7
183.035,-8.3,-11.7,1021.3,250.0,3.6
184.267,-8.9,-12.2,1020.3,220.0,5.1
185.536,-9.4,-11.7,1019.5,220.0,3.6
187.516,-8.9,-11.7,1019.4,220.0,2.1
188.445,-8.3,-11.1,1018.9,230.0,3.6
187.656,-6.7,-10.6,1017.9,230.0,6.2
188.702,-5.6,-10.0,1017.4,240.0,6.2
188.487,-2.8,-8.9,1017.1,250.0,5.1
188.635,-1.7,-8.3,1016.0,270.0,5.7
186.884,-1.1,-7.8,1015.8,290.0,7.7
187.18400000000003,-1.1,-7.8,1016.4,280.0,5.7
184.757,-1.7,-8.3,1017.7,300.0,7.2
186.764,-2.8,-8.3,1018.3,290.0,4.6
189.103,-3.3,-8.3,1019.2,270.0,4.1
187.068,-3.9,-8.3,1019.9,270.0,5.1
187.342,-5.0,-8.9,1020.4,270.0,5.1
186.962,-5.6,-9.4,1020.4,270.0,4.6
186.701,-6.1,-9.4,1020.9,270.0,3.6
186.228,-7.2,-10.0,1020.9,270.0,2.6
186.023,-7.2,-10.0,1020.9,230.0,1.5
185.972,-7.8,-10.6,1020.9,200.0,2.1
183.336,-8.9,-11.1,1020.4,220.0,2.6
183.462,-8.9,-11.1,1020.7,200.0,2.6
182.606,-9.4,-11.1,1020.4,210.0,2.1
182.196,-9.4,-11.7,1019.5,220.0,3.1
183.051,-10.0,-11.7,1019.5,230.0,3.1
184.493,-8.9,-11.7,1018.4,220.0,4.1
186.6,-8.9,-11.1,1017.8,240.0,2.6
185.133,-8.3,-11.1,1017.9,240.0,3.6
187.592,-6.7,-11.1,1017.2,250.0,4.1
186.628,-5.6,-10.6,1016.7,250.0,4.1
186.845,-2.8,-9.4,1015.5,250.0,4.6
185.702,-1.7,-8.9,1015.1,280.0,6.7
188.296,-1.1,-8.3,1014.7,270.0,5.1
190.26,-0.6,-8.3,1014.5,280.0,4.6
191.563,-0.6,-8.3,1015.2,280.0,4.6
190.057,-2.2,-8.3,1015.7,270.0,6.2
188.54,-2.8,-8.3,1016.2,280.0,4.6
