0,1,2,3,4,5
9.602,-7.2,-10.6,1022.9,280.0,5.7
9.602,-6.7,-10.0,1022.5,280.0,4.1
10.017,-6.7,-9.4,1022.1,260.0,2.6
9.687,-6.7,-9.4,1022.0,250.0,3.6
11.119000000000002,-8.3,-11.7,1021.9,270.0,6.7
10.399,-8.3,-11.7,1021.3,250.0,3.6
17.979,-8.9,-12.2,1020.3,220.0,5.1
21.82800000000001,-9.4,-11.7,1019.5,220.0,3.6
22.624,-8.9,-11.7,1019.4,220.0,2.1
22.417,-8.3,-11.1,1018.9,230.0,3.6
20.609,-6.7,-10.6,1017.9,230.0,6.2
20.19,-5.6,-10.0,1017.4,240.0,6.2
19.596,-2.8,-8.9,1017.1,250.0,5.1
19.648,-1.7,-8.3,1016.0,270.0,5.7
20.649,-1.1,-7.8,1015.8,290.0,7.7
19.99,-1.1,-7.8,1016.4,280.0,5.7
19.562,-1.7,-8.3,1017.7,300.0,7.2
22.212,-2.8,-8.3,1018.3,290.0,4.6
21.893,-3.3,-8.3,1019.2,270.0,4.1
19.135,-3.9,-8.3,1019.9,270.0,5.1
19.106,-5.0,-8.9,1020.4,270.0,5.1
18.992,-5.6,-9.4,1020.4,270.0,4.6
19.087,-6.1,-9.4,1020.9,270.0,3.6
10.902,-7.2,-10.0,1020.9,270.0,2.6
10.39,-7.2,-10.0,1020.9,230.0,1.5
10.439,-7.8,-10.6,1020.9,200.0,2.1
10.529000000000002,-8.9,-11.1,1020.4,220.0,2.6
9.964,-8.9,-11.1,1020.7,200.0,2.6
10.383,-9.4,-11.1,1020.4,210.0,2.1
10.499,-9.4,-11.7,1019.5,220.0,3.1
18.78,-10.0,-11.7,1019.5,230.0,3.1
21.606,-8.9,-11.7,1018.4,220.0,4.1
21.246,-8.9,-11.1,1017.8,240.0,2.6
21.016,-8.3,-11.1,1017.9,240.0,3.6
19.359,-6.7,-11.1,1017.2,250.0,4.1
20.015,-5.6,-10.6,1016.7,250.0,4.1
19.66,-2.8,-9.4,1015.5,250.0,4.6
19.307,-1.7,-8.9,1015.1,280.0,6.7
19.947,-1.1,-8.3,1014.7,270.0,5.1
20.208,-0.6,-8.3,1014.5,280.0,4.6
19.098,-0.6,-8.3,1015.2,280.0,4.6
21.66800000000001,-2.2,-8.3,1015.7,270.0,6.2
21.789,-2.8,-8.3,1016.2,280.0,4.6
19.096,-3.3,-8.9,1016.4,290.0,4.6
18.933,-4.4,-8.9,1017.5,290.0,4.6
18.518,-3.3,-8.3,1017.9,300.0,7.2
19.014,-3.9,-8.3,1018.7,310.0,7.2
10.852,-4.4,-8.3,1019.4,310.0,6.7
10.438,-3.9,-7.8,1019.9,320.0,6.2
10.552,-3.3,-7.2,1020.1,330.0,7.7
10.745,-2.8,-7.2,1020.9,330.0,6.2
10.470999999999998,-2.8,-6.7,1022.0,330.0,5.1
10.427,-2.8,-6.7,1022.7,320.0,6.7
10.508,-3.3,-6.7,1023.2,330.0,6.2
18.913,-2.8,-7.2,1023.9,340.0,5.1
21.93,-2.8,-6.7,1024.8,340.0,5.7
21.93,-2.8,-7.2,1025.5,330.0,4.6
22.143,-2.8,-6.7,1026.4,340.0,3.6
19.874,-2.8,-7.8,1027.2,350.0,6.7
19.794,-2.2,-7.2,1027.8,320.0,6.2
