0,1,2,3,4,5
60.35,7.2,2.2,1020.0,60.0,1.5
60.35,6.7,2.2,1020.0,0.0,0.0
60.35,6.1,2.2,1020.4,0.0,0.0
60.35,5.6,2.2,1020.1,40.0,1.5
60.35,5.6,1.7,1020.4,0.0,0.0
60.35,5.6,1.7,1019.5,0.0,0.0
60.35,4.4,1.7,1019.9,0.0,0.0
60.35,4.4,1.7,1020.2,0.0,0.0
60.35,5.0,0.0,1020.8,210.0,1.5
60.35,5.6,0.6,1020.8,200.0,2.6
60.35,6.1,-1.1,1021.1,0.0,0.0
60.35,6.7,-1.1,1021.1,0.0,1.5
60.35,7.2,-2.2,1019.8,0.0,2.1
60.35,7.2,-2.2,1018.9,0.0,3.1
60.35,7.2,-2.2,1018.5,0.0,2.1
60.35,7.2,-2.2,1018.1,220.0,2.6
60.35,7.2,-2.8,1018.2,0.0,0.0
60.35,6.7,-3.3,1018.3,220.0,1.5
60.35,5.6,-3.3,1018.8,220.0,1.5
60.35,5.0,-5.0,1019.2,300.0,1.5
60.35,4.4,-6.7,1019.7,280.0,1.5
60.35,3.3,-7.2,1020.2,300.0,1.5
60.35,2.8,-6.7,1020.4,310.0,3.1
60.35,0.6,-7.2,1020.4,140.0,1.5
60.35,1.7,-6.7,1020.6,210.0,2.1
60.35,1.7,-6.1,1020.3,190.0,1.5
60.35,2.2,-6.7,1020.3,0.0,0.0
60.35,2.2,-6.7,1020.6,220.0,2.1
60.35,2.2,-6.7,1020.2,290.0,2.1
60.35,1.7,-6.7,1020.0,0.0,0.0
60.35,1.7,-6.7,1020.3,270.0,2.1
60.35,2.2,-6.7,1020.4,310.0,2.1
60.35,1.1,-6.7,1021.2,310.0,1.5
60.35,3.3,-6.1,1021.8,240.0,2.6
60.35,5.0,-6.1,1021.8,240.0,2.6
60.35,6.1,-6.1,1021.6,240.0,3.1
60.35,7.8,-6.1,1020.2,240.0,3.1
60.35,8.9,-6.1,1019.0,240.0,3.1
60.35,10.0,-6.1,1017.6,240.0,3.1
60.35,10.0,-7.2,1017.2,210.0,2.1
60.35,10.0,-7.2,1016.9,210.0,2.6
60.35,8.3,-7.2,1017.2,210.0,2.6
60.35,6.7,-6.7,1017.2,200.0,2.6
60.35,4.4,-6.7,1017.2,190.0,3.1
60.35,6.7,-7.8,1016.8,220.0,3.6
60.35,6.7,-7.8,1016.4,220.0,2.6
60.35,6.1,-7.2,1016.3,210.0,3.6
60.35,3.9,-7.2,1016.2,200.0,2.6
60.35,5.0,-7.8,1015.4,210.0,3.1
