0,1,2,3,4,5
10.6,7.2,0.0,1021.5,350.0,5.1
9.77,6.7,0.0,1021.1,340.0,3.6
10.12,5.6,0.0,1020.8,350.0,3.1
9.58,5.6,0.0,1021.1,340.0,3.6
10.25,5.6,-1.1,1020.7,320.0,3.1
10.5,5.6,-1.1,1020.5,320.0,3.6
9.58,5.6,-1.7,1020.7,320.0,4.6
9.23,5.0,-2.2,1021.0,330.0,3.1
10.39,5.0,-1.7,1021.0,330.0,4.1
11.02,5.0,-1.7,1021.4,320.0,3.1
11.09,5.6,-1.1,1021.5,330.0,4.6
10.35,6.7,-1.1,1021.4,300.0,4.1
9.38,7.2,-1.1,1020.2,300.0,3.6
8.57,7.8,-0.6,1019.5,300.0,5.7
10.39,7.2,-1.1,1018.9,300.0,5.1
10.54,7.2,-1.1,1018.8,310.0,3.1
11.08,6.7,-2.2,1018.6,300.0,3.1
12.47,6.1,-2.8,1019.1,340.0,3.1
13.51,5.0,-3.9,1019.4,340.0,3.1
13.95,4.4,-4.4,1020.3,340.0,4.6
13.24,3.9,-5.0,1020.6,330.0,3.6
14.41,3.9,-5.6,1020.8,320.0,5.7
14.86,3.3,-5.6,1021.0,240.0,3.1
14.36,3.3,-5.6,1020.9,210.0,2.1
12.33,2.8,-5.6,1020.6,260.0,2.6
11.47,2.2,-5.6,1020.8,190.0,3.1
10.47,2.2,-5.6,1020.9,220.0,2.6
10.52,1.1,-5.0,1020.8,200.0,2.1
11.57,0.6,-5.0,1020.7,230.0,2.1
11.72,0.6,-4.4,1020.5,220.0,2.6
11.17,0.6,-5.0,1020.8,240.0,2.6
9.44,0.6,-5.0,1021.1,230.0,2.1
10.55,1.1,-5.0,1021.6,250.0,3.1
10.45,3.3,-4.4,1022.0,240.0,2.6
10.22,4.4,-3.3,1022.3,170.0,2.6
9.73,6.1,-5.0,1021.9,250.0,3.6
8.6,7.2,-4.4,1020.5,290.0,3.6
10.14,7.8,-4.4,1019.1,240.0,4.6
10.32,8.9,-4.4,1018.2,250.0,4.6
10.08,8.9,-4.4,1017.4,220.0,4.1
10.69,8.9,-3.9,1017.2,210.0,3.6
10.91,7.8,-4.4,1017.4,220.0,3.6
12.73,6.7,-3.3,1017.5,190.0,3.6
12.81,6.1,-3.3,1017.4,210.0,2.6
12.93,6.1,-3.9,1017.1,230.0,1.5
14.57,5.6,-3.3,1016.7,220.0,2.1
14.05,5.0,-2.2,1016.6,240.0,2.1
12.78,4.4,-1.7,1016.6,0.0,0.0
12.1,3.3,0.0,1016.3,190.0,1.5
11.2,2.8,-0.6,1015.4,170.0,2.1
10.81,2.2,-1.7,1014.8,0.0,0.0
10.49,1.1,-1.7,1014.8,220.0,2.1
10.58,0.0,-2.2,1014.2,210.0,3.1
11.66,1.1,-1.1,1013.5,180.0,1.5
12.0,0.0,-2.8,1013.2,200.0,3.6
10.21,1.1,-2.2,1013.3,250.0,1.5
10.51,0.0,-3.3,1013.5,220.0,3.1
10.69,1.7,-1.1,1013.8,190.0,2.6
11.14,3.9,-2.2,1013.8,200.0,3.1
9.91,5.6,-0.6,1013.2,140.0,2.1
8.68,7.8,-0.6,1012.2,170.0,2.6
9.74,9.4,0.0,1011.3,170.0,5.1
8.63,10.6,-3.3,1010.5,160.0,2.6
9.37,11.7,-5.0,1010.5,90.0,1.5
9.31,11.1,-2.8,1010.8,10.0,4.1
9.59,9.4,-4.4,1011.6,330.0,4.1
11.54,8.3,-3.3,1013.2,350.0,8.8
11.96,5.0,-3.9,1015.0,350.0,8.8
12.43,3.9,-3.9,1015.3,360.0,6.7
12.96,3.3,-4.4,1015.8,350.0,4.1
13.46,2.8,-4.4,1016.0,350.0,3.6
11.35,2.8,-4.4,1015.8,340.0,3.6
10.77,2.2,-4.4,1015.6,340.0,3.6
9.72,1.7,-4.4,1015.1,330.0,3.1
10.62,1.7,-4.4,1014.9,330.0,2.1
10.46,2.2,-5.0,1014.9,340.0,2.1
10.77,1.1,-4.4,1015.2,330.0,3.6
11.95,1.7,-4.4,1015.6,340.0,4.6
10.98,1.1,-5.6,1016.6,340.0,4.1
12.53,1.1,-5.6,1017.3,320.0,4.6
14.12,1.7,-6.7,1017.9,340.0,7.2
14.81,0.6,-10.6,1019.1,330.0,10.8
14.27,1.1,-10.0,1019.6,320.0,7.2
13.61,2.2,-9.4,1020.1,340.0,8.2
13.56,2.8,-9.4,1019.7,330.0,9.3
15.88,2.2,-12.2,1019.5,330.0,10.3
13.89,3.3,-12.2,1019.4,340.0,9.3
13.04,2.8,-12.2,1020.1,350.0,10.3
14.2,1.1,-13.3,1021.5,330.0,8.2
13.85,0.0,-13.9,1022.7,360.0,10.8
