0,1,2,3,4,5
44.52,14.4,13.3,1011.7,190.0,5.1
43.11,14.4,13.3,1010.0,190.0,4.6
42.34,17.2,14.4,1009.8,290.0,4.1
44.43,13.9,13.3,1009.0,80.0,1.5
42.62,14.4,13.9,1009.4,0.0,0.0
41.63,15.0,14.4,1010.0,210.0,1.5
43.68,14.4,13.9,1010.1,160.0,2.1
44.44,14.4,14.4,1010.9,0.0,0.0
42.32,13.9,13.9,1011.3,160.0,3.6
42.68,14.4,13.9,1012.5,160.0,1.5
42.08,13.3,13.3,1012.7,0.0,0.0
42.42,12.8,12.8,1013.1,210.0,1.5
42.96,12.2,12.2,1013.1,0.0,0.0
42.15,13.3,13.3,1013.2,360.0,1.5
43.27,13.9,13.9,1012.7,0.0,0.0
43.38,13.9,13.9,1012.7,0.0,0.0
42.5,12.8,12.8,1012.7,80.0,2.1
43.45,13.3,13.3,1012.2,20.0,2.1
42.81,13.9,13.9,1012.0,230.0,1.5
42.07,13.9,13.9,1012.6,0.0,0.0
44.11,13.9,13.9,1012.0,50.0,2.1
43.35,15.0,15.0,1012.0,30.0,2.1
42.98,15.6,15.6,1012.0,130.0,5.7
45.16,16.7,16.7,1009.9,170.0,2.6
48.56,17.2,17.2,1008.9,180.0,4.1
47.66,17.8,17.8,1007.3,180.0,4.1
47.58,20.0,18.9,1006.8,190.0,3.1
45.99,19.4,17.8,1006.1,180.0,3.6
45.7,19.4,17.8,1006.1,200.0,3.1
44.99,18.9,17.2,1006.0,180.0,3.6
47.29,17.8,16.1,1005.4,170.0,3.1
46.9,18.3,16.1,1004.4,180.0,3.1
45.32,16.7,14.4,1004.3,340.0,5.7
42.27,15.6,13.9,1003.6,350.0,3.1
43.15,15.0,13.9,1002.1,40.0,3.6
42.99,15.6,15.0,1001.4,130.0,2.6
42.18,16.1,16.1,1001.4,190.0,4.6
43.35,16.7,16.1,1000.9,200.0,4.6
43.38,16.7,16.1,1001.1,220.0,4.1
42.93,14.4,13.3,1003.2,270.0,3.1
43.9,14.4,10.6,1003.6,300.0,5.1
43.43,13.3,7.2,1004.3,320.0,4.6
43.12,12.8,5.6,1005.2,300.0,5.7
43.44,12.2,5.0,1006.0,0.0,0.0
44.31,11.7,4.4,1007.0,300.0,3.6
42.66,11.7,3.9,1007.9,320.0,5.7
43.09,11.7,2.8,1008.8,310.0,5.7
45.47,12.2,2.2,1009.2,310.0,5.7
45.62,12.8,1.7,1009.2,300.0,4.6
46.97,13.3,1.1,1008.7,300.0,6.2
48.69,14.4,1.7,1008.3,320.0,5.7
47.67,15.0,1.1,1008.4,290.0,5.7
47.83,14.4,0.0,1008.7,290.0,6.7
46.26,12.8,0.6,1009.9,340.0,7.2
45.4,10.6,0.0,1011.0,320.0,7.7
47.74,10.0,-1.1,1012.0,310.0,8.2
46.33,9.4,-1.1,1012.5,330.0,5.7
46.35,8.9,-0.6,1013.2,320.0,8.2
46.67,8.3,-1.7,1013.6,320.0,7.2
45.05,8.3,-1.1,1014.5,290.0,2.1
46.02,8.9,-1.1,1014.7,290.0,1.5
46.45,8.9,-1.7,1015.3,290.0,4.6
46.16,8.9,-1.7,1015.3,290.0,5.1
46.34,8.3,-2.2,1016.0,330.0,4.6
46.81,8.3,-2.2,1016.3,310.0,5.1
46.13,7.2,-2.8,1016.2,330.0,4.1
46.06,6.7,-2.8,1016.5,320.0,3.6
46.56,7.2,-2.8,1016.9,290.0,2.6
46.91,7.2,-2.8,1017.7,310.0,4.6
43.57,7.8,-2.8,1018.2,280.0,3.1
44.65,9.4,-2.2,1018.4,260.0,4.6
45.68,9.4,-2.2,1018.8,270.0,6.7
46.16,10.6,-2.2,1018.5,300.0,7.2
46.68,10.6,-2.2,1017.7,280.0,6.7
46.8,12.2,-1.1,1016.9,310.0,6.7
46.29,12.2,-1.1,1016.8,310.0,7.7
46.6,11.1,-1.1,1017.1,340.0,7.2
45.57,10.0,-1.1,1017.5,310.0,4.1
44.08,8.9,-1.7,1018.1,320.0,8.8
45.56,7.8,-1.7,1018.7,310.0,6.7
45.44,7.8,-2.2,1019.7,320.0,6.7
46.19,7.8,-2.2,1020.1,320.0,7.2
45.0,7.2,-2.2,1020.2,290.0,5.7
45.95,7.2,-2.8,1020.2,280.0,7.7
46.28,7.2,-3.3,1020.4,280.0,5.7
45.39,7.2,-3.3,1020.5,280.0,3.6
45.77,7.2,-2.2,1020.8,280.0,4.6
46.01,7.2,-1.7,1020.5,300.0,5.7
44.97,7.2,-1.7,1020.6,290.0,4.1
46.42,7.2,-1.7,1021.1,290.0,5.7
45.85,6.7,-2.2,1021.6,270.0,5.1
44.71,6.1,-2.2,1022.3,290.0,5.7
42.78,6.1,-1.7,1023.0,280.0,5.7
41.77,7.2,-2.2,1023.7,300.0,6.7
40.68,8.3,-1.7,1024.0,300.0,7.2
41.79,9.4,-1.1,1023.8,320.0,5.1
41.61,10.0,-1.1,1023.5,330.0,6.7
41.64,10.0,-1.1,1022.8,320.0,7.2
42.05,10.0,-1.7,1022.3,280.0,7.7
42.53,9.4,-1.7,1023.3,320.0,7.2
42.95,8.9,-1.7,1024.3,320.0,8.2
42.3,7.8,-1.7,1023.7,320.0,8.2
46.91,7.2,-2.2,1024.3,310.0,7.2
47.54,6.7,-1.7,1024.7,300.0,5.1
46.67,6.7,-1.7,1024.5,310.0,5.7
47.59,6.1,-1.7,1024.6,310.0,6.7
48.07,6.1,-1.7,1025.2,290.0,5.7
47.75,5.6,-1.7,1025.8,290.0,3.1
47.22,5.6,-1.7,1026.0,300.0,4.1
46.68,5.0,-2.2,1025.7,270.0,3.1
46.88,4.4,-2.2,1025.6,320.0,3.1
45.92,4.4,-2.2,1025.7,330.0,5.7
46.99,4.4,-2.8,1025.0,320.0,5.7
47.08,4.4,-2.8,1025.3,320.0,4.1
46.09,3.9,-2.8,1025.3,310.0,2.6
47.41,3.3,-2.2,1025.6,310.0,2.1
44.68,4.4,-2.2,1025.9,320.0,2.6
42.97,5.0,-1.7,1025.9,360.0,3.6
43.4,5.6,-1.7,1026.2,330.0,3.6
43.76,7.2,-1.1,1025.5,360.0,1.5
43.0,7.2,-0.6,1024.8,0.0,0.0
41.95,7.8,-1.1,1024.4,120.0,1.5
42.98,8.3,-1.1,1023.7,0.0,0.0
43.1,8.3,-1.1,1023.1,180.0,2.6
42.38,7.8,-1.1,1023.1,180.0,3.1
44.69,7.2,-1.1,1022.7,190.0,3.1
47.76,7.2,-0.6,1022.4,180.0,2.6
47.7,7.2,-0.6,1022.0,170.0,4.1
46.73,7.2,0.6,1021.4,170.0,5.1
47.86,6.7,1.1,1021.3,180.0,4.6
47.29,6.1,2.2,1020.6,190.0,4.1
46.27,5.6,2.8,1019.8,180.0,5.1
46.93,5.0,3.9,1018.6,160.0,4.6
47.45,4.4,3.9,1018.0,180.0,5.7
47.33,4.4,3.9,1018.0,200.0,4.1
46.34,5.0,3.9,1017.5,180.0,6.2
47.5,5.0,4.4,1016.8,190.0,5.7
48.86,5.0,4.4,1016.3,190.0,5.1
48.19,5.6,5.0,1016.2,200.0,3.6
49.35,5.6,5.0,1016.3,220.0,2.6
49.71,6.1,5.0,1016.3,220.0,2.1
47.0,6.7,5.0,1016.9,250.0,2.6
46.85,7.8,5.0,1017.2,250.0,1.5
48.31,8.3,5.6,1017.1,250.0,2.1
50.31,11.7,6.1,1016.7,320.0,4.6
50.38,12.8,3.3,1016.5,340.0,6.2
49.65,13.3,2.8,1016.8,340.0,5.1
49.05,13.3,2.8,1017.2,350.0,3.6
48.87,12.8,2.8,1017.2,360.0,3.1
47.1,10.6,2.2,1017.5,340.0,4.1
46.5,10.6,2.2,1018.0,350.0,2.6
45.88,10.0,2.2,1018.6,10.0,2.6
45.28,10.0,2.2,1019.2,10.0,3.6
46.16,8.9,1.7,1019.5,20.0,4.6
46.1,8.3,1.7,1019.9,20.0,3.1
45.85,7.8,0.6,1020.6,30.0,3.6
45.89,7.8,0.6,1020.7,20.0,3.6
46.64,7.2,0.0,1020.4,40.0,3.1
46.88,7.2,0.6,1019.9,30.0,4.1
45.8,6.7,0.6,1020.6,30.0,3.1
46.94,6.7,0.6,1019.6,40.0,4.1
46.3,6.1,0.6,1019.9,50.0,2.1
46.62,6.7,0.0,1020.0,90.0,2.6
47.26,6.7,0.6,1019.1,70.0,2.6
47.81,6.7,0.6,1019.7,70.0,2.1
46.12,6.7,0.6,1019.3,60.0,3.1
