0,1,2,3,4,5
168.6625,6.6,2.3,1035.5,290.0,5.0
158.825,7.0,3.0,1035.1,280.0,4.0
167.825,7.4,2.7,1034.4,270.0,4.0
146.725,6.9,2.5,1034.3,270.0,4.0
140.9525,4.6,1.5,1034.4,280.0,3.0
125.1675,4.2,1.6,1034.5,260.0,4.0
114.815,2.8,1.1,1034.6,270.0,4.0
74.61,3.8,1.4,1034.7,250.0,3.0
52.745,2.6,0.5,1034.7,260.0,4.0
36.0775,2.0,0.4,1034.7,270.0,4.0
35.08,0.5,-0.6,1034.8,270.0,3.0
33.14,0.3,-0.6,1034.6,270.0,3.0
25.1875,2.2,1.2,1034.5,250.0,4.0
24.3125,0.4,0.0,1034.0,270.0,4.0
23.69,0.6,0.2,1033.9,270.0,5.0
24.6775,0.1,-0.5,1033.5,270.0,4.0
23.4925,1.5,0.6,1033.3,270.0,5.0
24.5025,0.0,-0.7,1033.1,280.0,4.0
39.4975,0.0,-0.7,1033.0,270.0,5.0
101.57,0.4,-0.4,1032.9,270.0,5.0
112.5325,0.9,0.0,1032.8,270.0,5.0
133.2125,0.8,0.2,1032.9,270.0,5.0
154.075,0.9,0.3,1033.0,280.0,5.0
134.3225,1.7,1.1,1033.1,270.0,5.0
147.55,3.0,2.3,1032.6,270.0,5.0
143.3825,4.6,3.2,1032.0,270.0,4.0
132.0825,5.2,3.5,1031.4,280.0,4.0
105.7775,5.1,3.2,1031.1,270.0,4.0
78.7925,2.8,1.5,1031.0,270.0,4.0
59.06,2.3,1.5,1030.9,270.0,3.0
47.635,0.4,-0.3,1031.0,270.0,4.0
42.5,1.5,0.7,1031.2,270.0,5.0
38.8425,-0.4,-1.0,1031.2,270.0,4.0
28.125,0.3,-0.3,1031.1,260.0,4.0
27.195,-0.1,-0.5,1030.9,270.0,4.0
26.8025,-1.2,-1.5,1030.5,270.0,3.0
24.5275,-2.2,-2.5,1030.6,290.0,2.0
24.54,-1.5,-1.7,1030.2,260.0,4.0
27.0775,-1.2,-1.4,1030.1,280.0,3.0
29.19,-1.0,-1.4,1030.1,280.0,3.0
29.2975,-0.4,-0.8,1029.7,270.0,4.0
28.8775,0.3,-0.2,1029.7,250.0,3.0
39.1225,0.6,0.1,1029.4,260.0,4.0
95.965,0.4,-0.1,1029.2,270.0,3.0
137.1925,1.1,0.7,1029.1,310.0,3.0
141.08,2.3,1.8,1029.1,330.0,4.0
158.61,3.4,2.5,1029.0,290.0,3.0
177.52,3.7,2.4,1028.8,290.0,2.0
152.45,4.6,3.4,1028.4,290.0,2.0
158.6825,6.6,4.1,1028.0,360.0,1.0
143.7725,7.5,4.5,1027.5,10.0,2.0
136.2675,7.0,4.2,1027.2,30.0,3.0
115.0925,6.4,3.3,1027.1,20.0,4.0
108.805,6.2,2.5,1026.9,30.0,4.0
88.05,5.6,3.4,1027.1,360.0,3.0
64.6675,5.7,3.5,1027.1,20.0,3.0
45.1025,6.1,4.3,1026.8,30.0,2.0
30.315,5.9,4.4,1026.6,50.0,2.0
24.5475,5.8,4.1,1026.2,100.0,3.0
22.6825,6.0,3.5,1026.1,90.0,2.0
25.59,5.5,3.4,1026.0,100.0,2.0
26.9525,5.9,3.4,1025.9,110.0,3.0
26.245,6.2,2.0,1025.6,110.0,2.0
26.355,5.7,2.7,1025.5,100.0,3.0
25.65,5.4,3.0,1025.2,100.0,3.0
25.84,7.4,2.4,1025.0,120.0,4.0
25.675,7.7,2.5,1025.0,120.0,4.0
25.75,7.4,2.1,1025.1,110.0,5.0
25.0975,7.3,1.5,1025.3,120.0,4.0
25.66,6.3,1.6,1025.4,100.0,3.0
25.66,6.8,1.1,1025.6,100.0,4.0
25.66,7.6,3.8,1025.4,120.0,5.0
25.66,7.7,4.1,1025.0,120.0,6.0
25.775,7.5,3.8,1024.7,110.0,6.0
30.47,6.7,3.7,1024.6,140.0,5.0
30.5225,6.4,4.1,1024.3,100.0,2.0
31.27,6.8,4.0,1024.3,100.0,6.0
30.36,6.3,3.3,1024.6,90.0,6.0
25.775,6.0,3.0,1024.7,90.0,5.0
26.5525,6.4,3.3,1024.6,90.0,4.0
26.1925,6.8,3.1,1024.8,110.0,4.0
26.8925,6.6,2.6,1024.7,120.0,4.0
26.2475,5.9,2.7,1024.4,100.0,4.0
25.7725,6.0,2.5,1024.2,100.0,4.0
28.3325,6.2,1.9,1024.2,100.0,4.0
28.7,5.6,1.4,1024.1,110.0,5.0
27.745,2.6,-0.1,1024.0,100.0,4.0
29.1775,1.6,-0.3,1023.9,100.0,5.0
27.815,4.4,0.0,1023.7,120.0,6.0
44.4425,4.7,0.1,1023.9,110.0,4.0
101.2375,3.7,-0.1,1023.7,120.0,4.0
140.2625,3.0,-0.4,1023.7,100.0,4.0
150.605,2.9,-0.2,1023.6,100.0,4.0
150.865,2.5,0.5,1023.6,100.0,4.0
183.4925,5.0,2.2,1023.2,100.0,5.0
160.0175,6.3,2.4,1023.3,110.0,5.0
154.2225,6.7,2.6,1022.8,110.0,5.0
153.3425,7.3,2.6,1022.4,100.0,5.0
142.7075,7.1,2.3,1022.0,90.0,3.0
137.07,6.2,1.8,1022.0,80.0,3.0
129.7525,5.6,1.7,1022.0,60.0,3.0
107.1025,4.5,1.6,1021.8,50.0,3.0
70.4125,4.5,0.7,1022.0,80.0,3.0
