0,1,2,3,4,5
212.55,2.2,0.6,1009.1,300.0,11.3
212.55,1.7,0.6,1010.4,300.0,10.3
212.55,1.7,0.0,1011.5,300.0,10.3
212.55,1.7,-1.7,1012.2,310.0,10.8
212.55,1.7,-2.2,1012.7,300.0,10.3
212.55,1.1,-3.3,1013.3,310.0,6.7
212.55,0.6,-3.9,1014.1,310.0,7.7
212.55,0.0,-4.4,1015.2,300.0,8.8
212.55,-0.6,-5.0,1017.3,310.0,7.2
212.55,-0.6,-5.0,1018.2,310.0,8.2
212.55,0.0,-5.6,1019.1,300.0,10.3
212.55,1.1,-6.7,1020.0,320.0,8.8
212.55,1.7,-6.7,1020.8,310.0,9.3
212.55,3.3,-7.8,1021.1,310.0,8.2
212.55,3.3,-10.0,1021.5,330.0,8.8
212.55,3.9,-10.0,1021.7,300.0,11.8
212.55,4.4,-11.7,1022.4,330.0,8.8
212.55,3.9,-11.7,1023.2,330.0,6.7
212.55,2.2,-12.8,1024.2,330.0,5.1
212.55,0.6,-12.8,1024.7,340.0,2.6
212.55,-0.6,-10.6,1025.3,300.0,2.1
7.2,-3.3,-7.8,1025.5,0.0,0.0
7.75,-4.4,-7.8,1025.4,0.0,0.0
7.675,-5.0,-7.2,1025.8,0.0,0.0
8.025,-5.6,-7.2,1026.0,100.0,1.5
8.125,-7.2,-8.3,1026.3,0.0,0.0
7.875,-7.2,-8.3,1026.2,0.0,0.0
7.95,-7.2,-8.3,1027.0,0.0,0.0
23.175,-7.2,-8.3,1026.9,90.0,1.5
84.9,-7.2,-8.3,1027.2,70.0,1.5
224.575,-6.1,-7.8,1027.3,80.0,2.6
225.025,-4.4,-6.1,1027.3,90.0,2.1
136.275,1.1,-7.2,1026.6,140.0,2.6
14.625,7.8,-9.4,1025.1,180.0,4.1
15.025,10.0,-9.4,1023.9,150.0,5.7
14.975,12.8,-10.0,1021.9,200.0,5.7
8.225,16.7,-10.0,1018.5,170.0,6.2
85.95,16.1,-8.9,1017.2,180.0,6.2
196.125,15.0,-7.2,1016.9,200.0,7.7
187.65,13.9,-6.7,1016.4,180.0,6.7
132.475,12.8,-6.1,1015.9,180.0,7.7
133.25,11.7,-5.6,1015.2,180.0,6.2
52.05,11.1,-4.4,1015.3,160.0,7.7
6.35,11.7,-3.9,1015.0,160.0,6.2
6.15,10.6,-3.3,1013.7,160.0,6.7
6.1,10.0,-3.3,1013.2,150.0,6.7
5.9,10.6,-2.8,1013.1,170.0,7.2
6.15,11.1,-2.2,1012.4,170.0,6.2
6.125,10.6,-0.6,1011.3,170.0,6.7
6.2,10.0,0.0,1010.2,160.0,6.7
56.95,9.4,0.6,1010.2,170.0,5.7
197.325,9.4,0.6,1010.0,160.0,6.7
200.75,10.0,1.1,1009.5,170.0,5.1
208.775,10.6,1.7,1009.4,160.0,5.1
209.225,11.7,2.2,1009.0,170.0,4.6
209.3,12.2,3.3,1008.4,170.0,6.2
160.45,16.1,4.4,1008.3,180.0,6.7
106.0,17.8,5.6,1007.1,180.0,9.3
185.45,18.3,6.1,1005.9,170.0,5.7
55.9,19.4,6.7,1004.7,180.0,10.8
162.6,20.0,7.8,1004.2,170.0,7.7
182.05,20.0,7.8,1003.5,170.0,8.8
173.625,18.9,8.3,1003.0,180.0,9.3
104.425,18.3,9.4,1002.7,170.0,7.7
107.75,17.8,9.4,1003.0,180.0,7.7
41.8,17.8,10.0,1002.6,170.0,7.2
7.05,17.8,10.0,1002.2,170.0,6.7
6.65,17.2,10.0,1001.6,180.0,7.7
6.825,17.2,10.0,1000.8,180.0,8.2
6.525,17.2,10.6,1000.1,170.0,7.2
6.5,17.2,10.6,1000.1,170.0,6.7
6.5,17.2,10.6,1000.3,180.0,6.2
6.575,16.7,11.1,1001.2,280.0,5.1
22.85,15.6,11.1,1000.5,210.0,2.1
59.125,15.0,11.1,999.7,140.0,2.6
183.875,16.1,11.1,999.2,180.0,3.1
199.275,13.9,11.1,999.8,270.0,2.6
214.925,13.3,12.2,999.9,0.0,0.0
224.3,13.9,12.8,999.9,200.0,4.1
225.95,13.9,12.2,999.5,180.0,2.1
122.45,16.1,13.3,998.8,180.0,2.1
201.375,14.4,11.1,999.0,350.0,5.7
227.0,16.7,10.6,998.4,320.0,3.1
228.425,16.7,8.9,998.0,330.0,3.1
227.05,13.3,5.6,999.1,340.0,7.2
227.3,13.3,5.0,1000.5,330.0,7.7
219.775,12.8,3.9,1002.4,320.0,5.7
146.575,11.1,3.3,1003.9,310.0,5.1
146.625,8.9,2.2,1003.7,330.0,3.6
64.825,8.3,2.2,1006.1,310.0,4.6
6.75,7.8,0.6,1006.5,270.0,3.1
6.55,7.2,0.6,1005.7,250.0,2.1
6.7,6.7,1.1,1006.1,260.0,4.1
6.75,4.4,0.6,1005.7,310.0,2.1
6.525,4.4,1.7,1004.9,0.0,0.0
6.45,5.0,1.7,1004.0,0.0,0.0
6.775,5.0,1.7,1003.8,230.0,2.1
21.875,4.4,0.6,1002.7,220.0,2.1
84.5,4.4,1.1,1001.7,210.0,3.1
227.125,4.4,0.6,1002.0,210.0,3.1
227.175,5.0,0.6,1001.3,210.0,2.6
225.7,5.6,1.1,1001.0,200.0,3.6
170.675,8.3,1.1,999.6,210.0,6.2
140.275,9.4,0.6,998.4,210.0,5.7
229.275,3.9,2.2,999.2,330.0,2.1
227.125,7.2,2.8,997.9,310.0,4.1
224.875,8.9,-1.7,996.8,280.0,5.7
163.0,3.3,1.1,996.8,10.0,3.1
224.925,3.9,0.0,996.3,0.0,0.0
223.8,3.3,0.0,996.4,330.0,2.6
216.525,3.3,-0.6,996.0,320.0,3.1
146.55,2.8,-1.7,995.8,360.0,2.6
146.825,0.6,-0.6,997.6,300.0,2.6
64.875,-0.6,-1.1,996.7,320.0,4.1
8.025,-0.6,-1.1,995.4,310.0,2.1
7.525,-0.6,-1.1,995.4,290.0,2.6
7.675,-0.6,-1.1,995.3,290.0,2.6
9.175,-1.1,-1.1,995.8,310.0,11.3
8.45,-1.7,-2.8,997.8,300.0,10.3
8.075,-2.8,-3.9,999.7,300.0,9.8
22.875,-3.9,-6.7,1001.6,300.0,13.9
85.975,-4.4,-9.4,1003.8,290.0,9.8
227.275,-5.0,-7.2,1005.8,310.0,7.7
229.05,-5.6,-10.0,1007.5,290.0,14.4
