0,1,2,3,4,5
90.985,4.4,-2.2,1018.9,300.0,4.1
122.4911,4.4,-2.8,1018.4,300.0,2.6
90.3961,3.9,-2.8,1018.2,300.0,3.6
88.9238,3.9,-3.3,1018.3,300.0,4.1
110.4187,3.3,-3.3,1018.2,280.0,3.1
82.4459,3.3,-3.3,1018.0,280.0,2.6
81.857,3.3,-3.3,1017.9,280.0,2.6
107.7686,2.8,-3.3,1017.8,300.0,2.6
79.207,2.8,-2.8,1018.3,270.0,1.5
77.4403,3.3,-2.8,1018.1,290.0,2.6
82.1515,3.9,-3.9,1018.3,300.0,2.6
86.8627,3.9,-3.3,1017.9,280.0,3.6
86.2738,4.4,-3.3,1016.9,290.0,5.1
90.3961,3.9,-3.9,1016.2,280.0,4.6
81.857,3.3,-3.9,1016.0,300.0,5.1
80.6792,3.9,-5.0,1015.8,290.0,4.6
83.3293,3.9,-5.6,1015.7,300.0,4.1
85.3904,3.3,-6.1,1015.7,270.0,4.6
84.8015,2.8,-6.1,1016.3,270.0,4.1
85.3904,2.8,-6.1,1016.8,280.0,3.6
87.1571,2.2,-6.7,1017.5,290.0,3.1
89.2183,1.1,-6.7,1017.9,280.0,3.1
83.6237,1.1,-8.3,1017.7,270.0,2.1
88.0405,0.6,-8.9,1017.9,300.0,3.6
87.74600000000002,-0.6,-8.3,1018.1,240.0,1.5
88.3349,0.0,-7.8,1017.8,270.0,3.1
92.7517,0.6,-7.8,1018.0,280.0,3.6
78.0292,0.6,-8.9,1017.8,320.0,2.1
75.0847,0.6,-10.0,1017.7,300.0,3.1
77.1458,0.0,-10.0,1017.8,300.0,3.1
79.5014,0.6,-10.0,1018.0,310.0,1.5
75.0847,0.0,-9.4,1018.4,270.0,1.5
73.6124,0.0,-8.9,1018.9,270.0,1.5
74.4958,1.1,-6.7,1019.0,270.0,2.6
89.2183,1.7,-7.2,1019.5,260.0,4.6
81.2681,2.2,-7.2,1019.2,270.0,4.1
88.3349,3.3,-6.7,1018.0,310.0,4.6
79.7959,4.4,-6.7,1016.4,280.0,4.6
80.0903,5.0,-6.1,1015.7,270.0,4.1
86.8627,4.4,-6.1,1015.5,270.0,4.1
89.8072,3.9,-6.1,1015.5,300.0,4.1
96.874,3.9,-6.1,1015.8,310.0,2.6
107.1797,2.8,-6.1,1015.8,300.0,1.5
94.2239,1.1,-6.1,1016.3,0.0,0.0
96.2851,1.1,-5.6,1015.9,0.0,0.0
108.3575,0.0,-6.1,1015.8,0.0,0.0
111.0076,-1.1,-6.1,1015.3,300.0,2.1
110.4187,-0.6,-5.6,1015.2,270.0,1.5
116.8965,-1.7,-6.1,1014.5,0.0,0.0
100.1129,-2.2,-6.1,1013.8,0.0,0.0
95.6962,-2.2,-5.6,1013.1,230.0,2.1
100.4074,-2.8,-5.0,1012.6,230.0,1.5
89.5127,-3.3,-6.1,1011.3,200.0,2.6
83.6237,-1.7,-5.0,1011.2,250.0,2.1
85.6849,-2.8,-6.1,1010.8,190.0,1.5
79.5014,-2.2,-5.0,1011.1,190.0,1.5
77.7347,-1.7,-4.4,1011.0,230.0,2.1
80.9737,1.1,-3.3,1011.3,220.0,3.1
78.3236,5.0,-3.3,1011.2,230.0,4.1
81.857,7.2,-5.0,1010.3,260.0,6.2
84.2126,7.8,-5.6,1009.5,280.0,5.1
87.4516,8.3,-5.6,1008.9,300.0,5.7
81.2681,7.8,-5.0,1009.5,300.0,6.2
84.8015,6.7,-5.0,1009.6,330.0,5.1
94.2239,5.6,-5.0,1010.6,300.0,6.7
95.1073,3.9,-5.6,1011.2,320.0,2.6
90.1016,3.3,-5.6,1011.7,320.0,3.1
98.0518,2.8,-5.6,1012.4,270.0,2.1
96.2851,2.2,-5.0,1012.4,280.0,2.1
85.9793,1.7,-5.0,1012.3,270.0,2.6
91.8683,1.7,-5.0,1012.5,290.0,2.1
98.0518,1.1,-5.0,1012.3,290.0,2.1
100.7018,0.6,-4.4,1012.3,280.0,2.1
98.0518,0.6,-4.4,1011.8,280.0,2.6
96.5795,0.0,-5.0,1011.9,300.0,2.6
92.7517,-0.6,-5.0,1012.2,330.0,1.5
85.3904,0.6,-5.0,1012.3,340.0,4.1
95.1073,0.6,-6.7,1012.8,350.0,5.1
87.4516,-1.7,-10.0,1014.2,360.0,5.7
85.9793,-2.8,-11.1,1015.4,360.0,4.6
109.2409,-2.8,-11.7,1016.0,350.0,5.7
119.8411,-2.2,-12.2,1016.9,340.0,4.1
128.969,-1.7,-12.2,1017.6,360.0,5.7
137.2136,-1.7,-13.9,1017.4,360.0,6.7
160.4751,-1.1,-14.4,1017.1,350.0,7.7
177.5532,-0.6,-15.0,1016.9,330.0,5.7
165.4808,-1.7,-16.1,1016.9,360.0,8.2
181.3811,-2.2,-16.1,1017.8,340.0,7.2
186.0922,-3.3,-17.2,1019.1,340.0,7.7
187.27,-5.0,-17.8,1020.6,340.0,7.2
186.0922,-6.1,-17.8,1022.1,340.0,5.7
203.4648,-7.2,-17.8,1023.8,350.0,6.2
186.9756,-8.3,-18.3,1025.2,350.0,8.8
173.1365,-9.4,-18.3,1026.0,360.0,9.3
163.4196,-10.0,-18.3,1027.1,350.0,6.7
160.7696,-11.1,-18.9,1028.0,350.0,5.7
165.4808,-11.7,-18.9,1028.5,340.0,6.2
155.175,-11.7,-18.9,1029.2,340.0,4.6
154.5861,-11.7,-19.4,1030.3,350.0,6.2
133.6802,-12.2,-19.4,1031.1,360.0,5.1
118.3688,-12.2,-20.0,1031.5,360.0,6.2
93.3406,-12.8,-20.0,1031.9,350.0,5.7
90.3961,-12.8,-20.0,1032.3,10.0,5.7
95.9906,-12.2,-20.0,1033.5,360.0,3.6
122.1967,-12.2,-20.0,1034.6,350.0,4.1
120.7244,-10.0,-20.0,1035.4,360.0,4.6
128.6745,-8.3,-20.0,1036.2,340.0,3.1
140.1581,-6.7,-20.0,1036.5,360.0,4.6
182.5588,-5.0,-20.6,1035.9,340.0,2.6
166.3641,-3.3,-19.4,1035.7,350.0,4.1
192.2757,-1.7,-19.4,1035.1,350.0,3.6
188.7423,-1.1,-20.6,1035.1,330.0,2.6
184.62,-1.1,-19.4,1035.6,350.0,2.6
185.2089,-2.2,-18.9,1035.8,0.0,0.0
185.5034,-3.3,-17.8,1036.4,0.0,0.0
183.4422,-3.9,-16.7,1036.5,0.0,0.0
175.7865,-6.1,-16.1,1036.7,0.0,0.0
171.0753,-6.1,-15.6,1036.7,270.0,1.5
172.2531,-7.8,-14.4,1036.5,0.0,0.0
166.6586,-7.2,-15.0,1036.3,0.0,0.0
155.4695,-8.9,-14.4,1036.0,0.0,0.0
155.7639,-9.4,-13.9,1035.6,0.0,0.0
135.7414,-8.9,-13.9,1035.6,320.0,2.1
125.7301,-10.0,-14.4,1035.1,0.0,0.0
122.4911,-11.1,-13.9,1035.0,240.0,2.1
93.0461,-10.0,-13.9,1034.9,0.0,0.0
93.0461,-10.6,-13.9,1035.4,0.0,0.0
93.3406,-10.6,-13.9,1035.7,0.0,0.0
128.3801,-10.6,-12.8,1035.6,0.0,0.0
135.1524,-6.7,-9.4,1035.6,0.0,0.0
127.7912,-3.3,-11.1,1035.9,250.0,2.1
138.0969,-0.6,-10.6,1035.5,240.0,2.1
165.7752,1.7,-12.8,1033.4,330.0,1.5
165.1863,2.8,-13.9,1032.5,310.0,1.5
178.1421,3.9,-15.6,1031.4,200.0,2.6
205.2315,4.4,-16.7,1031.1,220.0,2.6
189.3312,3.3,-15.6,1031.0,200.0,2.6
204.6426,2.2,-15.6,1030.6,220.0,2.1
184.0311,1.1,-15.6,1030.5,210.0,1.5
186.3867,0.6,-15.0,1030.6,230.0,1.5
182.2644,0.0,-13.9,1030.9,230.0,2.1
