0,1,2,3,4,5
389.6752,20.0,17.8,1016.0,140.0,3.1
404.17800000000005,22.2,18.3,1017.0,160.0,4.1
414.8801,23.9,17.8,1017.6,160.0,5.1
392.5758,26.7,18.3,1017.3,150.0,7.2
421.3813,27.8,17.2,1016.5,170.0,6.7
442.6854,28.3,17.2,1015.5,150.0,5.7
442.7854,28.9,17.2,1014.8,170.0,5.7
443.9857,28.9,17.8,1014.4,160.0,5.1
438.2846,28.3,16.7,1014.4,180.0,5.7
422.5816,26.1,17.2,1014.8,160.0,2.6
413.8799,23.9,17.2,1015.1,100.0,3.6
402.6777,23.3,19.4,1015.8,120.0,3.6
401.8775,22.8,20.0,1016.3,120.0,3.6
398.6769,22.2,20.0,1016.6,130.0,3.6
393.5759,22.2,20.0,1016.8,140.0,3.6
360.9697,21.7,20.0,1016.7,140.0,3.1
347.267,21.1,20.0,1016.3,150.0,3.6
338.9654,21.1,20.0,1015.8,140.0,3.1
333.2643,20.6,20.0,1015.4,150.0,3.1
331.764,20.6,19.4,1015.4,160.0,2.6
332.2641,20.0,18.9,1015.0,160.0,2.1
345.4667,19.4,18.9,1014.6,150.0,2.6
352.8681,19.4,18.9,1014.9,160.0,3.1
363.6702,18.9,18.9,1015.3,160.0,2.6
387.4748,20.6,20.0,1015.7,150.0,3.6
408.8789,21.7,20.6,1015.8,170.0,5.7
420.4811,25.0,20.0,1015.8,160.0,7.7
430.6831,26.7,19.4,1015.5,170.0,8.8
439.1847,27.2,19.4,1014.9,180.0,6.2
441.4852,28.9,18.3,1013.9,200.0,7.2
446.5862,29.4,18.3,1013.1,170.0,7.2
443.4856,28.9,18.3,1012.9,170.0,5.7
436.8843,26.7,18.9,1013.4,200.0,7.2
421.7814,22.2,20.6,1014.2,240.0,5.1
414.48,22.2,20.0,1014.7,190.0,3.6
405.6783,21.1,20.0,1015.1,180.0,1.5
398.4769,21.1,20.0,1015.4,190.0,2.6
396.5765,20.6,20.0,1015.4,180.0,1.5
357.769,19.4,19.4,1015.4,160.0,3.1
361.8698,19.4,18.9,1015.4,170.0,2.6
353.3682,19.4,19.4,1015.1,200.0,2.1
338.0653,20.0,19.4,1015.1,190.0,2.6
330.6638,19.4,18.9,1014.5,180.0,2.1
334.0645,20.0,19.4,1014.7,230.0,2.1
341.7659,19.4,19.4,1014.7,180.0,3.1
345.5667,19.4,19.4,1014.5,200.0,2.1
355.4686,19.4,19.4,1015.0,0.0,0.0
368.8712,18.9,18.9,1015.0,170.0,2.1
388.8751,20.0,20.0,1015.2,180.0,5.1
401.5775,22.2,21.7,1015.8,210.0,3.6
422.3815,24.4,21.7,1015.8,210.0,6.2
434.7839,25.6,21.1,1015.8,210.0,4.1
441.8853,28.3,20.0,1015.2,220.0,5.1
443.6856,28.9,19.4,1014.3,210.0,6.2
443.7856,30.0,19.4,1013.6,250.0,3.6
441.9853,28.3,18.9,1013.5,290.0,4.1
438.9847,26.7,20.0,1013.8,310.0,4.6
425.3821,25.6,20.0,1014.3,320.0,3.6
413.2798,24.4,18.9,1014.9,30.0,4.1
403.2778,22.2,17.8,1015.8,360.0,5.1
398.877,21.1,17.8,1016.2,350.0,3.1
393.876,20.0,16.7,1016.6,70.0,2.1
387.8749,18.9,16.7,1016.9,360.0,3.1
361.8698,18.9,16.1,1016.9,360.0,2.6
352.5680000000001,18.3,15.0,1017.0,340.0,4.6
342.5661,17.8,14.4,1017.1,360.0,3.1
336.2649,16.7,14.4,1017.4,350.0,3.6
334.8646,16.1,12.8,1017.9,360.0,4.1
339.0654,15.6,8.9,1018.1,10.0,5.7
347.8671,15.0,8.9,1018.4,360.0,3.6
349.4674,14.4,7.8,1019.2,350.0,3.6
363.4701,13.9,7.8,1020.0,350.0,3.1
381.2736,15.0,8.3,1020.4,350.0,4.6
398.5769,16.7,7.8,1021.0,360.0,5.7
413.8799,18.9,8.9,1021.4,360.0,5.1
423.6818,20.0,9.4,1021.4,20.0,4.6
425.6821,21.7,8.9,1020.5,10.0,5.1
426.3823,22.8,7.8,1019.7,10.0,3.1
432.3834,23.9,6.1,1019.3,20.0,3.1
426.4823,24.4,5.0,1019.1,20.0,4.1
416.0803,23.9,4.4,1019.2,10.0,4.6
394.7762,22.2,5.6,1019.5,20.0,3.6
377.1728,19.4,8.9,1019.8,70.0,4.6
357.8691,17.8,9.4,1020.6,50.0,5.1
