0,1,2,3,4,5
51.4,0.6,-5.0,1014.8,310.0,7.2
41.0,0.0,-6.1,1015.8,280.0,9.8
38.975,0.0,-5.6,1016.4,260.0,4.1
39.025,0.0,-5.6,1017.1,280.0,5.1
38.025,0.0,-6.1,1017.7,270.0,5.1
36.05,-0.6,-5.6,1018.0,250.0,4.6
36.075,-0.6,-5.6,1018.4,260.0,4.6
40.075,-1.1,-6.1,1019.2,270.0,3.1
36.5,-0.6,-6.7,1019.4,280.0,5.1
36.45,-0.6,-6.1,1019.4,240.0,2.6
34.05,-1.1,-5.6,1019.7,220.0,3.1
32.85,-0.6,-5.6,1020.8,190.0,3.1
30.75,-1.7,-6.1,1020.6,190.0,1.5
31.275,-1.1,-6.1,1019.5,140.0,2.6
33.525,0.0,-6.1,1019.4,180.0,4.1
38.075,0.0,-6.1,1019.3,210.0,6.2
38.825,0.6,-6.7,1018.8,230.0,6.2
38.75,0.6,-7.2,1018.3,210.0,4.6
43.425,0.6,-7.2,1017.7,200.0,4.1
37.025,0.6,-6.7,1017.5,190.0,3.1
40.325,0.6,-7.2,1017.3,190.0,4.1
55.0,0.0,-7.2,1016.6,200.0,2.6
47.25,-1.0,-3.0,1016.6,200.0,3.1
41.975,-1.7,-2.2,1016.1,170.0,3.6
49.8,-1.7,-2.2,1016.1,190.0,3.1
46.175,-1.1,-2.2,1016.1,180.0,2.1
39.4,-1.1,-2.2,1015.7,160.0,2.6
38.75,-1.1,-1.7,1015.8,220.0,2.6
42.325,-1.1,-2.2,1015.6,250.0,2.6
38.75,-1.1,-3.9,1015.6,250.0,3.6
39.675,-1.1,-3.9,1015.7,220.0,4.6
35.975,-1.1,-4.4,1015.2,220.0,4.1
36.525,-3.3,-5.6,1015.8,330.0,4.1
38.625,-3.9,-6.1,1016.1,340.0,4.1
35.9,-4.4,-6.7,1016.5,320.0,4.6
35.075,-5.6,-8.3,1017.4,320.0,6.2
36.65,-6.7,-10.0,1018.1,330.0,3.1
37.35,-6.1,-10.0,1018.4,290.0,6.7
36.675,-5.0,-11.1,1018.4,280.0,7.2
39.625,-5.0,-12.2,1018.0,270.0,7.2
40.975,-5.0,-12.2,1017.1,260.0,7.2
40.225,-3.3,-12.2,1016.1,240.0,4.6
35.125,-3.9,-12.8,1015.0,260.0,4.6
36.425,-2.8,-12.8,1014.3,260.0,5.1
38.9,-3.3,-12.8,1013.6,220.0,4.6
55.0,-5.0,-12.8,1013.0,220.0,4.6
48.4,-5.0,-12.8,1012.6,210.0,4.1
48.975,-4.4,-12.8,1011.8,230.0,4.6
53.875,-3.9,-11.7,1010.9,240.0,5.7
52.275,-4.4,-11.7,1009.9,230.0,7.2
55.95,-5.0,-12.2,1009.0,240.0,8.8
49.575,-6.1,-12.8,1008.6,230.0,6.7
55.15,-6.7,-12.2,1008.3,240.0,6.7
53.075,-6.7,-12.8,1008.3,250.0,6.2
44.65,-8.3,-10.0,1008.9,290.0,8.2
37.3,-9.4,-11.7,1009.8,290.0,7.2
37.125,-10.6,-15.0,1010.0,290.0,7.2
39.075,-10.6,-15.6,1010.0,270.0,7.7
41.975,-10.6,-16.1,1010.4,270.0,9.8
34.275,-11.1,-16.1,1011.2,270.0,6.7
31.45,-11.1,-16.7,1012.1,280.0,10.3
32.175,-10.6,-17.2,1013.1,280.0,7.7
36.1,-11.1,-15.0,1014.2,290.0,10.8
34.925,-11.1,-15.6,1014.5,270.0,8.8
35.025,-10.6,-16.1,1014.4,280.0,8.2
37.0,-9.4,-18.9,1013.7,260.0,11.3
48.225,-8.3,-16.7,1014.4,270.0,8.2
43.1,-8.9,-15.6,1014.9,260.0,8.2
41.225,-9.4,-15.0,1015.1,260.0,8.8
48.675,-10.0,-16.7,1015.5,270.0,9.3
34.0,-10.0,-16.1,1016.9,280.0,8.8
37.175,-9.4,-16.1,1017.7,280.0,10.3
51.775,-8.9,-15.0,1018.7,280.0,8.2
43.125,-10.0,-12.2,1019.6,300.0,10.3
