0,1,2,3,4,5
11.675,0.6,-5.0,1014.8,310.0,7.2
8.4,0.0,-6.1,1015.8,280.0,9.8
9.0,0.0,-5.6,1016.4,260.0,4.1
10.175,0.0,-5.6,1017.1,280.0,5.1
8.625,0.0,-6.1,1017.7,270.0,5.1
8.475,-0.6,-5.6,1018.0,250.0,4.6
8.35,-0.6,-5.6,1018.4,260.0,4.6
8.525,-1.1,-6.1,1019.2,270.0,3.1
8.575,-0.6,-6.7,1019.4,280.0,5.1
13.775,-0.6,-6.1,1019.4,240.0,2.6
16.55,-1.1,-5.6,1019.7,220.0,3.1
15.7,-0.6,-5.6,1020.8,190.0,3.1
17.175,-1.7,-6.1,1020.6,190.0,1.5
17.4,-1.1,-6.1,1019.5,140.0,2.6
21.675,0.0,-6.1,1019.4,180.0,4.1
19.1,0.0,-6.1,1019.3,210.0,6.2
17.425,0.6,-6.7,1018.8,230.0,6.2
16.8,0.6,-7.2,1018.3,210.0,4.6
16.2,0.6,-7.2,1017.7,200.0,4.1
17.25,0.6,-6.7,1017.5,190.0,3.1
18.775,0.6,-7.2,1017.3,190.0,4.1
17.2,0.0,-7.2,1016.6,200.0,2.6
16.225,-1.0,-3.0,1016.6,200.0,3.1
12.2,-1.7,-2.2,1016.1,170.0,3.6
12.3,-1.7,-2.2,1016.1,190.0,3.1
8.45,-1.1,-2.2,1016.1,180.0,2.1
8.55,-1.1,-2.2,1015.7,160.0,2.6
8.675,-1.1,-1.7,1015.8,220.0,2.6
8.9,-1.1,-2.2,1015.6,250.0,2.6
8.825,-1.1,-3.9,1015.6,250.0,3.6
10.325,-1.1,-3.9,1015.7,220.0,4.6
8.95,-1.1,-4.4,1015.2,220.0,4.1
8.725,-3.3,-5.6,1015.8,330.0,4.1
13.225,-3.9,-6.1,1016.1,340.0,4.1
16.75,-4.4,-6.7,1016.5,320.0,4.6
16.75,-5.6,-8.3,1017.4,320.0,6.2
15.625,-6.7,-10.0,1018.1,330.0,3.1
16.2,-6.1,-10.0,1018.4,290.0,6.7
16.675,-5.0,-11.1,1018.4,280.0,7.2
17.0,-5.0,-12.2,1018.0,270.0,7.2
18.875,-5.0,-12.2,1017.1,260.0,7.2
19.0,-3.3,-12.2,1016.1,240.0,4.6
20.4,-3.9,-12.8,1015.0,260.0,4.6
16.875,-2.8,-12.8,1014.3,260.0,5.1
17.225,-3.3,-12.8,1013.6,220.0,4.6
17.025,-5.0,-12.8,1013.0,220.0,4.6
12.6,-5.0,-12.8,1012.6,210.0,4.1
12.675,-4.4,-12.8,1011.8,230.0,4.6
12.625,-3.9,-11.7,1010.9,240.0,5.7
8.875,-4.4,-11.7,1009.9,230.0,7.2
8.85,-5.0,-12.2,1009.0,240.0,8.8
8.75,-6.1,-12.8,1008.6,230.0,6.7
8.825,-6.7,-12.2,1008.3,240.0,6.7
10.175,-6.7,-12.8,1008.3,250.0,6.2
11.15,-8.3,-10.0,1008.9,290.0,8.2
11.275,-9.4,-11.7,1009.8,290.0,7.2
11.375,-10.6,-15.0,1010.0,290.0,7.2
15.1,-10.6,-15.6,1010.0,270.0,7.7
20.325,-10.6,-16.1,1010.4,270.0,9.8
16.825,-11.1,-16.1,1011.2,270.0,6.7
16.7,-11.1,-16.7,1012.1,280.0,10.3
17.05,-10.6,-17.2,1013.1,280.0,7.7
18.15,-11.1,-15.0,1014.2,290.0,10.8
18.525,-11.1,-15.6,1014.5,270.0,8.8
18.15,-10.6,-16.1,1014.4,280.0,8.2
22.475,-9.4,-18.9,1013.7,260.0,11.3
16.95,-8.3,-16.7,1014.4,270.0,8.2
16.225,-8.9,-15.6,1014.9,260.0,8.2
17.275,-9.4,-15.0,1015.1,260.0,8.8
17.0,-10.0,-16.7,1015.5,270.0,9.3
12.225,-10.0,-16.1,1016.9,280.0,8.8
12.225,-9.4,-16.1,1017.7,280.0,10.3
12.3,-8.9,-15.0,1018.7,280.0,8.2
12.05,-10.0,-12.2,1019.6,300.0,10.3
11.975,-10.0,-12.2,1020.7,310.0,8.8
12.1,-10.6,-12.2,1021.9,320.0,7.2
11.8,-11.1,-13.3,1022.6,340.0,5.1
11.875,-11.1,-13.3,1023.1,320.0,3.6
12.55,-12.2,-13.9,1023.6,340.0,3.1
12.075,-12.2,-13.9,1024.5,340.0,2.1
11.825,-11.7,-13.3,1025.1,330.0,2.1
15.375,-12.2,-13.9,1025.5,340.0,1.5
19.075,-12.2,-14.4,1026.3,0.0,0.0
16.8,-12.8,-15.0,1026.4,70.0,1.5
15.55,-13.9,-15.6,1026.9,150.0,1.5
17.475,-11.7,-13.9,1027.7,180.0,4.1
16.9,-10.6,-13.9,1028.2,200.0,4.6
17.275,-8.3,-13.3,1028.1,200.0,5.1
17.275,-7.8,-13.3,1027.5,180.0,4.1
17.1,-6.1,-12.8,1027.0,200.0,4.1
16.35,-6.7,-12.8,1026.9,210.0,3.6
16.5,-6.7,-12.8,1026.9,190.0,3.1
16.5,-7.2,-13.3,1026.5,170.0,3.1
16.65,-7.8,-13.3,1026.3,180.0,5.1
15.35,-7.8,-13.3,1026.6,180.0,4.6
15.175,-8.3,-13.3,1025.8,170.0,5.7
11.625,-8.3,-15.0,1025.8,170.0,4.6
15.6,-8.3,-14.4,1024.7,160.0,5.1
11.45,-8.3,-13.9,1024.4,160.0,5.1
11.525,-8.3,-13.9,1023.4,150.0,4.6
11.675,-8.3,-12.2,1023.2,160.0,4.1
11.65,-8.9,-11.7,1021.9,150.0,5.1
11.35,-8.9,-11.1,1018.9,140.0,8.2
11.5,-8.3,-11.1,1016.8,150.0,7.2
11.5,-8.3,-10.6,1016.8,160.0,6.2
15.875,-8.3,-10.0,1013.9,140.0,5.7
15.45,-8.3,-10.0,1013.4,140.0,5.7
15.45,-7.2,-10.0,1012.0,160.0,8.2
14.125,-6.7,-9.4,1011.3,160.0,9.8
13.775,-5.6,-8.3,1011.1,160.0,6.2
13.575,-4.4,-7.2,1011.2,170.0,5.1
13.475,-3.3,-6.1,1010.4,170.0,4.6
13.775,-2.8,-5.0,1009.8,170.0,4.6
13.625,-2.2,-3.9,1009.4,160.0,6.2
13.725,-1.7,-3.3,1009.2,150.0,4.6
16.75,-0.6,-2.8,1008.8,150.0,4.1
15.575,0.0,-1.7,1008.5,150.0,4.6
11.825,0.6,-1.7,1008.4,170.0,5.7
11.6,1.1,-1.1,1008.2,160.0,4.6
11.4,1.1,-0.6,1007.7,160.0,6.7
8.375,2.2,0.6,1006.7,160.0,8.2
8.1,2.8,1.7,1006.7,170.0,6.7
8.125,3.3,2.2,1005.9,160.0,7.7
7.95,3.9,3.3,1005.3,140.0,5.1
8.05,4.4,3.9,1003.9,150.0,5.7
7.975,5.6,4.4,1002.8,150.0,7.7
7.975,5.0,4.4,1002.0,140.0,7.2
8.075,6.7,5.6,1000.9,160.0,4.1
9.875,7.2,6.1,1000.8,180.0,3.1
14.825,6.1,5.6,1001.2,170.0,3.1
14.75,2.8,2.8,1003.3,330.0,6.2
15.125,1.1,0.6,1004.7,350.0,2.6
14.9,1.1,0.6,1007.4,320.0,4.6
14.975,0.6,-0.6,1010.8,310.0,9.8
14.75,-1.1,-1.7,1014.2,310.0,7.2
13.825,-1.1,-2.8,1015.6,300.0,8.8
13.45,-1.7,-4.4,1017.6,310.0,7.7
13.55,-2.2,-4.4,1020.0,310.0,6.2
13.8,-2.8,-6.7,1022.1,300.0,8.8
14.95,-3.3,-7.8,1024.6,310.0,6.2
15.9,-4.4,-8.3,1026.3,330.0,4.6
15.775,-4.4,-8.3,1027.8,320.0,8.2
11.725,-5.6,-7.8,1029.4,300.0,7.2
11.825,-6.7,-9.4,1031.8,330.0,6.7
11.575,-7.8,-11.7,1033.6,320.0,6.7
11.4,-8.3,-12.8,1034.9,320.0,6.7
11.5,-8.3,-12.8,1035.5,320.0,5.7
11.425,-8.3,-13.9,1036.1,310.0,4.6
11.25,-8.9,-12.8,1036.2,330.0,5.1
11.625,-8.9,-11.7,1036.6,330.0,3.1
11.4,-10.0,-12.8,1037.0,10.0,4.1
11.575,-11.1,-13.9,1037.4,10.0,1.5
14.925,-11.7,-14.4,1038.8,220.0,1.5
16.425,-12.2,-14.4,1040.5,160.0,1.5
17.975,-14.4,-16.7,1041.0,150.0,1.5
15.9,-14.4,-16.1,1041.4,110.0,1.5
16.35,-12.2,-13.3,1041.8,0.0,0.0
20.15,-8.3,-12.8,1042.2,140.0,3.1
17.525,-7.8,-12.2,1041.7,180.0,3.1
18.925,-5.6,-12.2,1040.4,160.0,2.6
20.1,-4.4,-12.2,1039.9,0.0,0.0
17.3,-3.3,-12.8,1039.2,0.0,0.0
18.925,-3.9,-12.8,1039.1,140.0,1.5
17.225,-3.3,-12.2,1038.7,0.0,0.0
16.875,-7.8,-15.6,1038.8,0.0,0.0
12.025,-11.7,-15.0,1039.0,120.0,2.1
11.975,-11.1,-13.9,1038.8,120.0,2.6
11.825,-12.2,-15.0,1039.0,140.0,2.1
11.675,-13.3,-16.1,1039.4,0.0,0.0
11.95,-13.3,-15.0,1038.5,130.0,2.1
13.35,-14.4,-16.1,1038.6,0.0,0.0
12.875,-13.3,-15.0,1037.3,140.0,2.1
11.725,-11.1,-14.4,1036.2,160.0,3.6
11.525,-12.2,-15.6,1036.4,110.0,1.5
11.575,-14.4,-16.7,1036.2,110.0,2.1
15.125,-13.9,-15.6,1035.0,100.0,2.1
17.4,-13.3,-14.4,1034.8,140.0,2.1
16.675,-11.7,-13.3,1035.0,140.0,2.6
15.575,-11.1,-13.9,1034.1,150.0,3.6
17.275,-8.9,-12.2,1033.4,160.0,4.6
19.525,-6.7,-11.7,1032.9,160.0,3.6
17.85,-5.0,-10.0,1031.2,170.0,5.1
18.325,-3.3,-9.4,1028.9,190.0,6.2
17.525,-3.3,-9.4,1027.5,150.0,3.6
18.4,-2.8,-8.9,1025.6,160.0,3.6
16.825,-2.2,-8.3,1023.6,150.0,6.2
17.05,-2.2,-8.9,1022.4,170.0,6.7
