0,1,2,3,4,5
61.1116,14.4,13.3,1009.4,170.0,5.7
63.8516,15.0,13.9,1008.8,200.0,4.6
82.3216,15.6,13.9,1009.0,210.0,4.1
78.6616,15.0,13.9,1009.1,210.0,3.1
61.2716,15.0,13.9,1009.1,220.0,2.1
62.9016,15.0,13.9,1010.2,220.0,2.1
71.7416,15.0,13.9,1010.6,220.0,2.1
76.8816,15.0,13.9,1011.1,230.0,1.5
69.8216,15.6,13.9,1011.6,270.0,3.1
76.2658,15.0,13.3,1012.1,260.0,2.6
73.8458,14.4,12.8,1012.6,250.0,2.6
70.4758,13.9,12.2,1012.8,260.0,1.5
74.9058,12.8,11.7,1013.2,320.0,1.5
71.5958,12.2,11.7,1013.1,0.0,0.0
72.7058,11.1,10.6,1012.8,190.0,1.5
77.0158,9.4,8.9,1012.7,150.0,2.1
68.0358,10.0,9.4,1012.7,0.0,0.0
62.2858,11.1,10.0,1012.5,100.0,1.5
56.8858,11.7,11.1,1012.7,70.0,1.5
53.7858,12.2,11.7,1011.9,70.0,2.1
51.2058,13.3,12.2,1011.5,50.0,2.1
53.3058,13.3,12.8,1011.1,80.0,1.5
54.7358,13.3,12.8,1009.8,120.0,3.1
61.7358,13.9,12.8,1007.8,100.0,3.6
58.3058,13.9,12.8,1007.3,60.0,4.1
65.0158,13.9,12.8,1007.3,70.0,3.6
63.9758,12.8,11.7,1007.3,70.0,2.6
70.5858,12.2,11.1,1006.3,70.0,4.6
63.8737,12.2,11.1,1006.2,70.0,4.1
82.6568,12.2,11.1,1005.6,50.0,3.1
69.0568,12.2,11.7,1004.7,40.0,2.1
72.1237,12.2,11.7,1003.3,60.0,3.1
81.7668,12.8,12.2,1001.8,60.0,3.6
72.9158,12.8,11.7,1000.5,90.0,2.6
68.3558,12.8,11.7,998.6,90.0,3.1
79.5358,11.7,10.6,998.3,290.0,1.5
74.1058,11.7,11.1,997.3,0.0,0.0
73.4158,13.3,11.7,998.1,260.0,3.1
75.2358,13.3,10.6,1000.1,260.0,3.6
82.4258,12.2,10.0,1000.6,240.0,2.6
66.7558,11.7,4.4,1001.9,300.0,5.1
66.7558,10.6,3.9,1003.1,310.0,3.6
66.7558,10.0,1.7,1003.9,290.0,5.1
66.7558,10.0,1.1,1004.8,290.0,5.7
66.7558,10.6,1.1,1005.3,300.0,4.6
66.7558,10.6,1.1,1005.3,300.0,6.7
66.7558,10.6,1.1,1005.0,300.0,7.2
66.7558,11.1,0.0,1005.1,280.0,6.2
55.5958,10.6,0.0,1005.4,280.0,6.2
58.1358,10.6,0.0,1005.8,280.0,5.1
64.5258,10.0,0.0,1006.3,280.0,4.6
77.9758,9.4,0.0,1007.3,290.0,5.7
63.0458,8.9,-1.1,1008.5,290.0,5.7
71.0958,8.3,-1.7,1009.3,290.0,4.6
67.8458,7.2,-2.2,1010.2,310.0,5.7
64.9758,6.1,-3.3,1010.4,290.0,4.1
74.6858,5.6,-3.3,1010.6,280.0,2.6
70.9058,5.0,-3.9,1010.6,270.0,3.1
77.5458,4.4,-3.3,1010.8,240.0,2.6
70.8158,3.9,-3.3,1011.3,260.0,2.6
64.8758,3.3,-3.3,1012.2,240.0,2.6
57.0758,3.3,-3.9,1012.3,260.0,2.6
68.4158,2.8,-3.3,1012.3,250.0,3.1
66.4658,3.3,-2.8,1012.4,280.0,3.6
78.3658,3.9,-2.8,1013.0,260.0,4.1
56.8358,3.3,-2.8,1013.4,250.0,2.6
56.7658,3.9,-2.8,1013.7,260.0,2.1
54.3458,5.6,-2.2,1013.9,280.0,4.6
54.6958,7.2,-1.7,1014.1,290.0,5.7
51.7058,8.9,-1.7,1013.8,310.0,7.2
55.4058,9.4,-1.1,1012.9,280.0,4.1
55.0558,10.0,-1.7,1012.4,290.0,5.7
70.7458,10.0,-1.7,1012.0,320.0,5.1
52.3358,10.0,-2.8,1012.1,280.0,6.2
62.6558,9.4,-3.3,1012.5,280.0,7.2
76.8558,8.9,-3.3,1012.9,270.0,5.1
71.4458,7.8,-3.3,1013.4,270.0,7.7
64.4158,7.2,-3.3,1013.7,270.0,5.7
80.6058,6.7,-2.8,1013.7,270.0,5.1
75.7958,6.1,-2.8,1013.8,270.0,3.6
70.2658,6.7,-2.2,1013.9,270.0,5.1
71.8858,6.1,-2.2,1014.2,270.0,4.1
70.3258,5.6,-1.7,1014.3,260.0,3.1
77.3658,5.6,-1.7,1014.3,270.0,3.6
85.2258,6.1,-1.7,1014.5,280.0,3.6
67.6558,6.1,-1.7,1015.0,290.0,3.1
65.3758,5.6,-0.6,1014.7,300.0,5.7
60.5958,5.0,-1.1,1015.5,320.0,4.6
76.5458,5.0,-1.7,1016.0,320.0,4.6
65.0858,5.6,-2.8,1016.6,300.0,6.2
63.4358,6.1,-3.3,1017.2,320.0,5.7
56.0558,6.7,-2.8,1017.5,320.0,3.1
57.9658,7.2,-2.8,1018.2,320.0,5.1
55.4658,8.3,-2.8,1018.0,300.0,7.7
70.7858,8.9,-2.8,1018.1,300.0,7.2
52.2258,9.4,-2.8,1017.9,310.0,5.7
50.1058,10.0,-3.3,1017.3,330.0,6.2
55.5858,9.4,-3.9,1017.3,320.0,5.1
59.1358,9.4,-2.8,1018.6,320.0,6.7
60.6858,8.3,-3.3,1019.4,320.0,8.8
70.3558,7.8,-3.9,1019.7,340.0,6.2
86.8958,7.2,-3.3,1019.8,320.0,3.1
71.8858,7.2,-3.3,1020.0,320.0,4.1
67.3658,7.2,-2.8,1020.5,320.0,2.1
72.7358,7.2,-2.8,1020.6,310.0,5.1
78.5158,6.7,-3.3,1021.4,310.0,3.1
74.4458,6.7,-3.9,1021.7,320.0,3.1
76.4158,6.1,-3.3,1022.1,350.0,4.1
89.2458,5.6,-3.9,1022.4,350.0,5.7
70.7758,5.6,-4.4,1022.5,340.0,5.1
83.0058,5.0,-5.0,1022.6,340.0,4.1
75.7958,5.0,-5.0,1022.5,310.0,2.6
75.0558,4.4,-5.0,1022.6,340.0,1.5
77.9358,4.4,-5.0,1023.3,330.0,2.1
64.8658,3.9,-5.0,1023.4,0.0,0.0
58.5758,5.6,-4.4,1023.5,320.0,2.6
58.0658,7.2,-3.9,1023.4,350.0,3.6
53.5658,7.2,-3.9,1023.2,10.0,3.1
51.9258,7.8,-3.9,1022.6,290.0,3.6
47.8858,7.8,-4.4,1022.3,320.0,2.6
51.6758,7.8,-4.4,1021.8,290.0,3.1
61.3858,7.8,-5.0,1021.8,290.0,2.1
70.9058,7.2,-5.6,1021.6,320.0,1.5
73.0958,6.7,-5.6,1021.5,0.0,0.0
92.8758,5.6,-4.4,1021.2,0.0,0.0
76.4458,5.6,-4.4,1021.3,0.0,0.0
84.7058,5.0,-3.9,1021.5,0.0,0.0
74.4358,4.4,-2.8,1020.8,0.0,0.0
80.1658,4.4,-2.8,1019.8,0.0,0.0
72.3058,4.4,-2.2,1019.5,140.0,2.1
76.6758,5.0,-2.8,1019.0,180.0,2.6
76.7758,5.0,-2.8,1017.9,170.0,2.6
77.0758,4.4,-0.6,1017.0,190.0,6.2
80.8158,3.3,1.1,1017.2,170.0,3.6
72.6158,3.3,1.7,1016.3,140.0,2.1
71.8658,3.3,1.7,1015.9,190.0,1.5
67.1258,3.3,2.2,1015.5,190.0,2.6
