0,1,2,3,4,5
36.9147,4.4,-2.2,1018.9,300.0,4.1
36.0923,4.4,-2.8,1018.4,300.0,2.6
36.2751,3.9,-2.8,1018.2,300.0,3.6
34.2649,3.9,-3.3,1018.3,300.0,4.1
35.4527,3.3,-3.3,1018.2,280.0,3.1
35.6355,3.3,-3.3,1018.0,280.0,2.6
34.9959,3.3,-3.3,1017.9,280.0,2.6
34.8131,2.8,-3.3,1017.8,300.0,2.6
35.3614,2.8,-2.8,1018.3,270.0,1.5
35.9096,3.3,-2.8,1018.1,290.0,2.6
35.4527,3.9,-3.9,1018.3,300.0,2.6
36.0923,3.9,-3.3,1017.9,280.0,3.6
36.4578,4.4,-3.3,1016.9,290.0,5.1
36.1837,3.9,-3.9,1016.2,280.0,4.6
36.8233,3.3,-3.9,1016.0,300.0,5.1
35.7268,3.9,-5.0,1015.8,290.0,4.6
36.8233,3.9,-5.6,1015.7,300.0,4.1
36.7319,3.3,-6.1,1015.7,270.0,4.6
36.7319,2.8,-6.1,1016.3,270.0,4.1
35.9096,2.8,-6.1,1016.8,280.0,3.6
36.5492,2.2,-6.7,1017.5,290.0,3.1
35.27,1.1,-6.7,1017.9,280.0,3.1
36.3665,1.1,-8.3,1017.7,270.0,2.1
34.539,0.6,-8.9,1017.9,300.0,3.6
34.2649,-0.6,-8.3,1018.1,240.0,1.5
35.9096,0.0,-7.8,1017.8,270.0,3.1
35.1786,0.6,-7.8,1018.0,280.0,3.6
36.0923,0.6,-8.9,1017.8,320.0,2.1
34.539,0.6,-10.0,1017.7,300.0,3.1
35.27,0.0,-10.0,1017.8,300.0,3.1
34.7217,0.6,-10.0,1018.0,310.0,1.5
35.27,0.0,-9.4,1018.4,270.0,1.5
34.9045,0.0,-8.9,1018.9,270.0,1.5
35.5441,1.1,-6.7,1019.0,270.0,2.6
35.5441,1.7,-7.2,1019.5,260.0,4.6
34.9959,2.2,-7.2,1019.2,270.0,4.1
36.1837,3.3,-6.7,1018.0,310.0,4.6
36.6406,4.4,-6.7,1016.4,280.0,4.6
35.9096,5.0,-6.1,1015.7,270.0,4.1
34.8131,4.4,-6.1,1015.5,270.0,4.1
36.6406,3.9,-6.1,1015.5,300.0,4.1
35.5441,3.9,-6.1,1015.8,310.0,2.6
35.7268,2.8,-6.1,1015.8,300.0,1.5
35.1786,1.1,-6.1,1016.3,0.0,0.0
36.2751,1.1,-5.6,1015.9,0.0,0.0
34.9959,0.0,-6.1,1015.8,0.0,0.0
34.8131,-1.1,-6.1,1015.3,300.0,2.1
35.5441,-0.6,-5.6,1015.2,270.0,1.5
34.9959,-1.7,-6.1,1014.5,0.0,0.0
35.1786,-2.2,-6.1,1013.8,0.0,0.0
39.0163,-2.2,-5.6,1013.1,230.0,2.1
36.1837,-2.8,-5.0,1012.6,230.0,1.5
34.539,-3.3,-6.1,1011.3,200.0,2.6
34.1735,-1.7,-5.0,1011.2,250.0,2.1
36.001,-2.8,-6.1,1010.8,190.0,1.5
34.8131,-2.2,-5.0,1011.1,190.0,1.5
34.8131,-1.7,-4.4,1011.0,230.0,2.1
35.0872,1.1,-3.3,1011.3,220.0,3.1
34.6304,5.0,-3.3,1011.2,230.0,4.1
35.4527,7.2,-5.0,1010.3,260.0,6.2
35.9096,7.8,-5.6,1009.5,280.0,5.1
34.7217,8.3,-5.6,1008.9,300.0,5.7
33.6253,7.8,-5.0,1009.5,300.0,6.2
36.1837,6.7,-5.0,1009.6,330.0,5.1
35.27,5.6,-5.0,1010.6,300.0,6.7
34.9045,3.9,-5.6,1011.2,320.0,2.6
34.9959,3.3,-5.6,1011.7,320.0,3.1
36.2751,2.8,-5.6,1012.4,270.0,2.1
33.2598,2.2,-5.0,1012.4,280.0,2.1
35.5441,1.7,-5.0,1012.3,270.0,2.6
35.1786,1.7,-5.0,1012.5,290.0,2.1
33.6253,1.1,-5.0,1012.3,290.0,2.1
35.4527,0.6,-4.4,1012.3,280.0,2.1
34.9045,0.6,-4.4,1011.8,280.0,2.6
34.7217,0.0,-5.0,1011.9,300.0,2.6
33.8994,-0.6,-5.0,1012.2,330.0,1.5
33.5339,0.6,-5.0,1012.3,340.0,4.1
34.9045,0.6,-6.7,1012.8,350.0,5.1
35.4527,-1.7,-10.0,1014.2,360.0,5.7
35.27,-2.8,-11.1,1015.4,360.0,4.6
35.5441,-2.8,-11.7,1016.0,350.0,5.7
34.3562,-2.2,-12.2,1016.9,340.0,4.1
34.6304,-1.7,-12.2,1017.6,360.0,5.7
35.9096,-1.7,-13.9,1017.4,360.0,6.7
38.1939,-1.1,-14.4,1017.1,350.0,7.7
38.5594,-0.6,-15.0,1016.9,330.0,5.7
42.12300000000001,-1.7,-16.1,1016.9,360.0,8.2
45.1383,-2.2,-16.1,1017.8,340.0,7.2
45.0469,-3.3,-17.2,1019.1,340.0,7.7
45.4124,-5.0,-17.8,1020.6,340.0,7.2
45.32100000000001,-6.1,-17.8,1022.1,340.0,5.7
46.3261,-7.2,-17.8,1023.8,350.0,6.2
44.8641,-8.3,-18.3,1025.2,350.0,8.8
45.4124,-9.4,-18.3,1026.0,360.0,9.3
41.7575,-10.0,-18.3,1027.1,350.0,6.7
41.0265,-11.1,-18.9,1028.0,350.0,5.7
38.5594,-11.7,-18.9,1028.5,340.0,6.2
38.9249,-11.7,-18.9,1029.2,340.0,4.6
38.0112,-11.7,-19.4,1030.3,350.0,6.2
38.6508,-12.2,-19.4,1031.1,360.0,5.1
37.737,-12.2,-20.0,1031.5,360.0,6.2
35.7268,-12.8,-20.0,1031.9,350.0,5.7
35.9096,-12.8,-20.0,1032.3,10.0,5.7
36.8233,-12.2,-20.0,1033.5,360.0,3.6
37.0061,-12.2,-20.0,1034.6,350.0,4.1
36.2751,-10.0,-20.0,1035.4,360.0,4.6
36.7319,-8.3,-20.0,1036.2,340.0,3.1
37.737,-6.7,-20.0,1036.5,360.0,4.6
40.9351,-5.0,-20.6,1035.9,340.0,2.6
43.3108,-3.3,-19.4,1035.7,350.0,4.1
46.3261,-1.7,-19.4,1035.1,350.0,3.6
46.4175,-1.1,-20.6,1035.1,330.0,2.6
49.6155,-1.1,-19.4,1035.6,350.0,2.6
49.7069,-2.2,-18.9,1035.8,0.0,0.0
45.8692,-3.3,-17.8,1036.4,0.0,0.0
45.5038,-3.9,-16.7,1036.5,0.0,0.0
46.2347,-6.1,-16.1,1036.7,0.0,0.0
45.6865,-6.1,-15.6,1036.7,270.0,1.5
42.7626,-7.8,-14.4,1036.5,0.0,0.0
39.2904,-7.2,-15.0,1036.3,0.0,0.0
37.8284,-8.9,-14.4,1036.0,0.0,0.0
38.468,-9.4,-13.9,1035.6,0.0,0.0
37.9198,-8.9,-13.9,1035.6,320.0,2.1
38.6508,-10.0,-14.4,1035.1,0.0,0.0
37.2802,-11.1,-13.9,1035.0,240.0,2.1
36.3665,-10.0,-13.9,1034.9,0.0,0.0
35.8182,-10.6,-13.9,1035.4,0.0,0.0
36.001,-10.6,-13.9,1035.7,0.0,0.0
37.0974,-10.6,-12.8,1035.6,0.0,0.0
36.5492,-6.7,-9.4,1035.6,0.0,0.0
36.4578,-3.3,-11.1,1035.9,250.0,2.1
38.1025,-0.6,-10.6,1035.5,240.0,2.1
39.2904,1.7,-12.8,1033.4,330.0,1.5
42.9453,2.8,-13.9,1032.5,310.0,1.5
47.0571,3.9,-15.6,1031.4,200.0,2.6
46.4175,4.4,-16.7,1031.1,220.0,2.6
47.514,3.3,-15.6,1031.0,200.0,2.6
47.4226,2.2,-15.6,1030.6,220.0,2.1
47.8795,1.1,-15.6,1030.5,210.0,1.5
48.3363,0.6,-15.0,1030.6,230.0,1.5
49.0673,0.0,-13.9,1030.9,230.0,2.1
45.5951,-2.2,-13.3,1030.6,0.0,0.0
43.4022,-2.8,-12.8,1030.1,230.0,2.1
42.3971,-3.3,-12.2,1029.8,0.0,0.0
39.4731,-5.0,-11.7,1029.1,360.0,1.5
38.0112,-4.4,-11.7,1028.5,0.0,0.0
37.8284,-6.1,-11.7,1028.3,0.0,0.0
38.1025,-5.6,-11.1,1028.1,0.0,0.0
39.7473,-5.0,-10.6,1027.2,340.0,3.1
36.1837,-4.4,-9.4,1027.4,0.0,0.0
35.0872,-5.0,-10.0,1027.2,0.0,0.0
36.0923,-5.0,-10.6,1027.3,0.0,0.0
34.6304,-5.0,-8.9,1027.2,210.0,1.5
36.6406,-2.2,-8.9,1026.7,0.0,0.0
37.737,1.1,-9.4,1026.6,0.0,0.0
37.3716,2.2,-10.6,1026.4,160.0,1.5
39.93,3.9,-11.7,1025.0,0.0,0.0
41.8488,5.6,-6.7,1024.0,0.0,0.0
44.7728,7.2,-5.0,1023.5,340.0,1.5
47.514,7.2,-2.8,1023.3,0.0,0.0
48.0622,7.2,-2.8,1023.0,190.0,2.1
47.514,6.7,-1.1,1023.4,0.0,0.0
47.6967,6.1,-0.6,1023.7,0.0,0.0
47.0571,6.1,-2.2,1023.5,0.0,0.0
47.3312,5.6,-1.7,1023.3,0.0,0.0
46.1434,3.9,-2.8,1022.7,360.0,2.1
42.5798,2.2,-3.9,1022.2,10.0,2.1
40.1127,0.0,-4.4,1021.6,330.0,2.1
41.2092,0.0,-3.9,1021.1,340.0,1.5
38.468,0.0,-4.4,1020.4,0.0,0.0
39.2904,1.1,-2.8,1021.1,0.0,0.0
37.3716,2.2,-2.2,1022.0,0.0,0.0
38.1025,2.8,-1.1,1020.7,30.0,2.6
37.9198,2.2,-1.1,1021.1,350.0,2.6
34.9045,2.8,-0.6,1021.8,20.0,1.5
