0,1,2,3,4,5
74.02,7.2,4.4,1012.7,0.0,0.0
60.14,8.9,2.2,1013.5,260.0,3.1
51.24,11.7,2.2,1014.4,210.0,2.1
51.29,13.3,-6.1,1014.7,330.0,6.7
52.41,14.4,-6.7,1014.6,330.0,4.6
50.82,15.0,-7.2,1014.1,290.0,3.1
48.1,15.0,-7.2,1013.8,300.0,3.6
50.0,15.6,-6.7,1013.6,260.0,3.1
50.43,15.6,-6.7,1013.8,300.0,3.1
47.45,15.0,-4.4,1014.4,230.0,3.6
45.25,13.3,-2.8,1015.0,240.0,3.1
47.23,13.9,-6.7,1015.4,280.0,3.6
51.64,11.1,-1.1,1016.3,230.0,2.6
47.96,11.1,-2.8,1016.8,0.0,0.0
52.19,11.7,-2.2,1017.0,320.0,1.5
50.42,8.9,-0.6,1017.6,140.0,1.5
53.05,8.9,-0.6,1017.9,80.0,2.6
56.09,8.3,-1.1,1017.7,140.0,1.5
61.24,7.2,-0.6,1018.1,120.0,1.5
60.9,7.2,0.0,1017.9,0.0,0.0
64.77,7.2,-0.6,1018.2,350.0,2.1
64.77,6.1,0.0,1017.8,0.0,0.0
64.77,6.1,-1.7,1018.1,0.0,0.0
64.77,5.0,-0.6,1018.5,100.0,1.5
64.77,6.7,-1.7,1018.7,0.0,0.0
74.75,8.3,-1.1,1019.1,130.0,1.5
52.58,10.6,-3.3,1019.4,0.0,0.0
53.58,12.8,-6.1,1018.7,60.0,3.1
54.13,13.9,-6.1,1017.8,80.0,2.6
54.02,15.0,-6.1,1016.8,0.0,0.0
49.79,16.1,-6.7,1016.0,0.0,0.0
50.41,16.1,-7.2,1015.6,270.0,3.1
49.38,16.1,-7.8,1015.3,310.0,3.6
46.79,15.6,-7.8,1014.3,310.0,2.1
43.53,15.0,-8.3,1014.1,320.0,3.1
44.73,14.4,-7.2,1014.1,310.0,2.6
50.02,10.6,-1.7,1014.3,230.0,2.1
43.88,10.0,-1.1,1014.4,230.0,3.1
51.11,10.6,-3.3,1014.4,230.0,3.1
54.89,8.9,-1.7,1014.5,250.0,1.5
54.22,8.9,-2.2,1014.6,260.0,2.1
57.47,8.3,-2.2,1014.3,0.0,0.0
