0,1,2,3,4,5
19.765,2.2,-1.1,988.9,220.0,5.7
20.539,2.2,-1.7,989.9,220.0,5.1
17.887999999999995,2.2,-1.7,990.9,220.0,5.7
17.432000000000002,2.2,-1.7,991.7,230.0,4.6
18.686,2.8,-1.7,992.1,210.0,6.2
18.132,2.8,-1.7,992.8,220.0,6.7
18.151,2.8,-1.7,993.3,200.0,5.1
17.793,2.8,-1.7,994.1,210.0,4.6
21.271,2.8,-1.7,994.9,200.0,5.1
22.309,2.8,-1.1,995.5,190.0,4.6
20.6,2.8,-1.1,996.1,190.0,5.1
21.102,2.8,-1.1,996.3,170.0,4.6
16.267,2.8,-0.6,996.4,170.0,4.1
15.651,2.8,-0.6,996.6,170.0,3.1
10.219,2.2,0.0,996.8,170.0,3.6
10.264,2.2,0.6,997.0,170.0,3.1
12.615,2.2,0.6,997.1,180.0,2.6
12.517,2.2,0.6,997.3,220.0,2.6
12.851,2.2,0.6,997.6,230.0,1.5
12.77,2.2,0.6,997.8,0.0,0.0
12.807,2.2,0.6,997.6,290.0,2.1
14.257,2.8,0.6,997.9,0.0,0.0
15.207,2.2,0.6,998.0,250.0,1.5
15.72,2.2,0.6,998.1,0.0,0.0
15.722,2.2,0.6,998.5,320.0,1.5
18.806,2.2,0.6,998.6,330.0,2.1
15.259,2.8,1.1,999.0,360.0,2.6
14.985,3.3,1.1,999.2,360.0,2.6
15.021,3.9,1.7,998.9,350.0,3.1
14.504,3.9,1.1,998.9,350.0,3.1
14.771,3.9,0.6,999.1,340.0,3.6
14.374,3.3,0.6,999.8,350.0,4.6
18.301,3.3,1.1,1000.5,360.0,3.1
19.443,2.8,1.1,1001.3,330.0,2.6
17.519000000000002,2.8,1.1,1002.1,330.0,3.1
17.983,2.8,0.6,1002.7,330.0,4.1
13.689,2.8,0.6,1003.1,320.0,3.6
12.774,2.8,0.6,1003.5,320.0,4.6
7.71,2.8,0.6,1003.9,300.0,4.1
7.3679999999999986,2.8,0.6,1004.2,320.0,5.1
9.833,2.8,0.6,1004.9,310.0,5.7
9.843,2.2,0.0,1005.3,320.0,4.6
10.1,2.2,0.0,1006.1,310.0,4.6
10.207,2.2,-0.6,1006.9,320.0,5.7
9.656,1.7,-0.6,1007.4,330.0,4.6
14.216,1.7,-0.6,1008.1,330.0,5.1
14.714,1.7,-0.6,1009.0,320.0,5.7
15.491,1.7,-1.1,1009.6,330.0,5.1
16.04,1.7,-0.6,1010.2,320.0,4.1
