0,1,2,3,4,5
35.31800000000001,2.2,-1.1,988.9,220.0,5.7
37.042,2.2,-1.7,989.9,220.0,5.1
35.96,2.2,-1.7,990.9,220.0,5.7
32.496,2.2,-1.7,991.7,230.0,4.6
35.087,2.8,-1.7,992.1,210.0,6.2
33.954,2.8,-1.7,992.8,220.0,6.7
35.258,2.8,-1.7,993.3,200.0,5.1
49.227,2.8,-1.7,994.1,210.0,4.6
58.00899999999999,2.8,-1.7,994.9,200.0,5.1
54.71,2.8,-1.1,995.5,190.0,4.6
45.476000000000006,2.8,-1.1,996.1,190.0,5.1
39.835,2.8,-1.1,996.3,170.0,4.6
34.271,2.8,-0.6,996.4,170.0,4.1
35.697,2.8,-0.6,996.6,170.0,3.1
33.305,2.2,0.0,996.8,170.0,3.6
31.876,2.2,0.6,997.0,170.0,3.1
30.411,2.2,0.6,997.1,180.0,2.6
29.5,2.2,0.6,997.3,220.0,2.6
40.69300000000001,2.2,0.6,997.6,230.0,1.5
29.007,2.2,0.6,997.8,0.0,0.0
30.131,2.2,0.6,997.6,290.0,2.1
30.229,2.8,0.6,997.9,0.0,0.0
32.243,2.2,0.6,998.0,250.0,1.5
35.787,2.2,0.6,998.1,0.0,0.0
36.021,2.2,0.6,998.5,320.0,1.5
37.962,2.2,0.6,998.6,330.0,2.1
35.501,2.8,1.1,999.0,360.0,2.6
36.91,3.3,1.1,999.2,360.0,2.6
36.349,3.9,1.7,998.9,350.0,3.1
36.448,3.9,1.1,998.9,350.0,3.1
39.811,3.9,0.6,999.1,340.0,3.6
64.263,3.3,0.6,999.8,350.0,4.6
60.992,3.3,1.1,1000.5,360.0,3.1
39.682,2.8,1.1,1001.3,330.0,2.6
53.28100000000001,2.8,1.1,1002.1,330.0,3.1
36.73,2.8,0.6,1002.7,330.0,4.1
47.51600000000001,2.8,0.6,1003.1,320.0,3.6
34.7,2.8,0.6,1003.5,320.0,4.6
43.942,2.8,0.6,1003.9,300.0,4.1
31.242,2.8,0.6,1004.2,320.0,5.1
30.85,2.8,0.6,1004.9,310.0,5.7
30.692,2.2,0.0,1005.3,320.0,4.6
30.963,2.2,0.0,1006.1,310.0,4.6
30.573,2.2,-0.6,1006.9,320.0,5.7
31.233,1.7,-0.6,1007.4,330.0,4.6
30.624,1.7,-0.6,1008.1,330.0,5.1
33.773,1.7,-0.6,1009.0,320.0,5.7
35.727,1.7,-1.1,1009.6,330.0,5.1
36.149,1.7,-0.6,1010.2,320.0,4.1
39.073,1.7,-1.1,1010.8,310.0,6.2
35.951,2.2,-1.1,1011.7,320.0,6.2
35.301,2.2,-1.1,1012.2,320.0,5.7
37.642,2.2,-1.1,1012.3,310.0,4.6
36.288,3.3,-1.1,1012.0,310.0,3.6
36.09,3.3,-1.1,1012.3,310.0,4.1
51.732,3.3,-1.1,1012.9,320.0,4.6
55.104,2.8,-1.1,1013.5,310.0,5.1
48.412,2.8,-2.2,1014.0,330.0,6.7
62.588,2.8,-2.8,1014.7,310.0,6.2
43.57,2.2,-2.8,1015.3,330.0,4.1
34.281,1.7,-3.3,1015.9,330.0,4.1
45.417,1.1,-3.9,1016.4,350.0,4.1
33.414,1.1,-4.4,1016.4,340.0,3.6
31.82,0.6,-5.0,1017.4,330.0,4.1
31.377,0.6,-5.0,1018.1,330.0,3.6
30.714,0.0,-5.0,1018.8,350.0,3.1
31.172,-0.6,-6.1,1019.5,340.0,5.7
30.157,-0.6,-6.1,1020.2,310.0,4.1
30.159,-0.6,-6.1,1020.6,320.0,4.6
30.349,-0.6,-6.1,1021.3,310.0,4.6
32.909,-0.6,-6.1,1021.7,320.0,4.6
35.3,-0.6,-6.1,1022.4,300.0,3.1
36.283,-0.6,-6.7,1022.9,280.0,3.1
38.107,0.0,-6.1,1023.5,300.0,3.6
35.833,0.0,-5.6,1024.3,300.0,3.6
38.895,0.6,-5.0,1024.7,310.0,3.6
35.108000000000004,0.6,-5.0,1024.7,280.0,3.6
