0,1,2,3,4,5
291.8,-7.2,-10.6,1022.9,280.0,5.7
291.8,-6.7,-10.0,1022.5,280.0,4.1
197.22,-6.7,-9.4,1022.1,260.0,2.6
162.82,-6.7,-9.4,1022.0,250.0,3.6
279.82,-8.3,-11.7,1021.9,270.0,6.7
297.82,-8.3,-11.7,1021.3,250.0,3.6
175.22,-8.9,-12.2,1020.3,220.0,5.1
161.62,-9.4,-11.7,1019.5,220.0,3.6
163.82,-8.9,-11.7,1019.4,220.0,2.1
165.0,-8.3,-11.1,1018.9,230.0,3.6
157.82,-6.7,-10.6,1017.9,230.0,6.2
165.02,-5.6,-10.0,1017.4,240.0,6.2
168.8,-2.8,-8.9,1017.1,250.0,5.1
183.84,-1.7,-8.3,1016.0,270.0,5.7
184.8,-1.1,-7.8,1015.8,290.0,7.7
307.82,-1.1,-7.8,1016.4,280.0,5.7
328.04,-1.7,-8.3,1017.7,300.0,7.2
192.0,-2.8,-8.3,1018.3,290.0,4.6
182.82,-3.3,-8.3,1019.2,270.0,4.1
182.8,-3.9,-8.3,1019.9,270.0,5.1
191.84,-5.0,-8.9,1020.4,270.0,5.1
186.2,-5.6,-9.4,1020.4,270.0,4.6
187.82,-6.1,-9.4,1020.9,270.0,3.6
194.6,-7.2,-10.0,1020.9,270.0,2.6
184.04,-7.2,-10.0,1020.9,230.0,1.5
173.8,-7.8,-10.6,1020.9,200.0,2.1
176.02,-8.9,-11.1,1020.4,220.0,2.6
186.8,-8.9,-11.1,1020.7,200.0,2.6
291.04,-9.4,-11.1,1020.4,210.0,2.1
308.02,-9.4,-11.7,1019.5,220.0,3.1
174.82,-10.0,-11.7,1019.5,230.0,3.1
165.6,-8.9,-11.7,1018.4,220.0,4.1
174.22,-8.9,-11.1,1017.8,240.0,2.6
164.62,-8.3,-11.1,1017.9,240.0,3.6
177.82,-6.7,-11.1,1017.2,250.0,4.1
179.2,-5.6,-10.6,1016.7,250.0,4.1
186.82,-2.8,-9.4,1015.5,250.0,4.6
299.8,-1.7,-8.9,1015.1,280.0,6.7
320.82,-1.1,-8.3,1014.7,270.0,5.1
434.04,-0.6,-8.3,1014.5,280.0,4.6
455.04,-0.6,-8.3,1015.2,280.0,4.6
313.8,-2.2,-8.3,1015.7,270.0,6.2
304.8,-2.8,-8.3,1016.2,280.0,4.6
191.02,-3.3,-8.9,1016.4,290.0,4.6
195.02,-4.4,-8.9,1017.5,290.0,4.6
185.8,-3.3,-8.3,1017.9,300.0,7.2
194.02,-3.9,-8.3,1018.7,310.0,7.2
198.8,-4.4,-8.3,1019.4,310.0,6.7
195.84,-3.9,-7.8,1019.9,320.0,6.2
186.2,-3.3,-7.2,1020.1,330.0,7.7
176.62,-2.8,-7.2,1020.9,330.0,6.2
187.04,-2.8,-6.7,1022.0,330.0,5.1
295.62,-2.8,-6.7,1022.7,320.0,6.7
311.24,-3.3,-6.7,1023.2,330.0,6.2
176.84,-2.8,-7.2,1023.9,340.0,5.1
164.8,-2.8,-6.7,1024.8,340.0,5.7
171.82,-2.8,-7.2,1025.5,330.0,4.6
158.0,-2.8,-6.7,1026.4,340.0,3.6
157.04,-2.8,-7.8,1027.2,350.0,6.7
163.82,-2.2,-7.2,1027.8,320.0,6.2
185.8,-2.2,-7.8,1027.4,330.0,4.6
304.02,-2.2,-7.8,1027.1,310.0,3.6
292.82,-2.8,-7.8,1027.3,330.0,4.1
423.02,-2.8,-7.8,1027.5,300.0,3.6
442.04,-2.2,-7.2,1027.8,280.0,3.6
309.82,-2.8,-7.8,1027.8,290.0,3.1
301.0,-2.8,-7.8,1028.5,260.0,2.6
198.82,-3.9,-7.8,1028.8,270.0,4.1
190.82,-5.0,-7.8,1029.2,290.0,3.6
192.04,-5.0,-7.8,1029.4,310.0,4.6
187.8,-6.1,-8.9,1029.7,290.0,4.1
210.02,-6.1,-8.9,1030.1,310.0,3.6
213.04,-6.7,-9.4,1030.4,320.0,4.1
200.82,-7.2,-9.4,1030.7,310.0,3.6
200.82,-7.8,-10.0,1031.3,290.0,2.1
185.82,-7.8,-10.0,1031.9,220.0,2.1
194.22,-8.9,-10.6,1032.3,0.0,0.0
191.8,-10.0,-11.7,1032.7,220.0,2.1
195.82,-11.1,-12.8,1032.9,0.0,0.0
282.82,-11.1,-12.8,1033.1,190.0,1.5
469.42,-11.7,-13.3,1033.6,240.0,1.5
493.82,-12.2,-13.9,1034.0,0.0,0.0
532.02,-10.6,-11.7,1034.5,170.0,2.1
539.24,-8.9,-11.1,1034.8,170.0,1.5
541.0,-6.7,-9.4,1034.1,170.0,2.1
539.02,-5.0,-8.9,1033.1,160.0,2.6
530.2,-3.3,-8.3,1032.5,170.0,3.6
529.04,-3.9,-8.9,1032.5,150.0,5.1
530.02,-5.0,-8.9,1032.6,150.0,4.6
518.2,-6.7,-10.0,1032.6,140.0,4.1
458.82,-7.2,-9.4,1032.3,140.0,3.1
363.22,-7.2,-8.9,1031.6,160.0,6.2
417.02,-7.2,-8.9,1031.1,160.0,5.7
415.8,-7.2,-8.3,1030.7,170.0,6.2
416.04,-6.7,-8.3,1030.0,170.0,7.2
415.02,-6.7,-8.3,1029.3,170.0,5.7
410.82,-6.7,-8.9,1028.7,180.0,7.7
299.8,-6.7,-8.9,1028.1,170.0,5.1
209.02,-6.7,-9.4,1028.0,200.0,6.2
175.0,-5.6,-8.3,1028.0,180.0,6.2
173.84,-5.0,-7.8,1027.4,180.0,4.6
183.6,-4.4,-7.2,1027.4,180.0,6.7
179.0,-4.4,-7.8,1026.6,170.0,5.7
253.02,-5.0,-8.3,1026.1,170.0,6.7
457.0,-5.6,-8.9,1025.4,170.0,6.2
484.02,-5.6,-8.9,1024.8,170.0,6.7
526.02,-3.9,-8.3,1024.3,180.0,6.7
540.22,-2.2,-7.8,1023.9,170.0,5.7
540.8,-1.1,-7.8,1023.0,190.0,6.7
538.22,-0.6,-7.2,1021.8,190.0,7.2
540.22,0.0,-7.2,1021.1,190.0,7.7
531.8,-0.6,-7.2,1020.5,160.0,5.1
524.24,-1.7,-7.2,1020.4,130.0,4.6
510.2,-3.3,-7.8,1020.1,140.0,6.2
452.8,-3.3,-7.8,1020.4,160.0,3.1
410.82,-4.4,-8.3,1020.5,140.0,3.6
417.42,-3.3,-7.2,1020.8,160.0,3.6
409.82,-3.3,-7.2,1020.6,160.0,4.6
404.8,-4.4,-7.8,1020.4,140.0,2.6
406.02,-3.9,-7.2,1020.3,150.0,3.1
403.02,-3.3,-6.7,1019.9,140.0,3.6
291.82,-2.8,-6.1,1019.5,130.0,3.1
179.82,-2.8,-6.1,1019.3,150.0,3.6
168.2,-4.4,-7.2,1019.4,140.0,3.1
167.82,-4.4,-7.2,1019.2,130.0,2.6
167.82,-5.0,-7.2,1019.0,130.0,2.1
170.82,-5.0,-7.2,1019.1,140.0,3.1
248.0,-4.4,-6.7,1019.2,120.0,2.6
457.24,-3.9,-6.1,1019.0,130.0,2.1
487.82,-2.8,-6.1,1019.3,120.0,3.6
513.22,-2.8,-6.1,1019.7,130.0,3.6
530.02,-1.7,-5.0,1019.7,150.0,3.1
536.02,-1.1,-5.0,1018.9,150.0,3.6
534.42,-0.6,-4.4,1018.3,130.0,3.1
531.22,0.0,-3.9,1017.7,150.0,3.1
543.04,0.0,-3.9,1017.5,120.0,3.6
583.82,0.0,-3.3,1017.3,130.0,4.1
497.6,-0.6,-2.8,1017.7,140.0,4.1
459.22,-0.6,-2.2,1017.8,130.0,4.1
420.02,-0.6,-2.2,1017.9,130.0,3.6
418.02,-0.6,-1.7,1018.1,130.0,2.6
413.82,-0.6,-1.7,1017.9,140.0,3.1
412.22,-0.6,-2.2,1017.5,140.0,3.6
413.84,-0.6,-2.2,1017.6,150.0,3.6
411.82,-0.6,-2.2,1017.3,140.0,3.1
301.04,-0.6,-2.2,1016.9,150.0,2.6
206.02,-0.6,-2.2,1016.6,130.0,2.6
176.8,-0.6,-2.2,1016.6,120.0,2.6
178.84,-0.6,-2.2,1016.3,130.0,3.1
178.02,-0.6,-2.2,1015.9,120.0,2.6
179.8,-0.6,-2.2,1015.9,140.0,3.1
252.02,-0.6,-2.2,1015.9,120.0,2.6
452.82,-0.6,-2.2,1015.9,120.0,2.6
482.44,-0.6,-1.7,1016.6,130.0,3.1
498.8,-0.6,-1.7,1016.4,130.0,2.6
522.02,0.0,-1.1,1016.4,130.0,2.6
524.04,0.6,-1.1,1015.5,130.0,2.1
520.22,0.6,-1.1,1014.5,130.0,2.1
518.84,0.6,-1.1,1014.0,140.0,2.6
515.22,0.6,-1.1,1014.0,120.0,3.1
507.04,0.6,-1.1,1014.3,110.0,2.6
493.04,0.6,-1.1,1014.3,90.0,3.1
451.0,1.1,-1.1,1014.0,80.0,2.6
406.82,0.6,-1.1,1014.0,100.0,2.6
406.24,0.6,-1.1,1013.9,100.0,1.5
409.0,1.1,-1.1,1013.3,70.0,2.6
406.82,0.6,-1.1,1013.1,80.0,3.1
407.84,0.6,-0.6,1012.6,70.0,2.1
406.22,0.6,-0.6,1012.2,10.0,1.5
297.84,0.6,-0.6,1011.5,360.0,1.5
193.6,0.0,-0.6,1011.1,360.0,2.1
173.02,0.0,-0.6,1011.0,10.0,2.6
172.0,0.0,-0.6,1010.6,10.0,2.1
173.84,0.0,-1.1,1010.3,360.0,3.1
175.8,0.0,-1.1,1010.1,360.0,2.1
250.24,0.0,-1.1,1010.4,350.0,3.6
451.0,0.0,-1.7,1010.1,10.0,4.6
470.02,0.0,-1.7,1010.5,360.0,4.1
504.84,0.6,-1.1,1010.5,350.0,4.1
521.4,0.6,-1.1,1010.6,340.0,4.1
514.82,0.6,-1.1,1009.8,330.0,4.6
511.02,0.6,-1.1,1009.5,340.0,4.6
509.22,1.1,-1.1,1009.3,340.0,3.6
510.02,1.1,-1.1,1009.6,330.0,3.1
515.02,0.6,-1.7,1009.8,320.0,6.2
493.02,0.0,-2.2,1010.6,310.0,4.6
437.22,-0.6,-2.8,1011.2,320.0,5.7
396.8,-1.7,-4.4,1011.7,320.0,6.7
406.04,-2.2,-5.0,1012.2,320.0,6.7
400.84,-3.3,-5.6,1012.6,320.0,6.7
295.0,-3.9,-6.1,1012.8,320.0,6.7
287.82,-3.9,-6.1,1013.3,310.0,6.7
284.04,-5.6,-8.3,1014.1,290.0,7.7
286.8,-6.7,-9.4,1014.6,290.0,6.2
209.02,-8.9,-11.7,1015.1,310.0,9.3
174.84,-10.0,-12.8,1015.9,300.0,7.7
174.82,-11.1,-14.4,1016.1,310.0,6.7
174.2,-12.8,-15.6,1016.7,330.0,7.7
174.84,-13.3,-16.7,1017.7,310.0,7.7
178.82,-13.9,-16.7,1018.8,310.0,5.1
179.62,-14.4,-17.8,1020.2,300.0,5.7
185.8,-15.0,-18.3,1020.7,300.0,5.7
223.22,-15.0,-18.3,1020.5,310.0,7.7
291.84,-13.9,-17.8,1020.9,320.0,8.2
296.82,-13.9,-17.8,1020.6,330.0,6.7
404.24,-15.0,-18.3,1020.3,310.0,8.2
422.82,-15.6,-19.4,1020.3,310.0,7.7
437.84,-15.0,-20.6,1020.9,310.0,6.2
430.04,-16.1,-21.1,1022.0,310.0,7.7
432.02,-16.7,-21.7,1022.9,310.0,6.2
419.84,-16.7,-21.7,1023.4,320.0,7.7
315.0,-17.2,-22.8,1023.7,310.0,6.2
304.02,-18.3,-23.3,1024.0,320.0,6.2
311.84,-18.9,-24.4,1024.5,320.0,6.2
195.82,-20.0,-25.0,1024.5,320.0,7.2
186.8,-20.6,-25.6,1024.7,320.0,5.7
207.82,-21.1,-26.1,1024.5,320.0,6.7
212.02,-21.7,-26.7,1024.5,320.0,4.6
213.82,-21.7,-26.7,1024.4,310.0,6.2
215.0,-22.2,-26.7,1024.6,310.0,6.7
220.0,-22.8,-26.7,1024.4,310.0,5.1
219.84,-22.8,-26.7,1024.5,300.0,4.6
227.8,-22.8,-26.1,1024.7,310.0,4.6
232.84,-23.3,-26.1,1024.6,300.0,4.6
232.0,-23.3,-26.7,1024.5,300.0,4.1
