0,1,2,3,4,5
19.41,7.2,0.0,1021.5,350.0,5.1
20.58,6.7,0.0,1021.1,340.0,3.6
20.53,5.6,0.0,1020.8,350.0,3.1
19.78,5.6,0.0,1021.1,340.0,3.6
21.0,5.6,-1.1,1020.7,320.0,3.1
21.04,5.6,-1.1,1020.5,320.0,3.6
19.78,5.6,-1.7,1020.7,320.0,4.6
20.86,5.0,-2.2,1021.0,330.0,3.1
19.7,5.0,-1.7,1021.0,330.0,4.1
17.13,5.0,-1.7,1021.4,320.0,3.1
16.26,5.6,-1.1,1021.5,330.0,4.6
14.28,6.7,-1.1,1021.4,300.0,4.1
15.01,7.2,-1.1,1020.2,300.0,3.6
15.01,7.8,-0.6,1019.5,300.0,5.7
13.92,7.2,-1.1,1018.9,300.0,5.1
15.1,7.2,-1.1,1018.8,310.0,3.1
15.16,6.7,-2.2,1018.6,300.0,3.1
15.48,6.1,-2.8,1019.1,340.0,3.1
20.07,5.0,-3.9,1019.4,340.0,3.1
20.02,4.4,-4.4,1020.3,340.0,4.6
19.66,3.9,-5.0,1020.6,330.0,3.6
20.41,3.9,-5.6,1020.8,320.0,5.7
19.57,3.3,-5.6,1021.0,240.0,3.1
20.55,3.3,-5.6,1020.9,210.0,2.1
20.57,2.8,-5.6,1020.6,260.0,2.6
19.68,2.2,-5.6,1020.8,190.0,3.1
20.58,2.2,-5.6,1020.9,220.0,2.6
21.06,1.1,-5.0,1020.8,200.0,2.1
20.03,0.6,-5.0,1020.7,230.0,2.1
21.03,0.6,-4.4,1020.5,220.0,2.6
20.84,0.6,-5.0,1020.8,240.0,2.6
19.99,0.6,-5.0,1021.1,230.0,2.1
19.09,1.1,-5.0,1021.6,250.0,3.1
16.92,3.3,-4.4,1022.0,240.0,2.6
15.45,4.4,-3.3,1022.3,170.0,2.6
16.19,6.1,-5.0,1021.9,250.0,3.6
16.4,7.2,-4.4,1020.5,290.0,3.6
15.2,7.8,-4.4,1019.1,240.0,4.6
16.37,8.9,-4.4,1018.2,250.0,4.6
16.13,8.9,-4.4,1017.4,220.0,4.1
15.55,8.9,-3.9,1017.2,210.0,3.6
16.47,7.8,-4.4,1017.4,220.0,3.6
19.83,6.7,-3.3,1017.5,190.0,3.6
19.78,6.1,-3.3,1017.4,210.0,2.6
20.49,6.1,-3.9,1017.1,230.0,1.5
19.61,5.6,-3.3,1016.7,220.0,2.1
20.34,5.0,-2.2,1016.6,240.0,2.1
20.5,4.4,-1.7,1016.6,0.0,0.0
19.62,3.3,0.0,1016.3,190.0,1.5
20.87,2.8,-0.6,1015.4,170.0,2.1
20.87,2.2,-1.7,1014.8,0.0,0.0
19.85,1.1,-1.7,1014.8,220.0,2.1
20.82,0.0,-2.2,1014.2,210.0,3.1
20.76,1.1,-1.1,1013.5,180.0,1.5
19.79,0.0,-2.8,1013.2,200.0,3.6
20.86,1.1,-2.2,1013.3,250.0,1.5
19.41,0.0,-3.3,1013.5,220.0,3.1
15.94,1.7,-1.1,1013.8,190.0,2.6
17.12,3.9,-2.2,1013.8,200.0,3.1
16.39,5.6,-0.6,1013.2,140.0,2.1
16.04,7.8,-0.6,1012.2,170.0,2.6
16.42,9.4,0.0,1011.3,170.0,5.1
16.72,10.6,-3.3,1010.5,160.0,2.6
15.44,11.7,-5.0,1010.5,90.0,1.5
16.64,11.1,-2.8,1010.8,10.0,4.1
16.96,9.4,-4.4,1011.6,330.0,4.1
19.21,8.3,-3.3,1013.2,350.0,8.8
20.89,5.0,-3.9,1015.0,350.0,8.8
20.99,3.9,-3.9,1015.3,360.0,6.7
20.06,3.3,-4.4,1015.8,350.0,4.1
21.1,2.8,-4.4,1016.0,350.0,3.6
21.09,2.8,-4.4,1015.8,340.0,3.6
20.36,2.2,-4.4,1015.6,340.0,3.6
21.17,1.7,-4.4,1015.1,330.0,3.1
21.2,1.7,-4.4,1014.9,330.0,2.1
20.19,2.2,-5.0,1014.9,340.0,2.1
21.16,1.1,-4.4,1015.2,330.0,3.6
21.12,1.7,-4.4,1015.6,340.0,4.6
20.22,1.1,-5.6,1016.6,340.0,4.1
20.83,1.1,-5.6,1017.3,320.0,4.6
20.25,1.7,-6.7,1017.9,340.0,7.2
17.39,0.6,-10.6,1019.1,330.0,10.8
26.0,1.1,-10.0,1019.6,320.0,7.2
26.18,2.2,-9.4,1020.1,340.0,8.2
27.37,2.8,-9.4,1019.7,330.0,9.3
30.35,2.2,-12.2,1019.5,330.0,10.3
33.18,3.3,-12.2,1019.4,340.0,9.3
32.06,2.8,-12.2,1020.1,350.0,10.3
29.83,1.1,-13.3,1021.5,330.0,8.2
21.35,0.0,-13.9,1022.7,360.0,10.8
21.8,-0.6,-15.0,1024.2,320.0,7.7
21.43,-1.1,-15.0,1025.5,340.0,9.3
21.76,-2.2,-15.0,1026.6,350.0,10.8
21.07,-2.8,-14.4,1027.5,10.0,9.3
21.9,-3.3,-15.6,1028.9,350.0,8.8
21.79,-4.4,-15.6,1030.2,360.0,8.2
20.74,-5.6,-16.7,1031.3,10.0,10.8
21.7,-6.7,-17.2,1032.0,350.0,10.3
21.57,-7.2,-17.2,1032.9,350.0,9.3
20.47,-8.3,-17.8,1033.7,350.0,8.2
21.57,-8.3,-17.2,1033.9,340.0,9.8
21.49,-8.9,-17.2,1034.5,350.0,6.7
20.57,-8.9,-16.7,1035.3,340.0,6.7
21.47,-8.9,-16.7,1036.0,340.0,7.2
20.13,-8.3,-16.1,1036.9,340.0,5.7
19.18,-7.2,-16.1,1037.6,360.0,6.7
27.49,-5.6,-16.1,1038.6,360.0,4.6
29.84,-3.9,-16.1,1039.0,340.0,4.6
31.99,-2.2,-15.6,1038.6,330.0,3.6
34.87,-1.1,-16.1,1037.8,350.0,2.6
32.59,0.6,-15.6,1037.1,330.0,3.6
29.56,0.6,-15.6,1036.9,320.0,3.1
25.46,0.6,-16.1,1037.4,320.0,1.5
24.55,0.0,-16.1,1037.6,310.0,1.5
27.49,-0.6,-15.0,1037.9,310.0,3.6
26.63,-1.1,-14.4,1038.4,310.0,3.6
24.04,-2.2,-14.4,1038.5,340.0,2.6
25.1,-2.2,-14.4,1038.4,340.0,2.6
24.77,-2.2,-13.3,1038.1,0.0,0.0
23.79,-2.8,-12.2,1037.9,240.0,1.5
24.58,-2.8,-11.1,1037.7,0.0,0.0
24.98,-4.4,-10.0,1037.4,0.0,0.0
24.46,-5.6,-10.6,1037.4,240.0,1.5
24.22,-5.6,-10.6,1037.4,240.0,2.1
24.46,-5.6,-10.0,1037.1,220.0,1.5
24.9,-5.6,-11.1,1036.9,0.0,0.0
23.38,-6.1,-10.0,1037.1,250.0,1.5
24.61,-5.6,-10.6,1036.8,350.0,1.5
22.74,-5.0,-8.9,1036.6,40.0,2.1
22.28,-3.3,-7.8,1036.7,70.0,1.5
30.5,-2.2,-8.3,1037.0,160.0,1.5
34.13,0.0,-10.6,1036.4,160.0,3.1
34.7,1.1,-13.3,1035.1,180.0,3.1
37.84,2.8,-15.6,1033.8,180.0,3.1
35.34,3.3,-13.3,1032.9,190.0,3.1
32.08,4.4,-10.6,1032.4,170.0,2.6
23.48,4.4,-11.1,1031.8,190.0,2.1
20.78,3.3,-12.2,1031.5,210.0,1.5
22.41,3.3,-8.9,1031.3,200.0,1.5
20.55,1.7,-6.7,1031.9,170.0,2.1
20.93,2.2,-6.7,1031.7,120.0,1.5
19.87,2.2,-7.2,1031.5,0.0,0.0
20.65,2.2,-5.0,1031.2,110.0,1.5
20.7,2.8,-5.6,1030.7,120.0,1.5
19.7,2.2,-5.0,1030.0,0.0,0.0
20.69,1.7,-3.3,1029.2,0.0,0.0
21.09,1.1,-2.8,1029.0,50.0,1.5
20.08,1.7,-2.8,1029.0,50.0,1.5
20.37,1.7,-2.2,1028.3,0.0,0.0
20.51,2.2,-2.2,1028.0,70.0,1.5
20.8,2.8,-2.2,1027.9,0.0,0.0
19.54,2.8,-1.7,1027.5,0.0,0.0
19.64,2.8,-1.7,1027.8,60.0,2.1
22.93,3.9,-0.6,1027.9,0.0,0.0
25.26,3.3,1.1,1027.8,0.0,0.0
27.58,3.9,1.1,1027.8,20.0,1.5
36.54,4.4,1.7,1025.8,0.0,0.0
38.11,5.0,2.2,1024.8,40.0,2.1
27.66,5.0,2.2,1024.4,0.0,0.0
25.81,5.6,2.8,1023.9,0.0,0.0
26.27,5.6,2.8,1024.0,0.0,0.0
20.72,6.1,2.8,1024.2,50.0,2.1
21.54,6.1,2.8,1023.9,70.0,2.6
22.61,5.6,3.3,1023.8,70.0,2.1
22.49,5.6,3.3,1024.0,90.0,2.1
20.63,5.0,3.3,1023.7,50.0,2.1
21.32,5.0,2.8,1022.8,60.0,4.6
20.82,4.4,2.8,1022.8,50.0,2.6
21.15,4.4,2.8,1022.3,340.0,1.5
19.89,4.4,3.3,1022.1,350.0,2.6
20.9,4.4,3.9,1021.7,10.0,2.1
21.11,4.4,3.3,1021.7,10.0,3.1
19.98,4.4,3.9,1022.5,340.0,1.5
20.82,4.4,3.3,1022.0,40.0,3.1
20.63,4.4,3.3,1021.7,30.0,3.1
20.74,4.4,3.3,1021.7,50.0,2.1
19.36,4.4,3.3,1021.7,50.0,2.6
20.44,5.0,3.3,1022.0,30.0,3.1
21.97,5.0,3.9,1022.5,50.0,2.6
24.49,5.0,4.4,1021.7,30.0,2.1
26.84,5.6,5.0,1020.9,50.0,2.1
23.64,5.6,5.0,1020.4,40.0,2.6
23.78,6.1,5.0,1020.2,50.0,2.6
23.43,5.6,5.0,1020.2,60.0,2.6
19.88,5.6,5.0,1020.1,50.0,3.1
19.03,5.6,5.0,1020.1,0.0,0.0
21.53,6.1,5.0,1021.2,0.0,0.0
21.0,5.6,4.4,1020.6,50.0,3.1
20.24,6.1,4.4,1021.1,0.0,0.0
19.15,6.1,4.4,1020.8,10.0,1.5
20.26,6.7,4.4,1020.8,0.0,0.0
19.96,6.7,4.4,1020.8,0.0,0.0
19.52,6.1,4.4,1020.6,30.0,1.5
19.33,6.1,4.4,1020.1,10.0,2.1
19.92,6.1,4.4,1020.3,10.0,2.1
19.94,6.1,3.9,1020.1,20.0,2.1
18.97,6.1,3.3,1019.7,40.0,2.1
19.93,5.6,3.9,1019.8,30.0,2.6
19.89,5.0,4.4,1020.1,350.0,1.5
19.95,5.6,4.4,1020.2,360.0,1.5
18.62,5.0,4.4,1020.6,30.0,1.5
16.64,6.1,5.6,1021.1,10.0,1.5
16.24,6.1,5.6,1021.2,30.0,2.1
14.19,7.8,6.7,1020.7,10.0,1.5
15.25,8.9,6.7,1020.7,0.0,0.0
15.38,7.8,7.2,1019.2,70.0,1.5
15.06,9.4,7.8,1017.7,20.0,2.6
14.5,10.0,7.8,1017.9,20.0,2.1
15.52,10.0,7.8,1017.9,10.0,2.6
16.81,10.0,7.8,1018.0,0.0,0.0
19.53,8.3,7.2,1017.4,30.0,3.1
20.55,8.9,7.2,1017.4,30.0,3.1
20.99,8.3,7.2,1016.4,30.0,2.1
20.24,8.9,7.2,1015.2,30.0,3.1
19.52,8.9,8.3,1013.4,50.0,3.1
20.52,9.4,8.9,1012.4,30.0,2.1
20.44,10.0,9.4,1009.6,60.0,4.6
19.31,10.6,10.0,1008.1,70.0,4.1
20.63,11.1,10.6,1006.2,90.0,5.1
20.64,11.7,11.1,1004.1,110.0,6.7
20.45,12.8,11.7,1002.7,140.0,4.6
19.85,13.9,12.8,1000.9,170.0,6.2
20.6,13.3,12.2,999.7,180.0,5.7
20.46,12.8,12.2,999.2,180.0,6.2
18.71,12.2,11.7,998.3,190.0,5.7
17.24,14.4,13.3,997.8,190.0,6.2
15.91,16.1,11.7,998.0,220.0,12.4
14.63,15.0,10.6,997.7,230.0,7.2
14.43,16.1,10.0,996.7,220.0,9.3
15.36,16.7,7.2,996.0,230.0,7.7
16.25,15.6,5.6,995.8,230.0,9.8
14.89,16.1,5.6,996.1,240.0,9.3
16.63,15.6,4.4,997.1,250.0,11.3
15.85,12.8,1.7,999.9,310.0,8.8
18.88,9.4,-2.2,1002.4,310.0,11.8
20.7,7.8,-2.2,1004.5,290.0,7.2
20.52,6.7,-3.3,1005.9,300.0,7.7
20.53,6.1,-3.9,1006.9,300.0,7.2
19.73,4.4,-5.0,1008.1,310.0,6.7
20.76,3.9,-7.2,1009.1,310.0,7.2
20.61,3.3,-8.3,1010.3,300.0,8.2
19.57,2.2,-8.3,1011.6,290.0,7.2
20.33,1.1,-10.0,1012.5,290.0,5.1
20.58,0.0,-11.1,1014.1,300.0,5.7
19.7,-0.6,-11.1,1014.9,280.0,4.6
20.64,-1.1,-11.7,1015.6,320.0,2.6
20.44,-1.7,-11.7,1016.5,300.0,3.6
20.55,-1.7,-12.8,1017.3,300.0,6.7
18.34,-1.7,-13.3,1018.2,300.0,5.7
18.33,-1.1,-12.8,1018.8,300.0,5.1
22.82,0.6,-12.2,1019.4,300.0,3.6
24.09,1.7,-12.2,1019.6,250.0,5.7
23.03,2.8,-12.2,1018.7,240.0,5.7
25.63,3.3,-12.2,1017.8,230.0,3.6
24.65,4.4,-14.4,1017.3,270.0,4.1
23.4,4.4,-14.4,1017.6,280.0,6.2
19.92,4.4,-15.6,1018.1,290.0,3.6
18.99,3.3,-15.0,1018.4,310.0,3.6
21.29,2.2,-13.3,1018.9,340.0,5.7
19.6,1.1,-13.3,1019.5,330.0,5.1
20.46,0.0,-12.2,1020.1,360.0,4.6
20.06,-0.6,-11.7,1020.3,340.0,3.6
19.3,-1.1,-11.7,1020.3,350.0,2.1
19.75,-0.6,-10.0,1020.2,120.0,2.1
20.29,-0.6,-11.1,1019.8,0.0,0.0
19.61,-1.1,-11.1,1019.7,180.0,2.1
19.78,-1.1,-11.1,1019.1,130.0,1.5
20.21,-1.1,-11.1,1018.8,150.0,1.5
19.74,-1.1,-10.6,1017.8,160.0,2.1
19.28,-0.6,-9.4,1017.0,170.0,3.6
20.33,0.0,-8.3,1016.1,170.0,5.1
19.96,0.0,-7.2,1015.2,180.0,6.2
17.71,1.1,-6.1,1014.6,180.0,5.1
18.72,1.7,-7.8,1013.5,190.0,6.2
25.03,2.8,-8.3,1012.5,200.0,6.2
24.16,4.4,-7.2,1011.5,200.0,6.7
24.79,5.0,-7.2,1009.6,200.0,7.2
29.17,6.7,-6.7,1007.6,200.0,8.2
31.06,6.7,-7.2,1006.5,210.0,6.7
