0,1,2,3,4,5
0.0,8.9,4.4,1020.5,260.0,2.1
0.0,11.1,4.4,1020.9,290.0,2.1
0.0,12.8,2.8,1021.3,360.0,2.6
0.0,13.9,3.3,1021.5,330.0,3.1
0.0,14.4,2.8,1021.2,320.0,3.1
0.0,14.4,2.8,1020.6,330.0,3.6
0.0,15.0,2.2,1020.2,320.0,4.6
0.0,15.0,2.8,1020.3,310.0,3.6
0.0,14.4,2.8,1020.3,310.0,2.6
0.0,12.2,2.8,1019.9,0.0,0.0
0.0,11.1,5.0,1019.8,340.0,2.1
0.0,11.1,3.3,1020.5,0.0,0.0
0.0,10.0,3.3,1020.2,240.0,1.5
0.0,8.3,3.3,1020.1,0.0,0.0
0.0,7.8,3.9,1020.6,250.0,1.5
0.0,7.2,3.3,1021.6,0.0,0.0
0.0,7.2,3.3,1021.8,0.0,0.0
0.0,6.1,2.8,1022.0,0.0,0.0
0.0,5.0,1.7,1021.9,0.0,0.0
0.0,4.4,1.7,1021.6,150.0,2.1
0.0,5.6,1.1,1021.5,0.0,0.0
0.0,5.0,1.7,1021.5,130.0,2.1
0.0,6.7,2.2,1021.9,190.0,1.5
0.0,7.2,2.8,1021.8,150.0,1.5
0.0,7.8,2.8,1021.7,150.0,2.6
0.0,8.9,3.3,1022.1,150.0,1.5
0.0,11.7,5.0,1021.8,110.0,2.1
0.0,13.3,6.1,1021.3,0.0,0.0
0.0,14.4,7.2,1020.2,350.0,1.5
0.0,15.0,8.3,1019.4,10.0,3.1
0.0,13.9,8.3,1019.1,350.0,3.6
0.0,11.1,10.0,1019.5,340.0,3.1
0.0,11.7,10.0,1019.3,330.0,2.1
0.0,11.7,8.3,1019.2,300.0,1.5
0.0,11.1,7.8,1019.3,260.0,2.1
0.0,10.6,7.8,1019.2,260.0,1.5
0.0,10.6,7.2,1019.4,280.0,3.1
0.0,10.0,7.2,1019.4,260.0,2.6
0.0,10.0,7.2,1019.9,290.0,1.5
0.0,9.4,7.2,1020.2,290.0,1.5
0.0,8.9,6.7,1020.4,0.0,0.0
0.0,8.3,6.7,1020.3,250.0,1.5
0.0,8.3,6.1,1020.1,250.0,1.5
0.0,7.8,5.6,1020.1,270.0,2.6
0.0,7.2,5.6,1020.3,0.0,0.0
0.0,6.1,5.0,1020.3,0.0,0.0
0.0,6.7,4.4,1020.5,0.0,0.0
0.0,6.1,4.4,1020.7,0.0,0.0
0.0,7.8,5.6,1021.0,260.0,2.1
0.0,10.6,7.2,1021.2,0.0,0.0
0.0,12.2,6.1,1021.6,360.0,2.1
0.0,12.8,5.6,1021.0,20.0,2.1
0.0,13.3,5.0,1020.4,350.0,2.6
0.0,14.4,2.2,1019.9,340.0,3.6
0.0,14.4,1.1,1019.4,310.0,3.6
0.0,15.0,0.6,1019.3,310.0,2.6
0.0,14.4,0.6,1019.5,350.0,3.1
0.0,13.3,1.1,1019.7,320.0,1.5
0.0,11.7,1.7,1020.1,260.0,2.1
0.0,10.6,1.7,1020.4,0.0,0.0
0.0,10.0,2.2,1020.3,0.0,0.0
0.0,8.9,2.8,1021.3,280.0,2.1
0.0,9.4,2.8,1021.4,0.0,0.0
0.0,9.4,2.8,1021.5,290.0,3.1
0.0,9.4,2.2,1021.5,290.0,3.1
0.0,11.1,0.6,1021.2,320.0,4.6
0.0,10.0,0.6,1021.4,330.0,3.1
0.0,11.7,-2.8,1021.2,330.0,6.2
0.0,11.1,-3.3,1021.5,320.0,3.6
0.0,10.6,-3.3,1021.8,320.0,3.6
0.0,11.1,-3.9,1022.5,340.0,7.2
0.0,8.9,-2.2,1023.1,40.0,2.6
0.0,10.6,-2.8,1023.9,340.0,2.1
0.0,12.2,-2.8,1024.3,340.0,2.6
0.0,13.3,-2.2,1024.5,350.0,4.6
0.0,14.4,-2.2,1024.3,310.0,3.6
0.0,15.6,-2.2,1023.6,330.0,4.1
0.0,16.1,-1.7,1023.1,340.0,4.1
0.0,16.7,-3.3,1022.7,360.0,7.7
0.0,16.7,-2.2,1022.5,360.0,7.7
0.0,15.6,-1.1,1022.5,360.0,5.7
0.0,13.3,1.1,1022.7,350.0,3.6
0.0,11.7,1.7,1022.8,40.0,2.1
0.0,12.8,-1.7,1022.9,0.0,0.0
0.0,11.7,0.0,1023.3,0.0,0.0
0.0,8.9,0.6,1023.5,0.0,0.0
0.0,9.4,0.6,1023.7,0.0,0.0
0.0,9.4,0.6,1023.9,0.0,0.0
0.0,8.3,1.1,1024.2,0.0,0.0
0.0,7.8,1.1,1024.0,240.0,1.5
0.0,7.2,1.1,1024.2,0.0,0.0
0.0,5.6,0.6,1024.3,0.0,0.0
0.0,6.1,1.1,1024.2,0.0,0.0
0.0,6.1,1.1,1024.5,0.0,0.0
0.0,6.1,1.1,1025.1,0.0,0.0
0.0,7.2,1.1,1025.3,250.0,1.5
0.0,8.9,1.1,1025.5,0.0,0.0
0.0,12.8,1.7,1025.5,0.0,0.0
0.0,12.8,4.4,1026.1,350.0,2.6
0.0,15.0,3.3,1025.5,360.0,2.1
0.0,16.1,5.0,1024.6,350.0,3.1
0.0,17.2,1.7,1023.3,320.0,2.1
0.0,16.7,3.9,1023.1,330.0,4.1
0.0,16.7,2.2,1022.6,320.0,3.1
0.0,15.6,2.8,1022.4,340.0,2.6
0.0,13.9,4.4,1022.3,320.0,2.6
0.0,12.2,7.2,1022.4,0.0,0.0
0.0,12.2,8.3,1022.4,260.0,1.5
0.0,9.4,6.7,1022.7,120.0,1.5
0.0,10.6,6.1,1022.8,190.0,1.5
0.0,8.9,5.0,1022.5,110.0,2.1
0.0,9.4,5.0,1022.7,0.0,0.0
0.0,8.3,4.4,1022.8,0.0,0.0
0.0,7.8,3.9,1022.8,0.0,0.0
0.0,7.2,3.9,1022.5,0.0,0.0
0.0,6.1,3.3,1022.3,0.0,0.0
0.0,6.1,3.9,1021.9,0.0,0.0
0.0,5.0,2.8,1021.9,0.0,0.0
0.0,5.0,2.8,1021.9,0.0,0.0
0.0,5.6,3.3,1022.6,0.0,0.0
0.0,6.7,3.9,1023.1,0.0,0.0
0.0,10.0,5.6,1023.2,0.0,0.0
0.0,10.6,6.1,1023.8,360.0,1.5
0.0,12.8,7.8,1023.0,10.0,1.5
0.0,13.9,8.3,1021.9,360.0,3.1
0.0,14.4,8.9,1021.3,360.0,2.6
0.0,14.4,7.2,1020.8,20.0,3.1
0.0,14.4,7.2,1020.9,350.0,2.6
0.0,13.3,7.8,1020.7,330.0,3.1
0.0,12.2,8.3,1021.1,0.0,0.0
0.0,13.3,8.9,1020.9,300.0,2.6
0.0,11.7,8.3,1020.7,0.0,0.0
0.0,12.2,10.0,1020.6,320.0,2.6
0.0,11.7,10.0,1021.2,320.0,2.1
0.0,10.0,8.9,1021.1,180.0,1.5
0.0,8.9,7.8,1021.2,0.0,0.0
0.0,10.0,8.9,1020.8,0.0,0.0
0.0,10.6,8.3,1020.7,0.0,0.0
0.0,10.6,8.9,1020.3,0.0,0.0
0.0,10.0,8.3,1020.1,0.0,0.0
0.0,9.4,8.3,1019.9,0.0,0.0
0.0,10.0,8.9,1019.6,0.0,0.0
0.0,10.6,9.4,1019.3,0.0,1.5
0.0,11.1,8.9,1019.7,260.0,2.6
0.0,10.6,8.9,1020.1,250.0,3.1
0.0,11.1,8.9,1020.3,270.0,2.6
0.0,12.2,8.3,1020.3,270.0,1.5
0.0,12.2,7.8,1019.9,300.0,1.5
0.0,12.8,7.8,1019.5,320.0,1.5
0.0,13.3,7.8,1018.8,360.0,3.1
0.0,13.3,7.8,1018.7,20.0,3.1
0.0,12.2,7.8,1018.7,340.0,4.1
0.0,12.2,7.8,1018.3,350.0,2.6
0.0,11.7,7.2,1017.7,0.0,0.0
0.0,11.7,7.2,1017.4,0.0,0.0
0.0,11.1,7.8,1017.6,0.0,0.0
0.0,11.1,7.8,1017.8,260.0,2.1
0.0,9.4,6.7,1017.7,0.0,0.0
0.0,9.4,7.8,1018.1,0.0,0.0
0.0,9.4,6.7,1018.6,0.0,0.0
0.0,8.9,6.7,1018.5,0.0,0.0
0.0,8.9,5.0,1018.1,0.0,0.0
0.0,8.9,4.4,1018.3,290.0,2.1
0.0,7.2,3.9,1018.1,200.0,1.5
0.0,6.1,2.8,1018.1,0.0,0.0
0.0,6.1,3.3,1018.5,290.0,1.5
0.0,6.1,2.2,1019.0,260.0,1.5
0.0,6.1,2.2,1019.3,260.0,2.1
0.0,7.2,2.8,1019.8,280.0,1.5
0.0,9.4,3.3,1020.5,0.0,0.0
0.0,10.6,3.9,1020.8,0.0,0.0
0.0,11.7,3.3,1020.4,360.0,3.1
0.0,12.2,2.8,1020.0,360.0,3.6
0.0,12.8,3.3,1019.3,10.0,3.1
0.0,11.7,2.8,1018.9,20.0,3.1
0.0,12.8,3.9,1019.1,350.0,4.1
0.0,12.8,2.2,1019.1,310.0,3.1
0.0,11.1,2.2,1019.2,280.0,2.6
0.0,10.0,3.3,1019.7,280.0,2.6
0.0,9.4,3.3,1019.9,280.0,1.5
0.0,9.4,3.3,1020.2,0.0,0.0
0.0,8.3,2.8,1020.4,260.0,1.5
0.0,7.2,2.2,1020.8,0.0,0.0
0.0,6.7,2.8,1021.1,0.0,0.0
0.0,6.7,2.2,1021.4,130.0,1.5
0.0,6.1,2.8,1021.6,0.0,0.0
0.0,5.6,2.2,1021.5,190.0,1.5
0.0,4.4,1.7,1021.3,0.0,0.0
0.0,3.9,2.2,1021.2,0.0,0.0
0.0,4.4,2.2,1021.3,0.0,0.0
0.0,4.4,2.2,1021.6,290.0,2.1
0.0,5.6,2.8,1022.1,0.0,0.0
0.0,5.6,2.8,1022.6,0.0,0.0
0.0,6.7,3.3,1023.0,0.0,0.0
0.0,8.3,2.8,1023.2,0.0,0.0
0.0,10.0,2.8,1022.7,0.0,0.0
0.0,10.6,2.8,1021.9,0.0,1.5
0.0,10.0,3.9,1021.4,20.0,2.6
0.0,10.6,3.3,1020.8,30.0,2.1
0.0,10.6,2.8,1020.7,360.0,1.5
0.0,10.6,3.3,1020.4,360.0,2.1
0.0,10.0,2.8,1020.3,0.0,0.0
0.0,10.6,3.9,1019.8,140.0,1.5
0.0,11.1,5.0,1020.0,120.0,2.6
