0,1,2,3,4,5
17.6575,1.9,-1.2,1016.2,200.0,5.0
18.5775,1.6,-1.5,1016.3,190.0,3.0
18.1275,0.7,-1.8,1016.5,170.0,3.0
17.4,0.8,-2.1,1016.4,170.0,4.0
17.3875,2.9,-1.6,1016.2,130.0,3.0
17.55,3.0,-1.1,1015.7,160.0,4.0
18.155,3.6,-0.6,1014.7,150.0,5.0
30.645,3.9,0.3,1014.2,150.0,4.0
33.2725,3.9,0.7,1013.4,120.0,3.0
33.415,5.7,2.9,1012.1,140.0,4.0
33.415,7.6,3.9,1011.4,140.0,11.0
33.415,7.6,3.8,1010.0,140.0,12.0
33.415,7.9,4.3,1008.6,140.0,14.0
24.635,7.0,5.5,1006.6,130.0,13.0
31.4325,7.2,5.5,1004.3,130.0,12.0
33.27,7.5,5.8,1002.7,130.0,14.0
34.39,7.8,6.4,1001.7,120.0,13.0
34.25,8.1,6.5,1000.7,120.0,13.0
22.45,8.2,7.0,999.8,120.0,13.0
19.9425,8.2,6.9,998.9,120.0,13.0
18.8625,8.2,7.0,998.2,130.0,11.0
19.5775,7.9,6.7,997.2,120.0,12.0
18.1825,8.1,6.9,995.9,120.0,13.0
17.915,7.9,6.8,995.3,120.0,11.0
22.8075,7.5,6.8,994.5,110.0,10.0
22.595,8.5,6.3,993.9,120.0,9.0
22.8575,8.5,6.5,993.1,110.0,11.0
23.0675,8.7,6.9,993.0,110.0,10.0
23.8175,8.7,7.0,993.0,100.0,7.0
22.5475,9.0,7.3,993.2,110.0,6.0
43.9675,8.5,7.8,993.6,100.0,5.0
113.4025,8.4,7.9,994.0,90.0,4.0
139.405,8.8,7.9,994.5,90.0,4.0
157.765,8.6,7.9,995.4,80.0,4.0
174.455,8.9,8.0,996.2,80.0,3.0
175.865,9.2,8.6,996.8,50.0,3.0
165.6225,9.7,8.8,997.1,70.0,3.0
169.79,10.0,8.9,997.5,360.0,2.0
158.3625,10.0,8.6,997.8,310.0,3.0
144.605,9.6,8.3,998.5,280.0,3.0
138.02,9.3,8.4,999.0,270.0,2.0
130.45,8.8,8.1,999.6,280.0,3.0
105.4,8.1,7.7,999.8,260.0,4.0
64.07,8.1,7.5,1000.0,250.0,5.0
42.0975,7.3,6.7,1000.0,240.0,6.0
28.24,6.5,6.1,999.5,250.0,5.0
25.5325,6.1,5.5,999.5,240.0,7.0
25.02,5.6,5.0,998.8,240.0,6.0
25.52,5.3,4.3,998.0,230.0,4.0
25.885,5.3,4.0,997.3,210.0,5.0
26.23,5.1,2.5,995.9,110.0,2.0
26.0,4.9,2.5,994.1,140.0,7.0
26.5475,5.8,3.4,991.9,120.0,4.0
25.8775,8.0,5.5,989.4,130.0,10.0
32.76,8.0,6.7,986.9,120.0,12.0
104.2975,8.0,7.1,984.6,120.0,12.0
138.9,7.9,7.2,982.5,110.0,12.0
145.5425,8.1,7.4,980.9,120.0,13.0
159.925,8.0,7.0,1014.522535695854,200.0,5.1
