0,1,2,3,4,5
0.0,31.1,-3.3,998.0,200.0,9.8
0.0,31.1,-3.3,997.5,200.0,11.3
0.0,30.6,-5.0,997.2,190.0,11.3
0.0,28.9,-5.0,997.5,220.0,11.3
0.0,27.2,-6.1,998.1,200.0,9.3
0.0,25.0,-5.0,999.2,160.0,8.8
0.0,25.6,-6.7,999.8,180.0,7.7
0.0,23.9,-4.4,1000.3,180.0,7.2
0.0,22.2,4.4,1002.1,210.0,5.1
0.0,16.7,5.6,1003.5,310.0,5.1
0.0,15.0,5.6,1004.9,330.0,4.6
0.0,12.8,4.4,1006.1,350.0,4.1
0.0,11.1,5.6,1007.4,320.0,1.5
0.0,10.6,5.0,1008.1,0.0,0.0
0.0,11.1,5.0,1009.0,260.0,2.1
0.0,12.8,5.6,1009.7,210.0,2.1
0.0,14.4,6.7,1010.4,250.0,2.6
0.0,16.1,6.1,1010.9,290.0,3.1
0.0,17.2,5.6,1011.2,280.0,2.6
0.0,19.4,6.7,1011.7,310.0,3.6
0.0,19.4,5.0,1011.9,290.0,5.1
0.0,21.7,4.4,1012.5,240.0,3.1
0.0,21.7,4.4,1012.8,270.0,3.1
0.0,22.8,5.0,1013.1,260.0,4.1
0.0,23.9,3.9,1012.9,300.0,3.1
0.0,23.3,3.9,1012.5,340.0,5.7
0.0,23.3,2.2,1012.4,330.0,4.1
0.0,22.8,2.8,1011.8,340.0,5.1
0.0,19.4,3.3,1012.0,330.0,2.1
0.0,18.9,3.9,1012.1,330.0,3.1
0.0,16.7,6.7,1012.8,0.0,0.0
0.0,14.4,6.7,1012.9,240.0,2.1
0.0,15.0,5.0,1013.2,0.0,0.0
0.0,13.9,5.0,1013.3,270.0,1.5
0.0,12.2,6.1,1013.8,260.0,2.6
0.0,12.8,5.6,1013.7,230.0,2.6
0.0,12.2,5.6,1013.7,150.0,3.1
0.0,11.1,5.0,1014.4,190.0,2.1
0.0,13.3,5.6,1014.5,190.0,2.6
0.0,15.0,5.6,1014.9,140.0,2.1
0.0,18.9,5.6,1014.9,330.0,1.5
0.0,21.7,5.0,1014.7,0.0,0.0
0.0,22.2,7.8,1015.2,0.0,2.1
0.0,24.4,7.8,1015.0,330.0,2.6
0.0,26.7,7.2,1014.2,30.0,3.1
0.0,28.3,4.4,1014.1,210.0,4.1
0.0,27.8,3.9,1014.0,270.0,3.6
0.0,28.9,2.2,1013.2,340.0,5.1
0.0,28.9,1.1,1012.6,340.0,2.1
0.0,29.4,2.8,1011.9,340.0,3.6
0.0,29.4,2.8,1010.9,340.0,3.6
0.0,28.3,3.3,1010.8,10.0,2.6
0.0,25.0,5.0,1010.6,20.0,1.5
0.0,21.1,5.6,1011.0,180.0,3.1
0.0,21.7,4.4,1011.7,180.0,4.1
0.0,21.1,4.4,1011.9,150.0,5.1
0.0,20.0,4.4,1012.1,160.0,5.7
0.0,18.9,3.3,1012.2,170.0,5.7
0.0,18.9,2.2,1012.6,160.0,5.1
0.0,17.8,2.2,1012.7,160.0,5.7
0.0,17.2,1.7,1013.0,170.0,6.2
0.0,16.7,1.1,1013.8,170.0,5.1
0.0,17.2,1.7,1014.6,170.0,5.7
0.0,20.0,2.2,1014.9,160.0,4.6
0.0,24.4,2.2,1014.6,160.0,6.2
0.0,27.2,0.0,1015.0,170.0,8.8
0.0,29.4,0.0,1014.7,180.0,8.2
0.0,29.4,-3.3,1015.2,160.0,7.7
0.0,30.0,-2.8,1015.0,180.0,6.2
0.0,31.7,-2.2,1014.0,160.0,7.7
0.0,31.7,-2.2,1013.4,190.0,4.1
0.0,32.2,-1.7,1013.1,280.0,4.6
0.0,32.2,-3.3,1012.5,280.0,3.1
0.0,32.2,-2.8,1011.8,330.0,2.1
0.0,31.7,-3.3,1011.2,330.0,1.5
0.0,30.0,-0.6,1010.7,40.0,3.6
0.0,26.7,3.3,1010.5,220.0,2.1
0.0,25.6,4.4,1010.4,210.0,2.1
0.0,23.9,3.3,1011.0,160.0,5.1
0.0,21.1,6.7,1012.2,310.0,3.1
0.0,18.9,7.8,1013.0,290.0,3.6
0.0,19.4,7.2,1013.6,340.0,5.1
0.0,17.8,6.7,1014.4,320.0,6.7
0.0,16.1,6.1,1015.6,290.0,3.1
0.0,16.1,6.7,1016.5,270.0,2.6
0.0,13.9,6.7,1017.7,220.0,2.1
0.0,16.1,8.3,1018.5,150.0,3.1
0.0,18.9,6.1,1019.2,90.0,3.6
0.0,20.0,7.2,1019.7,310.0,1.5
0.0,21.1,6.7,1020.2,0.0,0.0
0.0,22.8,6.7,1020.2,0.0,0.0
0.0,24.4,7.2,1020.4,320.0,2.6
0.0,26.1,7.2,1020.1,340.0,4.1
0.0,26.7,6.7,1019.6,320.0,3.1
0.0,27.8,6.1,1019.1,330.0,4.6
0.0,28.3,5.6,1018.8,300.0,3.1
0.0,28.9,4.4,1017.9,310.0,4.6
0.0,28.9,3.3,1017.9,340.0,3.6
0.0,28.9,2.8,1017.1,340.0,4.1
0.0,28.3,-1.7,1017.3,340.0,3.6
0.0,25.0,1.7,1017.5,360.0,2.6
0.0,23.3,3.9,1017.6,20.0,1.5
0.0,20.0,5.0,1017.9,170.0,2.6
0.0,20.6,5.6,1017.4,160.0,3.1
0.0,18.9,6.1,1016.9,180.0,3.1
0.0,19.4,5.6,1016.7,240.0,4.1
0.0,17.8,5.6,1016.8,180.0,4.6
0.0,17.2,5.6,1016.7,200.0,3.1
0.0,17.2,5.0,1016.6,180.0,3.6
0.0,16.7,5.0,1017.1,180.0,4.1
0.0,17.2,5.0,1017.2,190.0,3.1
0.0,19.4,5.6,1017.5,180.0,3.1
0.0,22.8,5.0,1017.8,340.0,2.6
0.0,26.1,5.0,1017.3,20.0,3.1
0.0,28.3,5.6,1017.4,20.0,1.5
0.0,30.6,5.0,1017.3,80.0,2.1
0.0,31.7,8.3,1016.8,80.0,3.1
0.0,32.2,8.3,1015.9,80.0,2.1
0.0,33.9,7.8,1015.2,80.0,2.6
0.0,33.9,6.7,1014.5,280.0,2.6
0.0,35.0,5.6,1013.7,330.0,3.1
0.0,35.0,5.0,1013.2,10.0,2.6
0.0,34.4,4.4,1012.7,330.0,2.1
0.0,33.9,5.0,1012.1,40.0,2.1
0.0,31.1,5.6,1011.5,50.0,2.6
0.0,26.1,8.9,1011.7,170.0,4.1
0.0,25.0,7.2,1011.9,170.0,3.6
0.0,23.9,8.3,1011.1,160.0,4.1
0.0,23.3,7.8,1010.7,180.0,4.6
0.0,22.8,7.2,1010.7,160.0,3.6
0.0,21.1,7.2,1010.4,180.0,4.1
0.0,20.0,7.2,1010.8,0.0,0.0
0.0,20.0,7.2,1010.8,170.0,4.1
0.0,20.0,7.2,1011.4,110.0,3.6
0.0,19.4,7.8,1011.5,170.0,4.6
0.0,21.7,7.8,1012.6,160.0,3.1
0.0,25.6,8.9,1013.4,160.0,2.1
0.0,27.8,8.3,1013.9,0.0,0.0
0.0,28.9,7.8,1013.8,0.0,1.5
0.0,31.7,3.9,1013.9,340.0,2.1
0.0,31.1,3.9,1014.0,340.0,2.1
0.0,33.3,2.2,1013.4,300.0,4.6
0.0,33.3,1.7,1012.9,300.0,4.6
0.0,33.3,1.1,1012.5,300.0,1.5
0.0,33.3,-2.8,1011.8,300.0,1.5
0.0,32.8,-2.8,1011.1,200.0,1.5
0.0,32.8,-3.3,1010.5,200.0,2.1
0.0,31.7,-2.2,1010.0,200.0,2.1
0.0,27.8,0.6,1009.7,330.0,2.1
0.0,23.9,7.8,1010.5,340.0,1.5
0.0,22.8,8.3,1010.9,270.0,2.6
0.0,20.6,7.8,1010.9,300.0,3.6
0.0,20.0,7.8,1011.4,250.0,2.1
0.0,17.8,7.8,1011.3,250.0,1.5
0.0,18.3,6.7,1011.4,250.0,3.1
0.0,16.1,7.8,1011.6,200.0,1.5
0.0,16.7,7.8,1011.8,0.0,0.0
0.0,15.6,6.1,1012.0,200.0,2.6
0.0,16.7,6.1,1012.0,200.0,2.1
0.0,20.6,5.6,1011.9,0.0,0.0
0.0,22.2,7.2,1012.5,240.0,3.1
0.0,24.4,6.1,1012.7,240.0,1.5
0.0,26.7,7.2,1012.0,0.0,0.0
0.0,28.9,5.6,1011.7,0.0,2.1
0.0,30.6,6.7,1011.2,0.0,2.1
0.0,31.1,5.6,1010.8,0.0,1.5
0.0,33.3,7.8,1009.6,340.0,4.1
0.0,33.9,8.3,1009.4,320.0,3.6
0.0,33.3,4.4,1008.6,310.0,3.6
0.0,33.9,3.3,1008.1,260.0,2.1
0.0,33.9,3.9,1007.5,360.0,1.5
0.0,32.8,2.8,1007.1,290.0,1.5
0.0,30.0,3.3,1007.2,0.0,0.0
0.0,25.6,8.9,1007.6,170.0,3.1
0.0,23.9,6.7,1007.8,170.0,3.6
0.0,23.3,7.2,1007.5,170.0,3.1
0.0,22.2,7.8,1007.4,170.0,4.6
0.0,21.1,7.2,1007.7,190.0,2.6
0.0,21.7,6.7,1007.5,170.0,3.6
0.0,20.6,7.2,1007.4,0.0,0.0
0.0,20.6,7.2,1007.6,180.0,2.6
0.0,20.6,7.2,1007.7,170.0,5.1
0.0,21.1,7.8,1008.3,170.0,2.1
0.0,22.8,8.3,1008.9,150.0,3.1
0.0,25.6,8.9,1009.4,170.0,2.6
0.0,28.3,8.9,1009.8,150.0,3.1
0.0,28.3,11.1,1010.6,250.0,3.6
0.0,30.0,6.7,1010.7,170.0,3.6
0.0,31.7,1.1,1010.4,240.0,3.6
0.0,32.2,-1.1,1010.3,240.0,3.6
0.0,33.3,1.1,1009.4,310.0,3.6
0.0,33.9,-2.2,1008.9,280.0,4.1
0.0,34.4,-3.3,1008.3,280.0,4.6
0.0,33.9,-5.0,1007.9,290.0,3.1
0.0,33.9,-4.4,1007.1,30.0,3.1
0.0,32.8,-5.0,1006.8,10.0,2.1
0.0,30.0,-2.8,1006.6,50.0,2.6
0.0,25.0,3.3,1007.0,170.0,4.1
0.0,23.3,1.7,1007.5,170.0,4.1
0.0,21.1,2.8,1007.9,160.0,3.1
0.0,20.0,2.2,1007.9,190.0,3.1
0.0,20.0,1.7,1007.7,170.0,3.6
0.0,19.4,1.7,1007.2,170.0,5.1
0.0,17.8,1.7,1007.3,170.0,4.6
0.0,17.8,1.7,1007.7,170.0,5.1
0.0,16.7,1.7,1008.4,160.0,4.6
0.0,17.2,1.7,1008.8,170.0,5.7
0.0,20.0,2.8,1009.2,160.0,3.6
0.0,22.8,4.4,1009.6,170.0,4.1
0.0,26.7,4.4,1010.2,160.0,3.6
0.0,27.8,2.2,1010.3,160.0,3.1
0.0,28.9,1.7,1010.5,260.0,3.1
0.0,30.0,-3.3,1010.3,260.0,4.6
0.0,30.0,1.1,1010.0,270.0,4.1
0.0,30.6,-1.1,1009.9,270.0,6.2
0.0,30.6,-0.6,1009.9,280.0,4.1
0.0,31.1,1.1,1009.6,290.0,4.1
0.0,30.6,0.0,1009.6,300.0,6.2
0.0,30.0,-1.1,1009.0,320.0,5.1
0.0,27.2,6.7,1009.2,340.0,8.8
0.0,23.9,6.1,1009.9,340.0,7.7
0.0,22.8,6.1,1010.6,340.0,7.7
0.0,20.6,6.1,1012.0,330.0,8.2
0.0,18.9,5.0,1013.2,330.0,6.7
0.0,18.3,4.4,1013.8,330.0,5.7
0.0,17.8,3.3,1014.9,340.0,6.7
0.0,16.1,-0.6,1015.7,340.0,3.6
0.0,15.6,0.0,1016.4,350.0,1.5
0.0,12.2,0.0,1017.5,310.0,4.1
0.0,13.3,0.0,1018.3,350.0,2.6
0.0,13.3,0.0,1018.9,340.0,2.6
0.0,16.7,-1.1,1019.2,340.0,2.1
0.0,17.2,-0.6,1019.9,340.0,4.1
0.0,18.3,-2.2,1020.1,340.0,4.6
0.0,20.0,-2.8,1020.2,320.0,3.1
0.0,21.1,-4.4,1020.0,320.0,3.1
0.0,22.2,-6.7,1019.6,330.0,3.6
0.0,22.2,-8.9,1019.4,330.0,2.1
0.0,24.4,-6.7,1018.9,310.0,4.6
0.0,24.4,-7.2,1018.4,310.0,4.6
0.0,25.0,-7.8,1018.1,320.0,4.6
0.0,25.6,-7.8,1017.3,340.0,3.6
0.0,25.0,-7.8,1016.9,310.0,3.1
0.0,24.4,-6.1,1016.3,330.0,2.6
0.0,21.7,-6.7,1016.8,330.0,2.1
0.0,19.4,-2.8,1017.2,120.0,1.5
0.0,16.7,0.6,1017.6,170.0,3.6
0.0,16.1,0.6,1017.6,170.0,3.6
0.0,15.6,0.0,1017.7,170.0,4.1
0.0,13.9,0.0,1017.7,180.0,3.6
0.0,13.9,-0.6,1017.4,170.0,3.6
0.0,12.8,-0.6,1017.8,180.0,3.6
0.0,12.2,-0.6,1018.1,190.0,3.1
0.0,12.2,-0.6,1018.7,180.0,4.1
0.0,13.9,-0.6,1019.4,70.0,3.1
0.0,16.1,0.0,1019.1,0.0,0.0
0.0,18.3,0.6,1019.9,0.0,0.0
0.0,22.2,0.6,1019.2,20.0,6.2
0.0,24.4,1.1,1019.3,360.0,2.6
0.0,26.1,2.2,1018.8,360.0,2.6
