0,1,2,3,4,5
38.625,23.9,10.6,1012.1,270.0,3.1
38.275,24.4,9.4,1011.8,270.0,3.6
38.95,24.4,11.1,1011.7,280.0,3.6
36.2,24.4,11.7,1011.4,360.0,3.1
35.35,22.2,11.1,1012.1,350.0,3.6
34.0,20.6,9.4,1012.4,340.0,3.1
36.0,20.0,8.9,1012.8,350.0,1.5
36.625,15.0,7.8,1013.4,310.0,2.6
37.125,11.7,7.8,1014.6,340.0,2.1
29.325,8.9,6.7,1015.3,90.0,1.5
36.575,7.2,5.6,1015.4,70.0,1.5
36.975,9.4,7.2,1015.2,60.0,2.6
36.425,8.3,6.7,1015.5,120.0,1.5
36.6,7.2,6.1,1015.8,80.0,2.1
37.275,6.7,5.6,1016.7,0.0,0.0
43.95,6.7,6.1,1017.3,80.0,3.1
36.675,7.2,6.1,1017.9,80.0,2.6
28.925,10.0,7.2,1018.2,60.0,3.1
30.4333,13.9,7.8,1018.6,80.0,1.5
45.325,18.3,10.0,1019.1,80.0,1.5
49.0,22.2,9.4,1019.3,80.0,2.1
48.225,23.9,7.8,1019.3,50.0,5.1
48.35,24.4,7.8,1019.4,20.0,2.6
49.0,25.6,6.7,1019.1,20.0,2.1
50.9,26.1,7.8,1018.9,60.0,3.1
48.475,26.7,6.7,1018.6,0.0,0.0
45.65,28.3,7.8,1018.2,0.0,2.6
45.75,27.2,6.7,1018.1,0.0,1.5
43.125,26.7,8.9,1018.3,300.0,4.6
43.125,26.1,9.4,1018.2,340.0,4.6
43.375,23.9,9.4,1018.6,360.0,2.6
45.2,19.4,10.0,1018.9,20.0,1.5
45.475,14.4,10.6,1019.8,0.0,0.0
38.325,12.8,10.0,1019.9,0.0,0.0
44.25,11.7,10.0,1020.2,0.0,0.0
44.375,11.1,10.0,1020.2,0.0,0.0
44.975,11.1,9.4,1020.4,0.0,0.0
45.425,12.8,10.6,1020.4,110.0,1.5
44.375,12.2,10.6,1020.5,70.0,2.6
52.025,12.2,10.0,1020.9,70.0,3.1
49.4,12.2,10.0,1021.3,70.0,2.6
43.125,13.9,11.1,1021.7,90.0,2.6
43.6,17.8,12.8,1021.8,80.0,2.1
43.225,22.2,15.0,1022.3,80.0,1.5
44.075,23.9,15.6,1022.6,230.0,2.6
42.3,26.1,15.0,1022.7,350.0,1.5
43.225,26.7,14.4,1022.6,350.0,1.5
43.55,26.1,11.7,1022.2,30.0,2.1
43.625,28.9,12.2,1021.5,140.0,3.6
43.6,28.9,12.2,1021.2,0.0,0.0
43.475,28.3,12.2,1021.1,0.0,0.0
41.725,30.0,12.2,1020.5,0.0,3.1
32.925,30.0,12.8,1020.5,80.0,2.6
28.65,26.1,14.4,1020.8,150.0,2.1
28.65,22.2,15.0,1020.4,130.0,2.1
31.65,19.4,14.4,1020.8,140.0,2.1
22.1,20.6,13.9,1020.6,130.0,2.6
30.85,20.6,13.9,1020.7,150.0,3.1
28.325,20.0,13.9,1021.4,140.0,1.5
29.325,17.2,14.4,1022.1,130.0,1.5
30.25,19.4,14.4,1022.0,140.0,2.6
30.575,19.4,15.0,1021.7,160.0,2.1
34.85,18.3,15.0,1021.5,150.0,2.1
35.175,18.9,15.0,1021.6,140.0,2.6
27.825,20.6,15.6,1021.8,140.0,2.6
28.15,21.7,16.1,1021.8,160.0,3.6
29.3,23.9,17.2,1022.0,180.0,3.6
57.825,26.1,16.1,1021.8,190.0,4.1
57.975,27.8,15.6,1021.9,210.0,4.1
60.3,28.9,15.0,1021.6,200.0,4.6
59.225,30.0,15.6,1020.9,200.0,3.1
36.325,30.6,15.6,1020.3,170.0,4.1
30.8,31.1,14.4,1019.6,160.0,4.1
28.775,30.0,13.9,1018.9,160.0,5.7
28.65,30.0,13.9,1018.7,180.0,5.7
30.275,30.0,15.0,1017.9,190.0,6.7
33.5,28.9,15.6,1017.3,180.0,6.2
32.8,26.1,15.0,1017.1,180.0,5.7
36.55,25.0,14.4,1017.0,160.0,4.6
40.775,24.4,14.4,1017.6,160.0,5.7
50.7,22.8,14.4,1017.3,170.0,5.1
51.025,22.2,14.4,1017.2,170.0,4.6
51.9,21.1,13.9,1016.0,160.0,5.1
53.1,21.1,13.3,1015.9,180.0,4.6
54.75,20.6,13.3,1015.6,180.0,4.1
41.8,20.0,12.8,1015.6,160.0,5.7
38.575,20.6,12.8,1015.5,160.0,4.1
44.825,20.6,13.3,1015.6,170.0,3.6
111.825,21.1,13.9,1015.8,170.0,3.6
139.275,18.9,17.2,1015.5,160.0,2.6
156.325,19.4,16.7,1015.3,160.0,3.1
138.95,21.7,17.2,1015.4,170.0,3.1
186.325,22.8,18.3,1014.8,170.0,3.6
193.15,25.0,19.4,1014.0,180.0,4.6
190.675,27.2,19.4,1013.4,190.0,3.6
193.975,27.8,19.4,1012.7,160.0,4.6
192.225,27.8,19.4,1012.3,100.0,2.6
188.35,27.2,19.4,1012.3,150.0,4.1
187.05,27.8,20.0,1012.4,150.0,4.1
185.35,25.6,19.4,1012.8,120.0,2.6
185.1,24.4,19.4,1013.3,160.0,5.1
184.025,23.3,18.9,1014.0,150.0,4.1
175.325,21.7,18.9,1014.0,150.0,2.6
