0,1,2,3,4,5
136.21,7.2,4.4,1012.7,0.0,0.0
145.25,8.9,2.2,1013.5,260.0,3.1
148.13,11.7,2.2,1014.4,210.0,2.1
166.02,13.3,-6.1,1014.7,330.0,6.7
171.92,14.4,-6.7,1014.6,330.0,4.6
160.02,15.0,-7.2,1014.1,290.0,3.1
163.86,15.0,-7.2,1013.8,300.0,3.6
183.3,15.6,-6.7,1013.6,260.0,3.1
188.23,15.6,-6.7,1013.8,300.0,3.1
183.54,15.0,-4.4,1014.4,230.0,3.6
168.52,13.3,-2.8,1015.0,240.0,3.1
181.65,13.9,-6.7,1015.4,280.0,3.6
161.19,11.1,-1.1,1016.3,230.0,2.6
148.99,11.1,-2.8,1016.8,0.0,0.0
130.95,11.7,-2.2,1017.0,320.0,1.5
132.21,8.9,-0.6,1017.6,140.0,1.5
129.05,8.9,-0.6,1017.9,80.0,2.6
102.28,8.3,-1.1,1017.7,140.0,1.5
92.39,7.2,-0.6,1018.1,120.0,1.5
93.13,7.2,0.0,1017.9,0.0,0.0
89.23,7.2,-0.6,1018.2,350.0,2.1
91.45,6.1,0.0,1017.8,0.0,0.0
109.94,6.1,-1.7,1018.1,0.0,0.0
114.14,5.0,-0.6,1018.5,100.0,1.5
138.43,6.7,-1.7,1018.7,0.0,0.0
144.06,8.3,-1.1,1019.1,130.0,1.5
150.61,10.6,-3.3,1019.4,0.0,0.0
150.0,12.8,-6.1,1018.7,60.0,3.1
177.58,13.9,-6.1,1017.8,80.0,2.6
171.0,15.0,-6.1,1016.8,0.0,0.0
171.63,16.1,-6.7,1016.0,0.0,0.0
180.56,16.1,-7.2,1015.6,270.0,3.1
158.59,16.1,-7.8,1015.3,310.0,3.6
186.8,15.6,-7.8,1014.3,310.0,2.1
181.99,15.0,-8.3,1014.1,320.0,3.1
180.48,14.4,-7.2,1014.1,310.0,2.6
177.67,10.6,-1.7,1014.3,230.0,2.1
191.81,10.0,-1.1,1014.4,230.0,3.1
153.26,10.6,-3.3,1014.4,230.0,3.1
140.89,8.9,-1.7,1014.5,250.0,1.5
131.2,8.9,-2.2,1014.6,260.0,2.1
109.36,8.3,-2.2,1014.3,0.0,0.0
99.43,7.2,-1.1,1014.5,80.0,3.6
90.52,7.2,-1.1,1014.5,110.0,2.6
82.81,6.7,-2.8,1014.4,130.0,2.6
83.48,6.1,-2.2,1014.2,120.0,3.1
111.68,6.7,-3.3,1014.3,120.0,3.1
116.64,6.7,-3.9,1014.9,120.0,2.6
128.48,6.7,-2.8,1015.3,140.0,2.6
132.23,8.3,-2.8,1015.5,100.0,3.1
157.18,10.0,-2.8,1015.5,90.0,4.1
178.53,11.7,-3.3,1014.9,70.0,3.1
194.11,12.8,-3.3,1014.1,0.0,0.0
194.81,15.0,-4.4,1013.0,0.0,2.1
188.69,15.6,-5.0,1012.4,280.0,1.5
204.95,16.1,-4.4,1011.9,260.0,3.6
180.13,16.1,-5.0,1011.3,260.0,3.1
186.25,15.6,-5.6,1011.0,220.0,2.6
195.65,13.3,-3.3,1011.3,230.0,2.6
181.93,12.2,-2.2,1011.7,240.0,2.1
203.86,11.1,-1.1,1011.9,220.0,1.5
177.03,11.7,-3.3,1012.0,230.0,2.1
164.45,11.7,-2.8,1012.1,0.0,0.0
134.33,11.1,-1.7,1011.6,0.0,0.0
133.16,10.0,-1.1,1011.5,110.0,2.1
130.29,8.9,-1.1,1010.9,100.0,2.1
98.54,8.9,-1.1,1010.7,90.0,3.6
88.44,8.3,-1.7,1010.7,80.0,3.6
84.8,8.3,0.0,1010.7,90.0,3.6
93.74,8.9,-0.6,1010.7,100.0,1.5
112.57,8.3,0.0,1010.5,100.0,2.6
116.35,8.3,-1.1,1011.4,110.0,2.6
138.79,8.3,-0.6,1011.7,90.0,2.6
150.89,8.9,-1.1,1012.5,100.0,2.1
144.55,10.6,-2.2,1012.9,90.0,2.6
155.94,11.1,-1.7,1013.1,130.0,1.5
165.34,12.8,-1.7,1012.7,110.0,2.1
188.75,13.3,-2.8,1012.1,0.0,0.0
172.86,15.0,-4.4,1011.6,320.0,2.1
198.69,15.6,-5.0,1011.6,310.0,3.6
181.72,16.1,-3.3,1011.6,270.0,4.1
178.39,15.6,-3.9,1011.8,290.0,3.6
172.78,14.4,-2.8,1012.2,320.0,3.1
150.58,13.3,-2.2,1012.5,250.0,2.1
147.91,11.7,-0.6,1012.3,250.0,2.6
153.61,12.8,-3.3,1012.1,270.0,3.1
131.26,11.7,-2.2,1012.0,270.0,2.6
123.58,10.0,-1.1,1012.0,250.0,2.1
116.56,8.3,0.0,1012.0,240.0,2.6
100.77,8.3,-0.6,1011.7,260.0,1.5
97.41,7.8,0.0,1011.7,250.0,2.1
90.5,7.2,-0.6,1012.0,220.0,2.1
87.76,8.3,-1.7,1011.8,0.0,0.0
83.77,6.7,-0.6,1012.1,260.0,2.1
