0,1,2,3,4,5
114.01,31.1,18.3,1008.5,270.0,5.1
112.07,30.6,17.8,1008.7,310.0,4.6
112.82,30.6,18.3,1008.6,320.0,4.1
115.28,30.0,18.3,1008.8,340.0,3.1
114.45,30.0,18.3,1008.5,280.0,1.5
112.5,30.0,18.3,1008.6,220.0,2.1
112.5,25.0,21.7,1009.6,150.0,5.1
115.69,25.0,21.7,1010.5,120.0,1.5
114.88,25.6,22.2,1011.2,150.0,3.1
122.6,26.7,21.1,1012.2,170.0,4.1
117.67,26.7,20.0,1013.2,230.0,2.1
115.39,27.8,20.0,1012.9,120.0,1.5
123.65,27.2,21.7,1012.8,310.0,5.1
115.62,27.8,21.1,1012.3,300.0,3.1
113.82,28.9,20.0,1011.8,310.0,5.1
116.18,30.0,19.4,1011.2,290.0,5.7
114.82,30.6,19.4,1010.6,290.0,5.7
116.98,30.6,19.4,1010.5,260.0,6.2
128.62,30.6,20.0,1010.7,260.0,6.2
131.43,30.0,18.9,1011.0,260.0,5.1
115.77,29.4,18.9,1011.3,260.0,5.1
107.06,30.0,18.3,1011.9,260.0,4.6
102.98,26.7,18.9,1012.8,140.0,4.1
101.22,25.6,19.4,1013.4,130.0,3.1
100.85,26.1,19.4,1013.6,130.0,4.6
97.73,25.6,20.6,1013.6,110.0,3.1
92.52,25.0,20.6,1013.9,110.0,3.6
96.76,24.4,20.6,1014.0,100.0,2.6
103.61,24.4,20.6,1014.0,100.0,2.1
110.57,24.4,20.6,1014.4,100.0,2.6
106.9,24.4,20.6,1014.7,110.0,2.6
108.79,24.4,20.6,1015.5,120.0,3.1
108.58,25.6,20.6,1015.9,120.0,1.5
98.38,26.7,20.6,1016.1,120.0,1.5
96.58,27.8,20.0,1016.0,280.0,2.1
97.6,28.9,19.4,1015.5,290.0,2.1
100.15,31.1,20.0,1014.4,220.0,1.5
102.17,31.7,18.9,1013.6,220.0,1.5
101.97,32.8,18.3,1012.5,280.0,3.6
103.75,33.9,17.2,1011.5,290.0,3.6
105.29,35.0,16.7,1010.6,270.0,4.6
107.21,35.0,17.8,1009.9,260.0,5.1
117.91,34.4,17.8,1009.6,240.0,4.6
114.96,33.3,17.8,1009.5,250.0,4.6
109.96,32.8,17.8,1009.9,250.0,1.5
108.59,32.2,17.8,1010.2,240.0,2.1
104.29,32.2,17.2,1010.3,260.0,3.1
97.9,31.7,17.2,1010.6,300.0,2.6
98.25,31.1,17.2,1010.5,0.0,0.0
97.95,30.6,17.2,1010.4,330.0,2.1
98.29,29.4,17.8,1010.5,330.0,1.5
101.24,28.3,18.3,1010.4,120.0,2.1
102.4,27.8,17.8,1010.3,100.0,1.5
99.6,27.2,17.2,1010.7,110.0,2.6
103.18,26.7,17.8,1011.2,110.0,2.1
103.48,26.7,17.8,1011.6,90.0,2.6
