0,1,2,3,4,5
149.72,14.4,5.6,1016.8,190.0,3.1
164.45,15.6,6.7,1016.3,170.0,4.6
145.82,17.2,7.2,1016.3,160.0,5.7
180.74,19.4,6.7,1015.2,160.0,5.1
141.32,20.6,7.2,1014.3,170.0,5.1
181.47,22.2,7.8,1013.1,190.0,5.1
180.84,24.4,7.2,1011.7,190.0,5.7
136.11,25.0,6.7,1010.4,200.0,8.8
161.27,25.0,8.3,1009.3,190.0,9.8
174.59,23.3,8.9,1008.4,190.0,8.2
133.33,21.7,8.9,1007.7,190.0,7.2
175.22,20.0,9.4,1008.0,180.0,5.1
146.72,18.3,10.0,1008.0,190.0,6.2
161.55,18.9,9.4,1008.4,180.0,6.7
149.67,19.4,9.4,1008.0,190.0,7.7
131.11,19.4,9.4,1007.4,180.0,7.7
154.86,18.3,10.6,1007.2,190.0,7.2
129.71,18.3,11.7,1006.9,180.0,6.7
165.28,20.0,12.8,1006.2,190.0,7.7
121.42,19.4,13.3,1005.5,190.0,8.8
166.73,18.9,13.3,1005.5,200.0,9.3
137.47,18.9,13.9,1005.7,200.0,9.3
167.29,17.2,13.3,1006.0,180.0,6.2
156.82,17.8,14.4,1006.6,190.0,3.6
135.89,18.9,14.4,1006.6,190.0,4.6
183.13,20.6,15.0,1006.9,210.0,7.2
151.7,20.6,15.0,1007.6,260.0,5.7
160.11,18.3,13.9,1008.2,320.0,3.6
164.55,19.4,11.1,1008.5,320.0,5.1
141.7,20.0,11.1,1008.8,310.0,4.1
175.5,21.1,9.4,1009.0,310.0,4.6
138.83,20.0,7.2,1009.2,340.0,7.2
147.75,19.4,6.7,1010.1,330.0,6.2
133.17,18.3,5.6,1011.4,340.0,8.2
138.99,17.2,5.0,1012.9,350.0,8.2
137.89,15.6,4.4,1014.4,330.0,9.8
134.09,13.9,3.9,1016.2,340.0,7.2
129.58,12.2,2.8,1017.2,340.0,7.2
131.32,11.1,2.2,1018.2,350.0,9.3
122.74,10.0,1.1,1019.4,350.0,7.2
131.22,9.4,0.6,1019.8,330.0,7.7
120.88,8.9,0.6,1020.6,340.0,6.2
117.51,8.3,0.0,1021.4,360.0,6.2
116.59,7.2,0.0,1021.9,10.0,5.7
117.96,6.1,-1.1,1022.5,360.0,6.2
119.81,5.6,-1.7,1023.3,350.0,5.7
116.56,5.0,-1.7,1024.2,10.0,6.2
116.81,5.0,-1.7,1025.4,10.0,5.7
116.99,6.1,-1.7,1026.4,20.0,6.2
113.52,7.2,-1.1,1026.8,80.0,3.1
116.58,8.9,-1.1,1027.2,0.0,0.0
115.72,10.0,-0.6,1026.8,0.0,1.5
147.43,11.1,0.0,1026.2,0.0,0.0
124.93,12.8,1.1,1025.8,240.0,2.1
135.05,14.4,1.7,1024.8,70.0,1.5
137.24,15.0,1.7,1024.5,0.0,0.0
118.63,16.1,2.2,1024.0,0.0,0.0
143.64,15.6,2.8,1024.2,0.0,0.0
113.69,13.3,3.3,1025.3,130.0,4.1
146.64,12.8,2.8,1025.7,120.0,2.6
116.64,13.3,4.4,1026.2,130.0,2.1
133.1,13.3,5.0,1026.5,140.0,3.1
125.88,12.8,5.6,1026.4,110.0,3.1
120.2,12.2,6.7,1027.1,130.0,4.6
141.67,11.7,6.7,1027.3,140.0,4.1
