Cockatoo_industrial_Nathaniel,airTemperature,dewTemperature,seaLvlPressure,windDirection,windSpeed
178.675,-1.0,-3.0,1019.4,250.0,2.6
180.55,-1.0,-3.0,1019.4,240.0,3.1
179.5,-1.0,-2.0,1019.4,240.0,4.1
178.775,-1.0,-2.0,1019.4,240.0,4.6
176.625,-1.0,-3.0,1019.4,270.0,5.1
176.475,-1.0,-4.0,1019.4,240.0,7.2
176.925,-1.0,-4.0,1019.4,240.0,7.2
177.6,0.0,-5.0,1019.4,280.0,7.7
177.95,-3.0,-4.0,1019.4,320.0,4.1
179.55,-3.0,-4.0,1019.4,320.0,3.6
112.4,-3.0,-4.0,1019.4,320.0,3.6
112.925,-3.0,-4.0,1019.4,320.0,3.6
53.975,-3.0,-4.0,1019.4,320.0,5.7
8.2,-4.0,-7.0,1019.4,320.0,5.1
8.6,-4.0,-8.0,1019.4,300.0,5.1
179.125,-3.0,-7.0,1019.4,280.0,4.1
179.7,-3.0,-6.0,1019.4,290.0,2.1
176.775,-3.0,-6.0,1019.4,280.0,2.1
176.9,-3.0,-5.0,1019.4,200.0,2.1
178.975,-2.0,-4.0,1019.4,220.0,4.6
178.25,-2.0,-5.0,1019.4,230.0,6.2
179.675,-2.0,-6.0,1019.4,230.0,3.6
176.275,-2.0,-6.0,1019.4,230.0,3.1
176.85,-2.0,-6.0,1019.4,250.0,5.1
176.525,-2.0,-5.0,1019.4,230.0,4.1
177.45,-2.0,-5.0,1019.4,230.0,4.1
112.725,-2.0,-5.0,1019.4,230.0,4.6
112.65,-1.0,-5.0,1019.4,230.0,4.6
53.175,-1.0,-5.0,1019.4,230.0,3.1
8.25,-2.0,-7.0,1019.4,230.0,3.1
8.35,-2.0,-6.0,1019.4,230.0,3.6
178.8,0.0,-4.0,1019.4,240.0,6.2
179.425,1.0,-4.0,1019.4,250.0,3.6
179.175,1.0,-3.0,1019.4,270.0,5.1
178.0,-1.0,-2.0,1019.4,320.0,3.1
176.075,-1.0,-2.0,1019.4,300.0,2.1
